time,ir,red,green,gyro,spo2,hr,temp
16:41:51:380,111100,100265,8136,0,0,0,0
16:41:51:400,111111,100256,8154,0,0,0,0
16:41:51:420,111115,100272,8145,0,0,0,0
16:41:51:440,111138,100265,8156,0,0,0,0
16:41:51:460,111189,100289,8162,0,0,0,0
16:41:51:480,111182,100291,8155,0,0,0,0
16:41:51:500,111227,100277,8171,0,0,0,0
16:41:51:520,111232,100271,8149,0,0,0,0
16:41:51:540,111246,100295,8173,0,0,0,0
16:41:51:560,111266,100311,8167,0,0,0,0
16:41:51:580,111272,100309,8152,0,0,0,0
16:41:51:600,111344,100322,8175,0,0,0,0
16:41:51:620,111363,100347,8161,0,0,0,0
16:41:51:640,111387,100340,8183,0,0,0,0
16:41:51:660,111455,100369,8170,0,0,0,0
16:41:51:680,111453,100344,8171,0,0,0,0
16:41:51:700,111468,100357,8186,0,0,0,0
16:41:51:720,111478,100350,8156,0,0,0,0
16:41:51:740,111469,100314,8215,0,0,0,0
16:41:51:760,111478,100346,8166,0,0,0,0
16:41:51:780,111449,100331,8176,0,0,0,0
16:41:51:800,111416,100329,8191,0,0,0,0
16:41:51:820,111272,100277,8163,0,0,0,0
16:41:51:840,111033,100208,8167,0,0,0,0
16:41:51:860,110644,100104,8130,0,0,0,0
16:41:51:880,110393,100022,8136,0,0,0,0
16:41:51:900,110379,100036,8138,0,0,0,0
16:41:51:920,110472,100053,8127,0,0,0,0
16:41:51:940,110610,100079,8160,0,0,0,0
16:41:51:960,110689,100104,8132,0,0,0,0
16:41:51:980,110734,100103,8165,0,0,0,0
16:41:52:000,110807,100150,8158,0,0,0,0
16:41:52:020,110848,100151,8150,0,0,0,0
16:41:52:040,110922,100180,8173,0,0,0,0
16:41:52:060,111005,100193,8181,0,0,0,0
16:41:52:080,111096,100214,8186,0,0,0,0
16:41:52:100,111165,100250,8173,0,0,0,0
16:41:52:120,111148,100254,8171,0,0,0,0
16:41:52:140,111192,100272,8179,0,0,0,0
16:41:52:160,111181,100228,8168,0,0,0,0
16:41:52:180,111200,100263,8181,0,0,0,0
16:41:52:200,111251,100278,8180,0,0,0,0
16:41:52:220,111250,100266,8185,0,0,0,0
16:41:52:240,111327,100311,8195,0,0,0,0
16:41:52:260,111367,100299,8179,0,0,0,0
16:41:52:280,111440,100318,8188,0,0,0,0
16:41:52:300,111443,100338,8190,0,0,0,0
16:41:52:320,111428,100323,8201,0,0,0,0
16:41:52:340,111459,100341,8205,0,0,0,0
16:41:52:360,111468,100343,8193,0,0,0,0
16:41:52:380,111519,100325,8220,0,0,0,0
16:41:52:400,111509,100340,8202,0,0,0,0
16:41:52:420,111526,100328,8206,0,0,0,0
16:41:52:440,111549,100351,8212,0,0,0,0
16:41:52:460,111539,100329,8199,0,0,0,0
16:41:52:480,111625,100351,8225,0,0,0,0
16:41:52:500,111586,100353,8205,0,0,0,0
16:41:52:520,111606,100325,8220,0,0,0,0
16:41:52:540,111632,100353,8214,0,0,0,0
16:41:52:560,111624,100338,8212,0,0,0,0
16:41:52:580,111661,100377,8230,0,0,0,0
16:41:52:600,111615,100330,8219,0,0,0,0
16:41:52:620,111521,100286,8227,0,0,0,0
16:41:52:640,111312,100249,8209,0,0,0,0
16:41:52:660,110986,100131,8199,0,0,0,0
16:41:52:680,110713,100062,8184,0,0,0,0
16:41:52:700,110555,100010,8157,0,0,0,0
16:41:52:720,110594,100017,8192,0,0,0,0
16:41:52:740,110703,100074,8183,0,0,0,0
16:41:52:760,110789,100067,8192,0,0,0,0
16:41:52:780,110875,100103,8203,0,0,0,0
16:41:52:800,110940,100091,8192,0,0,0,0
16:41:52:820,110994,100138,8212,0,0,0,0
16:41:52:840,111036,100152,8196,0,0,0,0
16:41:52:860,111138,100158,8216,0,0,0,0
16:41:52:880,111204,100203,8214,0,0,0,0
16:41:52:900,111219,100198,8201,0,0,0,0
16:41:52:920,111227,100195,8224,0,0,0,0
16:41:52:940,111199,100191,8205,0,0,0,0
16:41:52:960,111206,100191,8228,0,0,0,0
16:41:52:980,111220,100200,8220,0,0,0,0
16:41:53:000,111200,100170,8218,0,0,0,0
16:41:53:020,111230,100193,8223,0,0,0,0
16:41:53:040,111260,100203,8219,0,0,0,0
16:41:53:060,111301,100199,8236,0,0,0,0
16:41:53:080,111330,100222,8234,0,0,0,0
16:41:53:100,111339,100214,8240,0,0,0,0
16:41:53:120,111404,100237,8232,0,0,0,0
16:41:53:140,111400,100222,8232,0,0,0,0
16:41:53:160,111443,100241,8244,0,0,0,0
16:41:53:180,111446,100236,8240,0,0,0,0
16:41:53:200,111435,100225,8248,0,0,0,0
16:41:53:220,111472,100277,8234,0,0,0,0
16:41:53:240,111475,100234,8225,0,0,0,0
16:41:53:260,111533,100249,8259,0,0,0,0
16:41:53:280,111536,100262,8236,0,0,0,0
16:41:53:300,111529,100249,8251,0,0,0,0
16:41:53:320,111574,100273,8253,0,0,0,0
16:41:53:340,111585,100251,8224,0,0,0,0
16:41:53:360,111619,100260,8266,0,0,0,0
16:41:53:380,111612,100274,8254,0,0,0,0
16:41:53:400,111618,100255,8258,0,0,0,0
16:41:53:420,111585,100256,8252,0,0,0,0
16:41:53:440,111403,100188,8251,0,0,0,0
16:41:53:460,111227,100145,8251,0,0,0,0
16:41:53:480,110973,100076,8221,0,0,0,0
16:41:53:500,110756,100005,8235,0,0,0,0
16:41:53:520,110739,100010,8221,0,0,0,0
16:41:53:540,110795,100010,8224,0,0,0,0
16:41:53:560,110921,100056,8232,0,0,0,0
