time,cnt,ir,red,green,spo2,hr,temp
14:37:20:643,34562,163723,131849,16332,0,0,0
14:37:20:662,34583,163743,131723,16376,0,0,0
14:37:20:675,34605,163734,131948,16336,0,0,0
14:37:20:696,34626,163862,131824,16350,0,0,0
14:37:20:718,34648,163682,131811,16344,0,0,0
14:37:20:739,34669,163742,131674,16366,0,0,0
14:37:20:763,34691,163722,131982,16339,0,0,0
14:37:20:786,34713,163597,131806,16379,0,0,0
14:37:20:807,34734,163502,131386,16432,0,0,0
14:37:20:833,34756,163680,131333,16435,0,0,0
14:37:20:852,34778,163521,131327,16424,0,0,0
14:37:20:885,34799,163560,131213,16466,0,0,0
14:37:20:897,34821,163573,131462,16428,0,0,0
14:37:20:920,34843,163417,131328,16456,0,0,0
14:37:20:946,34865,163697,131342,16452,0,0,0
14:37:20:964,34886,163546,131313,16457,0,0,0
14:37:20:986,34908,163519,131155,16477,0,0,0
14:37:21:010,34929,163480,131446,16454,0,0,0
14:37:21:020,34951,163658,131291,16448,0,0,0
14:37:21:045,34972,163537,131269,16464,0,0,0
14:37:21:065,34994,163539,131143,16479,0,0,0
14:37:21:095,35016,163527,131441,16444,0,0,0
14:37:21:110,35037,163444,131239,16467,0,0,0
14:37:21:134,35059,163625,131252,16467,0,0,0
14:37:21:156,35080,163484,131221,16462,0,0,0
14:37:21:178,35102,163501,131095,16458,0,0,0
14:37:21:206,35124,163492,131341,16445,0,0,0
14:37:21:223,35145,163479,131197,16389,0,0,0
14:37:21:246,35167,163502,131200,16586,0,0,0
14:37:21:278,35189,163522,131048,16484,0,0,0
14:37:21:291,35210,163529,131323,16467,0,0,0
14:37:21:313,35232,163513,131175,16317,0,0,0
14:37:21:337,35253,163525,131199,16605,0,0,0
14:37:21:347,35275,163478,131187,16466,0,0,0
14:37:21:371,35297,163526,131023,16495,0,0,0
14:37:21:393,35318,163523,131308,16475,0,0,0
14:37:21:417,35340,163532,131136,16311,0,0,0
14:37:21:439,35361,163512,131147,16655,0,0,0
14:37:21:464,35383,163491,131128,16449,0,0,0
14:37:21:482,35405,163512,131051,16482,0,0,0
14:37:21:503,35426,163509,131112,16334,0,0,0
14:37:21:528,35448,163514,131136,16643,0,0,0
14:37:21:552,35470,163525,131116,16468,0,0,0
14:37:21:573,35491,163473,131077,16507,0,0,0
14:37:21:595,35513,163561,131152,16482,0,0,0
14:37:21:618,35534,163517,131064,16361,0,0,0
14:37:21:642,35556,163504,131081,16615,0,0,0
14:37:21:663,35578,163521,131109,16487,0,0,0
14:37:21:685,35599,163394,131052,16503,0,0,0
14:37:21:706,35621,163629,131139,16492,0,0,0
14:37:21:725,35642,163454,131034,16333,0,0,0
14:37:21:742,35664,163503,131063,16482,0,0,0
14:37:21:764,35686,163348,131064,16502,0,0,0
14:37:21:788,35707,163676,131086,16483,0,0,0
14:37:21:809,35729,163503,131036,16398,0,0,0
14:37:21:831,35750,163507,131061,16608,0,0,0
14:37:21:855,35772,163507,131008,16487,0,0,0
14:37:21:877,35794,163356,131005,16511,0,0,0
14:37:21:899,35815,163650,131029,16517,0,0,0
14:37:21:921,35837,163476,130988,16442,0,0,0
14:37:21:944,35858,163528,130993,16592,0,0,0
14:37:21:976,35880,163491,131018,16492,0,0,0
14:37:21:989,35901,163587,130990,16496,0,0,0
14:37:22:000,35923,163518,130958,16497,0,0,0
14:37:22:023,35945,163509,130879,16543,0,0,0
14:37:22:049,35967,163474,131060,16506,0,0,0
14:37:22:069,35988,163349,130954,16521,0,0,0
14:37:22:092,36010,163628,130956,16510,0,0,0
14:37:22:114,36032,163455,130923,16521,0,0,0
14:37:22:135,36053,163505,130786,16545,0,0,0
14:37:22:157,36075,163458,131088,16501,0,0,0
14:37:22:180,36096,163359,130924,16534,0,0,0
14:37:22:202,36118,163629,130946,16522,0,0,0
14:37:22:227,36140,163476,130775,16530,0,0,0
14:37:22:248,36162,163507,131081,16515,0,0,0
14:37:22:272,36183,163438,130891,16538,0,0,0
14:37:22:303,36205,163588,130945,16519,0,0,0
14:37:22:315,36227,163449,130890,16514,0,0,0
14:37:22:340,36248,163518,130753,16543,0,0,0
14:37:22:361,36270,163500,131046,16522,0,0,0
14:37:22:373,36291,163475,130891,16477,0,0,0
14:37:22:393,36313,163533,130896,16592,0,0,0
14:37:22:417,36334,163510,130884,16523,0,0,0
14:37:22:439,36356,163478,130728,16551,0,0,0
14:37:22:462,36378,163491,130859,16420,0,0,0
14:37:22:485,36399,163527,130876,16684,0,0,0
14:37:22:506,36421,163518,130864,16534,0,0,0
14:37:22:528,36443,163516,130711,16570,0,0,0
14:37:22:553,36464,163474,130969,16553,0,0,0
14:37:22:574,36486,163482,130826,16406,0,0,0
14:37:22:595,36507,163488,130837,16713,0,0,0
14:37:22:620,36529,163485,130826,16537,0,0,0
14:37:22:643,36551,163498,130742,16570,0,0,0
14:37:22:664,36572,163499,130926,16544,0,0,0
14:37:22:686,36594,163529,130761,16426,0,0,0
14:37:22:718,36616,163484,130798,16691,0,0,0
14:37:22:719,36637,163448,130760,16583,0,0,0
14:37:22:742,36659,163516,130830,16560,0,0,0
14:37:22:766,36680,163467,130787,16442,0,0,0
14:37:22:789,36702,163496,130842,16713,0,0,0
14:37:22:809,36724,163528,130844,16567,0,0,0
14:37:22:831,36745,163430,130804,16592,0,0,0
14:37:22:855,36767,163691,130879,16582,0,0,0
14:37:22:878,36788,163603,130843,16453,0,0,0
14:37:22:901,36810,163595,130874,16724,0,0,0
14:37:22:923,36831,163522,130837,16588,0,0,0
14:37:22:933,2015,167047,117802,25069,0,0,35.1
14:37:22:945,36853,163794,130857,16585,0,0,0
14:37:22:967,36875,163582,130842,16479,0,0,0
14:37:22:989,36896,163589,130833,16723,0,0,0
14:37:22:991,2037,171193,119097,26692,0,0,0
14:37:23:012,36918,163586,130818,16589,0,0,0
14:37:23:024,2058,174072,123275,26617,0,0,0
14:37:23:034,36940,163439,130829,16591,0,0,0
14:37:23:048,36961,163752,130837,16599,0,0,0
14:37:23:052,2080,158199,111288,24180,0,0,0
14:37:23:068,36983,163599,130830,16557,0,0,0
14:37:23:081,2101,174380,121059,27331,0,0,0
14:37:23:103,37016,163629,130824,16674,96,0,0
14:37:23:111,2134,188898,139661,31221,97,72,0
14:37:23:123,37037,163549,130838,16609,0,0,0
14:37:23:146,37059,163445,130796,16605,0,0,0
14:37:23:170,37081,163690,130818,16612,0,0,0
14:37:23:170,2156,205258,154413,33604,0,0,0
14:37:23:191,37102,163602,130705,16645,0,0,0
14:37:23:214,37124,163611,130922,16602,0,0,0
14:37:23:233,2177,221520,172330,37255,0,0,0
14:37:23:236,37145,163466,130805,16612,0,0,0
14:37:23:260,37167,163762,130805,16617,0,0,0
14:37:23:283,2199,236355,172542,36573,0,0,0
