timestamp,cnt,ax,ay,az,gx,gy,gz
13:41:44:994,4650,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000
13:41:45:054,4672,-8.953390,-0.121509,-3.570462,-0.003195,-0.008788,-0.016245
13:41:45:137,4694,-9.013845,-0.110735,-3.536942,-0.006924,-0.005326,-0.009055
13:41:45:224,4716,-8.990501,-0.086792,-3.584827,-0.005326,0.002663,-0.001864
13:41:45:300,4737,-8.983318,-0.107742,-3.620741,-0.006391,-0.003195,-0.003728
13:41:45:368,4759,-8.966558,-0.122108,-3.617150,-0.010652,0.003195,-0.004527
13:41:45:455,4842,-8.959974,-0.102953,-3.603383,-0.005859,-0.003195,-0.009587
13:41:45:511,4891,-9.019831,-0.061054,-3.590813,-0.008522,-0.006391,-0.003195
13:41:45:604,4987,-8.979128,-0.052075,-3.580637,-0.005592,-0.002663,0.001331
13:41:45:753,5084,-8.976135,-0.104150,-3.570462,-0.006924,-0.009055,-0.009055
13:41:45:814,5181,-8.969551,-0.087989,-3.557293,-0.010919,-0.001864,0.000000
13:41:45:903,5230,-8.983318,-0.115523,-3.626129,-0.006924,-0.004793,0.001331
13:41:45:909,5326,-8.988705,-0.118516,-3.544125,-0.007989,-0.006658,-0.004793
13:41:45:970,5520,-8.969551,-0.064046,-3.584827,-0.007190,-0.001331,-0.011718
13:41:45:977,5669,-9.031802,-0.090982,-3.547716,-0.003994,-0.008256,-0.006924
13:41:45:967,5375,-9.007261,-0.034716,-3.626727,-0.006924,-0.002130,-0.002130
13:41:45:973,5616,-8.967755,-0.059856,-3.587222,-0.009321,-0.003728,-0.005326
13:41:46:039,5691,-8.938426,-0.093376,-3.620741,-0.008256,-0.003994,-0.005060
13:41:46:048,5736,-8.947404,-0.064645,-3.662043,-0.006658,-0.003728,-0.008256
13:41:46:045,5713,-9.004268,-0.118516,-3.583032,-0.008522,-0.007723,-0.001065
13:41:46:051,5758,-8.936031,-0.113129,-3.532752,-0.008256,-0.002396,-0.007989
13:41:46:107,5780,-9.007860,-0.071229,-3.579440,-0.007190,-0.010919,0.002396
13:41:46:116,5802,-9.006064,-0.107742,-3.605179,-0.004261,-0.007190,-0.007989
13:41:46:121,5846,-8.991100,-0.062251,-3.536343,-0.008788,-0.004793,-0.002130
13:41:46:118,5824,-8.985713,-0.024541,-3.557293,-0.006391,-0.005060,-0.005060
13:41:46:179,5868,-9.002472,-0.064645,-3.578243,-0.004261,-0.000266,-0.001597
13:41:46:187,5890,-8.981523,-0.080806,-3.629121,-0.007723,-0.005592,-0.001597
13:41:46:190,5912,-8.985114,-0.140065,-3.577645,-0.006658,-0.006125,-0.001864
13:41:46:241,5934,-8.950996,-0.035315,-3.542928,-0.005859,-0.003994,-0.006391
13:41:46:252,5956,-8.912089,-0.117319,-3.645881,-0.005592,-0.003462,-0.015713
13:41:46:254,5979,-9.079089,-0.102953,-3.565673,-0.003994,-0.011451,-0.011718
13:41:46:329,6001,-8.944411,-0.070032,-3.593806,-0.006125,-0.008788,-0.012517
13:41:46:336,6024,-8.984515,-0.147247,-3.648276,-0.008788,-0.003195,-0.007457
13:41:46:347,6068,-9.033598,-0.076616,-3.574053,-0.009587,-0.002396,-0.005859
13:41:46:340,6046,-8.985114,-0.089186,-3.636903,-0.006125,-0.001065,-0.011451
13:41:46:406,6090,-8.928849,-0.071229,-3.612361,-0.006924,-0.004793,-0.000266
13:41:46:413,6112,-8.930644,-0.053272,-3.523773,-0.006924,-0.004527,-0.001597
13:41:46:417,6134,-8.994691,-0.099960,-3.623136,-0.008522,-0.007190,-0.002396
13:41:46:481,6157,-8.956383,-0.077215,-3.597397,-0.002396,-0.001065,-0.002130
13:41:46:492,6179,-9.006064,-0.164606,-3.600989,-0.007190,-0.002663,-0.003462
13:41:46:497,6223,-9.009655,-0.125100,-3.614756,-0.009321,-0.002929,-0.008256
13:41:46:495,6201,-9.029408,-0.077813,-3.559089,-0.004261,-0.001331,-0.003195
13:41:46:563,6267,-9.003670,-0.077813,-3.620143,-0.005060,-0.004261,-0.005859
13:41:46:560,6245,-9.020430,-0.134677,-3.621340,-0.002130,-0.003728,-0.008256
13:41:46:566,6289,-9.011451,-0.064046,-3.592010,-0.009587,-0.002663,-0.005592
13:41:46:622,6311,-8.979727,-0.069433,-3.654261,-0.004527,-0.005592,-0.009321
13:41:46:628,6333,-8.978530,-0.119115,-3.620741,-0.008256,-0.007723,-0.004793
13:41:46:631,6355,-8.966558,-0.123903,-3.590214,-0.009055,-0.003195,-0.004527
13:41:46:695,6377,-8.944411,-0.071828,-3.597996,-0.008788,0.000000,-0.005060
13:41:46:697,6399,-8.961770,-0.112530,-3.631516,-0.009853,0.001597,-0.007190
13:41:46:701,6421,-9.040182,-0.044294,-3.589616,-0.009853,-0.002929,-0.006125
13:41:46:765,6465,-8.987508,-0.153233,-3.578243,-0.005060,-0.006658,-0.008256
13:41:46:761,6443,-8.997085,-0.094573,-3.596799,-0.005060,-0.005859,-0.006391
13:41:46:768,6488,-9.006064,-0.063448,-3.674014,-0.007190,-0.010386,-0.010120
13:41:46:832,6532,-9.013845,-0.073025,-3.623734,-0.006391,-0.005060,-0.003195
13:41:46:828,6510,-8.978530,-0.075419,-3.665036,-0.006125,-0.002663,-0.007190
13:41:46:835,6554,-9.005465,-0.030527,-3.651268,-0.008256,-0.006924,-0.006658
13:41:46:895,6576,-9.012648,-0.098763,-3.665036,-0.006924,-0.000532,-0.002929
13:41:46:898,6598,-8.968354,-0.075419,-3.528562,-0.003728,-0.003462,-0.002130
13:41:46:900,6620,-8.973741,-0.122108,-3.584827,-0.007723,-0.001597,-0.004261
13:41:46:960,6642,-9.046168,-0.075419,-3.589616,-0.001331,-0.010652,-0.005859
13:41:46:970,6686,-8.937827,-0.129290,-3.551307,-0.009055,-0.005592,-0.007190
13:41:46:966,6664,-8.998881,-0.135276,-3.566272,-0.004793,-0.003728,-0.003994
13:41:47:028,6709,-9.049759,-0.105946,-3.608172,-0.007457,-0.003728,-0.005859
13:41:47:031,6731,-8.943813,-0.108340,-3.636903,0.000266,-0.001597,-0.003994
13:41:47:035,6753,-8.978530,-0.021548,-3.630917,-0.004793,-0.001597,-0.007989
13:41:47:092,6775,-9.031802,0.013168,-3.578842,-0.001331,-0.007457,-0.003728
13:41:47:095,6797,-9.024021,-0.038906,-3.589616,-0.005326,-0.004527,-0.004527
13:41:47:103,6819,-9.015641,-0.053871,-3.647677,-0.006924,-0.005859,-0.001864
13:41:47:164,6863,-8.994691,-0.084398,-3.521379,-0.007190,-0.005592,-0.004261
13:41:47:160,6841,-9.000078,-0.058061,-3.628523,-0.006125,-0.006125,-0.001065
13:41:47:167,6885,-8.973143,-0.134079,-3.604580,-0.009055,-0.009321,-0.007190
13:41:47:225,6907,-9.043774,-0.098763,-3.553103,-0.007989,-0.004261,-0.009587
13:41:47:233,6929,-8.952791,-0.079609,-3.614157,-0.011451,-0.002130,-0.009321
13:41:47:236,6951,-9.000677,-0.097566,-3.591412,-0.009853,-0.007989,-0.005592
13:41:47:293,6973,-9.009057,-0.086792,-3.578842,-0.005859,-0.001331,-0.006924
13:41:47:301,7018,-8.982720,-0.093376,-3.624931,-0.003462,-0.005326,-0.003462
13:41:47:298,6995,-8.971945,-0.036512,-3.548315,-0.006125,-0.003195,-0.004261
13:41:47:363,7062,-8.997085,-0.061054,-3.542329,-0.006125,-0.005859,-0.002663
13:41:47:356,7040,-8.985713,-0.053871,-3.559687,-0.007989,-0.003195,-0.000798
13:41:47:366,7084,-9.034795,-0.067039,-3.556096,-0.005859,0.006391,0.000000
13:41:47:422,7106,-9.008458,-0.112530,-3.574652,-0.006125,-0.006924,-0.003728
13:41:47:429,7129,-8.980924,-0.126297,-3.636903,-0.003195,-0.003462,-0.005592
13:41:47:432,7151,-9.035394,-0.112530,-3.609369,-0.012517,-0.002396,-0.009587
13:41:47:495,7173,-9.030605,-0.068236,-3.544125,-0.006391,-0.002130,-0.006658
13:41:47:497,7195,-8.905504,-0.144255,-3.525569,-0.003462,-0.009587,-0.009055
13:41:47:500,7217,-8.978530,-0.053871,-3.545322,-0.007190,-0.007190,-0.004793
13:41:47:560,7239,-8.971347,-0.088588,-3.596799,-0.008256,-0.000532,-0.004261
13:41:47:564,7262,-8.903110,-0.101756,-3.624931,-0.005592,-0.001864,-0.007190
13:41:47:567,7284,-8.924060,-0.108939,-3.447755,-0.005592,-0.010652,-0.020773
13:41:47:630,7306,-8.977333,-0.103552,-3.647078,-0.002663,-0.006125,-0.014115
13:41:47:635,7328,-8.917476,-0.133480,-3.439974,-0.010120,-0.005592,-0.011185
13:41:47:639,7350,-8.999480,-0.086792,-3.661444,-0.002663,-0.011718,-0.007190
13:41:47:719,7372,-8.962967,-0.081405,-3.623734,-0.007723,-0.004527,-0.009055
13:41:47:729,7394,-8.932440,-0.130487,-3.575250,-0.003462,-0.005592,-0.008256
13:41:47:733,7416,-9.055147,-0.105348,-3.554899,-0.010120,-0.003462,-0.004527
13:41:47:739,7438,-8.965361,-0.113129,-3.560286,-0.005326,-0.011451,-0.005859
13:41:47:745,7460,-9.014444,-0.076616,-3.617150,-0.004261,-0.009055,-0.005326
13:41:47:818,7483,-8.939623,-0.052075,-3.585426,-0.006125,-0.005326,-0.001597
13:41:47:825,7505,-9.001874,-0.056265,-3.541730,-0.006924,-0.004527,-0.001331
13:41:47:828,7527,-8.968354,-0.032322,-3.560286,-0.005592,-0.001597,0.003994
13:41:47:835,7549,-8.974938,-0.082602,-3.630319,-0.004793,-0.006391,0.001331
13:41:47:892,7571,-8.983917,-0.088588,-3.617150,-0.007457,-0.009853,-0.002929
13:41:47:899,7594,-8.993494,-0.082602,-3.576447,-0.005592,-0.002130,-0.009853
13:41:47:901,7616,-9.007860,-0.133480,-3.647078,-0.006125,-0.010652,-0.005326
13:41:47:957,7660,-8.988107,-0.090383,-3.631516,-0.005326,-0.007190,-0.009055
13:41:47:955,7638,-8.971945,-0.084996,-3.521379,-0.006658,-0.010919,-0.010919
13:41:48:015,7704,-8.980924,-0.029928,-3.603982,-0.002663,-0.005060,-0.004527
13:41:48:009,7682,-9.014444,-0.068835,-3.572257,-0.004261,-0.009055,-0.006125
13:41:48:017,7726,-8.995888,-0.017358,-3.607573,-0.004527,-0.004261,-0.003728
13:41:48:068,7748,-9.013845,-0.020351,-3.591412,-0.002663,-0.003462,-0.004261
13:41:48:075,7770,-8.996487,-0.030527,-3.548913,-0.001331,-0.003728,-0.002663
13:41:48:126,7793,-8.854626,-0.302277,-3.588419,-0.005859,-0.005859,-0.004261
13:41:48:135,7837,-8.928250,-0.099960,-3.573455,-0.003195,-0.003728,-0.010120
13:41:48:132,7815,-8.878569,-0.150240,-3.688978,-0.004261,0.005060,-0.006658
13:41:48:190,7859,-8.932440,-0.149043,-3.608172,0.001597,0.006924,-0.009587
13:41:48:195,7881,-8.960573,-0.093376,-3.512401,-0.003728,-0.016245,-0.010386
13:41:48:197,7903,-9.228133,-0.153233,-3.492049,-0.006924,-0.024768,-0.034355
13:41:48:254,7925,-8.986910,-0.054469,-3.604580,-0.014381,-0.009321,0.002929
13:41:48:258,7947,-8.952193,-0.077215,-3.615354,-0.001065,-0.003994,-0.010386
13:41:48:261,7969,-8.713962,-0.071828,-3.776369,0.002396,0.015180,0.000798
13:41:48:315,7991,-9.113208,-0.079609,-3.535745,-0.005326,-0.013316,-0.013049
13:41:48:323,8013,-8.894132,-0.111932,-3.681795,-0.005060,-0.003195,-0.002929
13:41:48:326,8035,-8.993494,-0.065842,-3.602186,-0.007190,-0.013049,-0.004527
13:41:48:384,8079,-9.045569,-0.099960,-3.589017,-0.007723,-0.015180,-0.006658
13:41:48:378,8057,-8.964164,-0.119713,-3.629720,-0.002396,-0.002663,-0.007457
13:41:48:386,8101,-9.009655,-0.126896,-3.589017,-0.003462,-0.003195,-0.006125
13:41:48:441,8124,-8.954587,-0.105348,-3.630917,-0.010386,-0.002396,-0.007723
13:41:48:444,8146,-8.961171,-0.025738,-3.619544,-0.008522,-0.000266,-0.003994
13:41:48:491,8168,-8.917476,-0.123305,-3.589017,-0.000266,-0.004793,-0.000798
13:41:48:497,8190,-8.953988,-0.096968,-3.578243,-0.004261,-0.006658,-0.003728
13:41:48:499,8213,-8.971945,-0.057462,-3.653064,-0.007989,-0.003195,-0.002396
13:41:48:555,8235,-8.994093,-0.008379,-3.593806,-0.003994,-0.008522,-0.001864
13:41:48:562,8257,-9.043175,-0.074821,-3.626727,-0.009321,-0.007190,-0.001864
13:41:48:567,8279,-8.920469,-0.084996,-3.611763,-0.006658,-0.006924,-0.002929
13:41:48:632,8324,-8.888744,-0.122706,-3.575849,-0.000798,0.002929,-0.007723
13:41:48:629,8302,-9.023422,-0.113728,-3.607573,-0.004793,-0.000532,-0.005592
13:41:48:635,8346,-8.937228,-0.113129,-3.550709,0.001597,-0.003728,-0.006125
13:41:48:691,8368,-8.964763,-0.185556,-3.583630,-0.004261,-0.002929,-0.008522
13:41:48:699,8412,-8.995888,-0.074821,-3.606974,-0.008522,-0.014115,0.002929
13:41:48:696,8390,-9.101835,-0.073623,-3.600390,-0.010120,-0.006658,-0.002130
13:41:48:757,8456,-9.031204,-0.077813,-3.636304,-0.004793,-0.006391,-0.000266
13:41:48:755,8434,-8.997684,-0.127495,-3.661444,-0.011451,-0.003994,-0.001331
13:41:48:810,8478,-8.952791,-0.113129,-3.660247,-0.007190,-0.003728,-0.000532
13:41:48:816,8500,-8.965361,-0.030527,-3.589017,-0.006125,-0.005592,-0.005859
13:41:48:818,8522,-9.007261,-0.068236,-3.568666,-0.006924,-0.006125,-0.005592
13:41:48:872,8544,-8.992297,-0.079011,-3.613559,-0.009055,-0.003994,-0.005859
13:41:48:881,8588,-9.039584,-0.105946,-3.637501,-0.004527,-0.010652,-0.006658
13:41:48:878,8566,-9.026415,-0.107143,-3.627326,-0.002396,-0.006391,-0.005859
13:41:48:939,8632,-8.957580,-0.048484,-3.612960,-0.005859,-0.002929,-0.003462
13:41:48:937,8611,-8.942017,-0.011971,-3.610566,-0.004527,-0.001864,-0.005060
13:41:48:991,8654,-9.032401,-0.047286,-3.592010,-0.007989,0.002396,-0.003728
13:41:48:997,8677,-8.988705,-0.044892,-3.507013,-0.009587,-0.010120,-0.000798
13:41:49:000,8699,-8.975537,-0.061054,-3.650670,-0.006391,-0.001065,0.001597
13:41:49:050,8721,-8.991100,-0.081405,-3.596200,-0.007457,-0.003195,-0.000532
13:41:49:057,8743,-8.980924,-0.140663,-3.590813,-0.003195,-0.008788,-0.003462
13:41:49:060,8765,-9.038985,-0.085595,-3.617150,-0.007989,-0.002396,-0.003462
13:41:49:112,8787,-9.009057,-0.067638,-3.556695,-0.004527,-0.000266,-0.007723
13:41:49:116,8809,-8.959974,-0.092778,-3.673416,-0.004261,-0.010120,-0.004793
13:41:49:165,8831,-9.017437,-0.102953,-3.662043,-0.008256,-0.007457,-0.009055
13:41:49:173,8854,-9.009655,-0.058659,-3.704541,-0.009321,-0.005326,-0.006924
13:41:49:175,8876,-9.026415,-0.119115,-3.565075,-0.007723,-0.004527,-0.006125
13:41:49:231,8898,-8.942017,-0.085595,-3.617150,-0.006125,-0.001864,-0.001864
13:41:49:236,8920,-8.996487,-0.083201,-3.596799,-0.008788,0.002929,0.000000
13:41:49:288,8942,-8.938426,-0.028731,-3.594404,-0.009853,-0.000532,-0.002396
13:41:49:294,8964,-9.016838,-0.060455,-3.538738,-0.002663,-0.004793,-0.002663
13:41:49:299,9008,-8.948003,-0.084996,-3.624931,-0.008256,-0.003728,-0.008256
13:41:49:296,8986,-8.991100,-0.129889,-3.589017,-0.003994,0.002130,-0.005326
13:41:49:353,9030,-8.979128,-0.037709,-3.653064,-0.011984,-0.016512,-0.008788
