timestamp,cnt,ax,ay,az,gx,gy,gz
13:23:56:494,6659,3.911047,6.848822,-5.902485,-0.012250,-0.002130,-0.006125
13:23:56:498,6681,3.909252,6.867378,-5.931815,-0.010919,-0.013582,-0.018909
13:23:56:547,6703,3.865556,6.991880,-5.941392,-0.011451,-0.021305,-0.007989
13:23:56:551,6725,3.829043,6.896708,-5.868367,-0.009587,-0.013316,-0.009853
13:23:56:552,6747,3.928406,6.867378,-5.968328,-0.005060,-0.011984,-0.007190
13:23:56:600,6769,3.960130,6.893715,-5.904281,-0.006658,-0.009587,-0.016245
13:23:56:605,6791,3.863760,6.873364,-5.892310,-0.010652,-0.021838,-0.018376
13:23:56:654,6813,3.864359,6.942199,-5.976708,-0.009055,-0.005859,-0.016245
13:23:56:658,6835,3.940976,6.914066,-5.954561,-0.018110,0.014381,-0.008256
13:23:56:660,6857,3.953546,6.936213,-6.010826,-0.007190,-0.004793,-0.004793
13:23:56:704,6879,3.832635,6.847027,-5.937801,-0.004261,-0.013582,-0.011185
13:23:56:712,6901,3.924814,6.833260,-6.006636,-0.008522,-0.009055,-0.014381
13:23:56:759,6924,3.891893,6.918256,-5.942589,-0.015446,0.004527,-0.006125
13:23:56:763,6946,3.988861,7.006246,-5.996461,-0.004793,-0.006658,-0.005859
13:23:56:765,6968,3.799713,6.898504,-5.962342,-0.007723,-0.025833,0.001331
13:23:56:817,6991,3.864359,6.898504,-5.984489,-0.024768,-0.011451,-0.002663
13:23:56:819,7013,3.839219,6.968536,-6.013220,-0.024235,-0.006924,-0.002929
13:23:56:867,7035,3.928406,6.905088,-5.936005,-0.018376,-0.003994,-0.002396
13:23:56:871,7057,3.971503,6.866779,-5.907274,-0.003462,-0.019441,-0.015446
13:23:56:917,7079,3.833233,6.871568,-5.986285,-0.006125,-0.024501,-0.016778
13:23:56:921,7101,3.875133,6.914665,-5.921041,-0.004527,-0.007989,-0.016512
13:23:56:922,7123,3.853585,6.946389,-5.970722,0.000266,-0.006658,-0.003195
13:23:56:972,7145,3.882915,6.888926,-5.916851,-0.012517,-0.001331,-0.010386
13:23:57:019,7167,3.942771,6.889525,-5.910865,-0.008522,0.002396,-0.010652
13:23:57:020,7189,3.991854,6.949382,-5.937801,-0.007989,-0.009587,-0.008522
13:23:57:023,7211,3.818269,6.942199,-5.943787,-0.011185,-0.009321,-0.009321
13:23:57:069,7233,3.870345,6.979310,-5.903084,-0.015713,-0.011185,-0.007457
13:23:57:074,7256,3.905062,7.014626,-5.924632,-0.010120,-0.003994,0.000798
13:23:57:118,7278,3.841015,6.826675,-5.930019,-0.009055,-0.002929,0.006125
13:23:57:123,7300,3.845205,6.920651,-5.983292,-0.006125,-0.019707,-0.011718
13:23:57:129,7322,3.820065,6.982303,-5.978503,-0.010652,-0.004793,0.004793
13:23:57:183,7366,3.958933,6.821288,-5.874353,0.001065,-0.019441,0.019175
13:23:57:181,7344,3.782355,6.981106,-5.879141,-0.011984,-0.026366,-0.023436
13:23:57:233,7388,3.865556,6.908679,-5.883930,-0.006391,-0.010386,-0.015446
13:23:57:243,7432,3.909252,6.982902,-5.931217,0.001331,0.003728,0.002130
13:23:57:242,7411,3.858972,6.916461,-5.944385,-0.000532,-0.011185,-0.001065
13:23:57:309,7455,3.787742,6.873364,-6.000651,-0.014381,0.002130,0.003195
13:23:57:312,7479,3.882316,6.908081,-5.979701,-0.011984,-0.005060,-0.022903
