time,spo2,hr,temp
13:50:52.121,,,29
13:50:52.885,100,,
13:50:55.743,100,,29.1
13:50:58.720,97,,
13:51:01.774,98,,
13:51:04.751,98,81,
13:51:07.777,100,,
13:51:10.862,100,,29.2
13:51:13.817,100,,
13:51:16.854,100,,
13:51:19.871,100,,
13:51:22.897,100,,
13:51:25.982,100,,29.1
13:51:28.936,99,,
13:51:31.966,97,79,
13:51:35.017,96,78,
13:51:38.006,96,,
13:51:41.078,97,,29.1
13:51:44.034,98,75,
13:51:47.061,99,,
13:51:50.144,99,71,
13:51:53.115,98,72,
13:51:56.199,98,,29.1
13:51:59.154,100,,
13:52:02.168,100,,
13:52:05.217,100,,
13:52:08.224,100,,
13:52:11.307,100,,28.9
13:52:14.263,99,76,
13:52:17.289,100,,
13:52:20.312,100,,
13:52:23.319,100,,
13:52:26.426,100,,28.8
13:52:29.371,99,73,
13:52:32.398,100,,
13:52:35.433,99,73,
13:52:38.441,100,,
13:52:41.512,100,,28.8
13:52:44.492,99,,
13:52:47.495,99,69,
13:52:50.550,100,,
13:52:53.537,100,,
13:52:56.631,100,,28.7
13:52:59.588,100,,
13:53:02.627,100,,
13:53:05.636,100,,
13:53:08.703,100,,
13:53:11.733,100,,28.6
13:53:14.688,100,,
13:53:17.715,100,,
13:53:20.735,100,,
13:53:23.811,98,77,
13:53:26.859,97,79,28.5
13:53:29.818,98,76,
13:53:32.843,100,,
13:53:35.845,100,,
13:53:38.898,100,,
13:53:41.958,100,,28.4
13:53:44.914,100,,
13:53:47.957,100,,
13:53:50.956,100,,
13:53:53.982,100,,
13:53:57.069,99,85,28.4
13:54:00.021,99,88,
13:54:03.050,100,,
13:54:06.082,100,,
13:54:09.101,100,,
13:54:12.173,100,,28.3
13:54:15.136,100,,
13:54:18.159,100,,
13:54:21.172,100,,
13:54:24.197,100,,
13:54:27.294,100,,28.3
13:54:30.251,100,,
13:54:33.278,99,87,
13:54:36.294,100,,
13:54:39.318,100,,
13:54:42.394,100,,28.6
13:54:45.350,100,,
13:54:48.374,100,,
13:54:51.402,100,,
13:54:54.427,100,,
13:54:57.511,100,,28.5
13:55:00.517,100,,
13:55:03.505,100,,
13:55:06.498,100,,
13:55:09.523,100,,
13:55:12.608,100,,28.6
13:55:15.601,100,,
13:55:18.592,100,,
13:55:21.618,100,,
13:55:30.673,97,92,
13:55:33.723,97,,
13:55:36.725,98,90,
13:55:39.752,100,,
13:55:42.834,98,,28
13:55:45.803,99,90,
13:55:48.856,100,,
13:55:51.823,100,,
13:55:54.853,100,,
13:55:57.947,100,,27.8
13:56:00.901,100,,
13:56:03.939,100,,
13:56:06.945,100,,
13:56:09.971,100,,
13:56:13.066,100,,28.3
13:56:16.019,100,,
13:56:19.048,100,,
13:56:22.063,100,,
13:56:25.078,100,,
13:56:28.160,100,,28.4
13:56:31.130,100,,
13:56:34.155,100,,
13:56:37.204,100,,
13:56:40.177,100,,
13:56:43.271,100,,28.4
13:56:46.226,100,,
13:56:49.251,100,,
13:56:52.283,100,,
13:56:55.293,100,,
13:56:58.399,100,,28.4
13:57:01.347,100,,
13:57:04.349,100,,
13:57:07.397,100,,
13:57:10.403,100,,
13:57:13.485,100,,28
13:57:16.454,100,,
13:57:19.483,100,,
13:57:22.517,100,,
13:57:25.512,100,,
13:57:28.595,99,86,28.2
13:57:31.550,97,,
13:57:34.579,100,,
13:57:37.617,100,,
13:57:40.630,100,,
13:57:43.701,100,,28.4
13:57:46.659,100,,
13:57:49.672,100,,
13:57:52.699,100,,
13:57:55.725,100,,
13:57:58.823,100,,28.3
13:58:01.780,100,,
13:58:04.806,99,82,
13:58:07.821,96,84,
13:58:10.825,99,82,
13:58:13.918,99,84,28
13:58:16.875,100,,
13:58:19.902,100,,
13:58:22.976,100,,
13:58:25.944,99,,
13:58:29.030,98,,27.9
13:58:31.986,100,,
13:58:35.013,97,,
13:58:38.080,98,,
13:58:41.068,97,,
13:58:44.139,98,,27
13:58:47.094,99,,
13:58:50.125,96,87,
13:58:53.174,95,82,
13:58:56.177,94,86,
13:58:59.261,96,88,27.3
13:59:02.214,95,86,
13:59:05.242,96,,
13:59:08.268,99,,
13:59:11.268,99,88,
13:59:14.354,100,,27
13:59:17.311,100,,
13:59:20.338,100,,
13:59:23.372,100,,
13:59:26.391,100,,
13:59:29.464,100,,27.1
13:59:32.442,100,,
13:59:35.445,100,,
13:59:38.469,100,,
13:59:41.498,100,,
13:59:44.582,100,,27.1
13:59:47.539,100,,
13:59:50.567,100,,
13:59:53.591,100,,
13:59:56.597,100,,
13:59:59.679,100,,27.2
14:00:02.637,100,,
14:00:05.667,100,,
14:00:08.699,100,,
14:00:11.756,100,,
