time,spo2,hr,temp
14:00:34.621,,,27.5
14:00:34.647,100,,
14:00:36.112,100,,
14:00:38.900,100,,
14:00:41.937,100,,
14:00:45.009,98,83,27.9
14:00:47.981,94,79,
14:00:51.004,93,81,
14:00:54.032,91,81,
14:00:57.037,89,76,
14:01:00.117,93,72,28.2
14:01:03.075,96,77,
14:01:06.102,96,75,
14:01:09.132,98,,
14:01:12.153,99,75,
14:01:15.240,100,,28
14:01:18.207,100,,
14:01:21.224,100,,
14:01:24.225,100,,
14:01:27.251,100,,
14:01:30.335,100,,28
14:01:33.305,100,,
14:01:36.320,100,,
14:01:39.344,100,,
14:01:42.371,100,,
14:01:45.466,100,,27.6
14:01:48.433,100,,
14:01:51.440,100,,
14:01:54.475,100,,
14:01:57.500,100,,
14:02:00.578,99,82,27.2
14:02:03.533,98,,
14:02:06.538,99,81,
14:02:09.559,97,,
14:02:12.588,95,,
14:02:15.672,97,80,27
14:02:18.641,99,79,
14:02:21.655,100,,
14:02:24.683,100,,
14:02:27.708,100,,
14:02:30.792,100,,27
14:02:33.746,100,,
14:02:36.833,100,,
14:02:39.790,100,,
14:02:42.813,100,,
14:02:45.880,100,,27
14:02:48.870,100,,
14:02:51.863,100,,
14:02:54.888,100,,
14:02:57.915,100,,
14:03:00.998,100,,27.1
14:03:04.027,100,,
14:03:06.981,100,,
14:03:10.020,100,,
14:03:13.040,100,,
14:03:16.119,100,,26.8
14:03:19.094,100,,
14:03:22.078,100,,
14:03:25.103,100,,
14:03:28.132,100,,
14:03:31.227,100,,27.6
14:03:34.194,100,,
14:03:37.208,100,,
14:03:40.222,100,,
14:03:43.250,100,,
14:03:46.350,100,,28.7
14:03:49.291,100,,
14:03:52.316,100,,
14:03:55.352,100,,
14:03:58.347,100,,
14:04:01.442,100,,29.7
14:04:04.399,100,,
14:04:07.426,100,,
14:04:10.450,100,,
14:04:13.456,100,,
14:04:16.542,100,,31.1
14:04:19.507,100,,
14:04:22.525,100,,
14:04:25.563,100,,
14:04:28.580,99,83,
14:04:31.648,100,,31.2
