time,cnt,ir,red,green,spo2,hr,temp
17:53:54:043,4247,145043,118707,13971,0,0,0
17:53:54:136,4272,144991,118668,13966,0,0,0
17:53:54:148,4302,144988,118632,14002,0,0,0
17:53:54:191,4332,144904,118615,13979,0,0,0
17:53:54:222,4363,144857,118548,14016,0,0,0
17:53:54:251,4422,144855,118532,14016,0,0,0
17:53:54:311,4451,144834,118488,14039,0,0,0
17:53:54:374,4512,144740,118425,14013,0,0,0
17:53:54:402,4571,144644,118313,14045,0,0,0
17:53:54:431,4600,144294,118171,14038,0,0,0
17:53:54:463,4630,144368,118154,14139,0,0,0
17:53:54:490,4690,144255,118114,14226,0,0,0
17:53:54:555,4749,144237,118057,14240,0,0,0
17:53:54:560,4779,144192,118052,14253,0,0,0
17:53:54:580,4809,144255,118061,14244,0,0,0
17:53:54:640,4838,144211,118027,14256,0,0,0
17:53:54:731,4868,144124,117967,14247,0,0,0
17:53:54:761,4898,144041,117935,14247,0,0,0
17:53:54:823,4929,143988,117906,14283,0,0,0
17:53:54:885,4958,144083,117911,14300,0,0,0
17:53:54:893,5017,144192,117898,14305,0,0,0
17:53:54:921,5107,144220,117911,14324,0,0,0
17:53:54:941,5136,146326,118197,14929,0,0,0
17:53:55:031,5196,146313,118210,14922,0,0,0
17:53:55:063,5225,146280,118193,14937,0,0,0
17:53:55:131,5256,146157,118137,14927,0,0,0
17:53:55:139,5285,146092,118088,14952,0,0,0
17:53:55:179,5315,146043,118067,14940,0,0,0
17:53:55:182,5404,145993,118040,14945,0,0,0
17:53:55:209,5434,145998,118063,14959,0,0,0
17:53:55:239,5464,145937,118020,14937,0,0,0
17:53:55:269,5494,145918,117984,14974,0,0,0
17:53:55:299,5524,145929,117966,14941,0,0,0
17:53:55:359,5554,145924,117978,14973,0,0,0
17:53:55:367,5583,145896,117949,14936,0,0,0
17:53:55:421,5613,145912,117949,14960,0,0,0
17:53:55:427,5643,145882,117942,14963,0,0,0
17:53:55:452,5673,145905,117983,14998,0,0,0
17:53:55:513,5702,145917,117945,15014,0,0,0
17:53:55:544,5733,145633,117767,14975,0,0,0
17:53:55:839,6030,123126,122950,8916,0,0,0
17:53:55:842,6059,139470,124415,9269,0,0,0
17:53:55:869,6089,152099,124917,9588,0,0,0
17:53:55:931,6119,152203,124876,9701,0,0,0
17:53:55:992,6149,152655,124805,10098,0,0,0
17:53:56:000,6178,153263,124776,10703,0,0,0
17:53:56:085,6209,153255,124748,10804,0,0,0
17:53:56:444,6239,152804,124428,11020,0,0,0
17:53:56:533,6298,152708,124379,11052,0,0,0
17:53:56:549,6327,152877,124463,11215,0,0,0
17:53:56:582,6358,152994,124523,11403,0,0,0
17:53:56:619,6447,152947,124502,11450,0,0,0
17:53:56:649,6804,152640,124259,11779,0,0,0
17:53:56:680,6834,152706,124286,11905,0,0,0
17:53:56:711,6894,152606,124275,11983,0,0,0
17:53:56:741,6935,152598,124223,12069,93,72,0
17:53:56:772,6983,152503,124175,12145,0,0,0
17:53:56:800,7012,152508,124148,12222,0,0,0
17:53:56:831,7042,152505,124164,12319,0,0,0
17:53:56:862,7072,152778,124272,12390,0,0,0
17:53:56:895,7102,152919,124336,12505,0,0,0
17:53:57:011,7132,153047,124399,12630,0,0,0
17:53:57:019,7161,152991,124406,12655,0,0,0
17:53:57:043,7191,153044,124428,12775,0,0,0
17:53:57:070,7221,153072,124457,12779,0,0,0
17:53:57:102,7251,153320,124582,12886,0,0,0
17:53:57:131,7280,153388,124562,12935,0,0,0
17:53:57:161,7371,153645,124611,13070,0,0,0
17:53:57:197,7400,153616,124635,13156,0,0,0
17:53:57:220,7430,153653,124620,13184,0,0,0
17:53:57:249,7460,153419,124482,13237,0,0,0
17:53:57:311,7489,153465,124563,13250,0,0,0
17:53:57:373,7519,153602,124578,13331,0,0,0
17:53:57:435,7549,153470,124519,13314,0,0,0
17:53:57:461,7579,153232,124331,13359,0,0,0
17:53:57:491,7609,153319,124411,13406,0,0,0
17:53:57:554,7638,153479,124440,13444,0,0,0
17:53:57:562,7727,153495,124443,13472,0,0,0
17:53:57:581,7787,153414,124371,13504,0,0,0
17:53:57:613,7817,153437,124456,13537,0,0,0
17:53:57:646,7847,153212,124235,13532,0,0,0
17:53:57:701,7876,153184,124206,13575,0,0,0
17:53:57:730,7907,153190,124236,13597,0,0,0
17:53:57:760,7936,153195,124149,13668,0,0,0
17:53:57:791,7966,153004,123928,13847,0,0,0
17:53:57:854,7996,152695,123770,13801,0,0,0
17:53:57:866,8055,152840,123761,13873,0,0,0
17:53:57:886,8084,152357,123526,13833,0,0,0
17:53:57:912,8114,151246,122906,13793,0,0,0
17:53:57:942,8144,151462,123013,13814,0,0,0
17:53:57:973,8173,151992,123267,13859,0,0,0
17:53:58:031,8204,151944,123248,13853,0,0,0
17:53:58:075,8234,151522,122980,13847,0,0,0
17:53:58:088,8263,151248,122835,13830,0,0,0
17:53:58:121,8293,151064,122755,13816,0,0,0
17:53:58:150,8323,151171,122788,13840,0,0,0
17:53:58:273,8383,151273,122831,13853,0,0,0
17:53:58:337,8412,151294,122850,13843,0,0,0
17:53:58:348,8442,151269,122847,13884,0,0,0
17:53:58:394,8472,151040,122793,13892,0,0,0
17:53:58:451,8501,151130,122841,13902,0,0,0
17:53:58:479,8531,151080,122766,13944,0,0,0
17:53:58:511,8621,150830,122623,13878,0,0,0
17:53:58:540,8681,150764,122599,13886,0,0,0
17:53:58:573,8740,151094,122775,13920,0,0,0
17:53:58:602,8769,151608,123021,13959,0,0,0
17:53:58:632,8829,152803,123669,14095,0,0,0
17:53:58:694,8859,152964,123768,14105,0,0,0
17:53:58:711,8889,153670,124141,14236,0,0,0
17:53:58:720,8918,153162,123680,14230,0,0,0
17:53:59:621,9812,141265,117065,9374,0,0,0
17:53:59:652,9841,142577,117744,10009,0,0,0
17:53:59:680,9871,143941,118439,10601,0,0,0
17:53:59:711,9901,144310,118713,10735,0,0,0
17:53:59:741,9942,145221,119084,11129,95,74,0
17:53:59:771,9964,145432,119172,11347,0,0,0
17:53:59:802,9991,145194,119003,11423,0,0,0
17:53:59:894,10020,144896,118737,11503,0,0,0
17:53:59:905,10050,145094,118783,11590,0,0,0
17:53:59:921,10080,145613,119114,11698,0,0,0
17:53:59:954,10109,145705,119149,11742,0,0,0
17:53:59:979,10140,145883,119184,11837,0,0,0
17:54:00:010,10169,145900,119254,11871,0,0,0
17:54:00:042,10229,145995,119204,11971,0,0,0
17:54:00:103,10259,146318,119311,12141,0,0,0
17:54:00:131,10289,146540,119394,12194,0,0,0
17:54:00:160,10318,146599,119423,12232,0,0,0
17:54:00:193,10348,146262,119146,12253,0,0,0
17:54:00:222,10378,146266,119175,12253,0,0,0
17:54:00:250,10437,146282,119111,12288,0,0,017:54:00:283,10467,146274,119118,12295,0,0,0
17:54:00:308,10497,146395,119133,12321,0,0,0
17:54:00:338,10526,146448,119146,12372,0,0,0
17:54:00:368,10556,146486,119184,12373,0,0,0
17:54:00:398,10586,146507,119136,12402,0,0,0
17:54:00:429,10616,146542,119138,12445,0,0,0
17:54:00:462,10646,146593,119160,12464,0,0,0
17:54:00:491,10675,146659,119189,12505,0,0,0
17:54:00:521,10705,146741,119211,12530,0,0,0
17:54:00:551,10735,146909,119289,12562,0,0,0
17:54:00:586,10765,147134,119323,12604,0,0,0
17:54:00:608,10794,147135,119318,12641,0,0,0
17:54:00:639,10824,147205,119239,12699,0,0,0
17:54:00:668,10854,147232,119256,12689,0,0,0
17:54:00:698,10884,147238,119241,12705,0,0,0
17:54:00:728,10914,147227,119228,12719,0,0,0
17:54:00:759,10943,147248,119200,12710,0,0,0
17:54:00:790,10973,147217,119166,12752,0,0,0
17:54:00:824,11003,147132,119115,12752,0,0,0
17:54:00:850,11033,147145,119093,12767,0,0,0
17:54:00:880,11062,147048,119026,12795,0,0,0
17:54:00:939,11092,147046,119028,12785,0,0,0
17:54:00:943,11122,147034,118986,12810,0,0,0
