time,cnt,ir,red,green,spo2,hr,temp
09:37:01:883,2045,130539,111368,13900,0,0,33.6
09:37:01:957,2057,130539,111368,13900,93,81,0
09:37:01:962,2079,130465,111337,13859,0,0,0
09:37:02:007,2100,130499,111340,13925,0,0,0
09:37:02:058,2121,130487,111339,13880,0,0,0
09:37:02:158,2143,130479,111290,13896,0,0,0
09:37:02:204,2164,130499,111342,13910,0,0,0
09:37:02:257,2209,130498,111312,13869,0,0,0
09:37:02:299,2257,130556,111316,13938,0,0,0
09:37:02:350,2305,130526,111343,13890,0,0,0
09:37:02:394,2402,130505,111297,13913,0,0,0
09:37:02:496,2450,130588,111346,13909,0,0,0
09:37:02:497,2498,130532,111316,13877,0,0,0
09:37:02:545,2547,130571,111317,13924,0,0,0
09:37:02:642,2595,130571,111288,13923,0,0,0
09:37:02:691,2644,130637,111354,13934,0,0,0
09:37:02:788,2692,130595,111314,13899,0,0,0
09:37:02:836,2741,130632,111307,13945,0,0,0
09:37:02:933,2789,130637,111346,13910,0,0,0
09:37:02:939,2885,130599,111281,13913,0,0,0
09:37:02:980,2934,130643,111337,13947,0,0,0
09:37:03:032,3031,130592,111304,13903,0,0,0
09:37:03:082,3079,130537,111266,13951,0,0,0
09:37:03:182,3127,130396,111240,13925,0,0,0
09:37:03:230,3177,130260,111160,13942,0,0,0
09:37:03:276,3225,130264,111184,13949,0,0,0
09:37:03:325,3273,130212,111147,13915,0,0,0
09:37:04:200,4391,130337,111209,13937,90,82,33.5
09:37:04:252,4413,130339,111127,13955,0,0,0
09:37:04:345,4435,130376,111220,13976,0,0,0
09:37:04:369,4456,130448,111194,13996,0,0,0
09:37:04:495,4478,130482,111252,13963,0,0,0
09:37:04:539,4499,130482,111220,13980,0,0,0
09:37:04:667,4520,130783,111102,14261,0,0,0
09:37:04:685,4542,130726,111059,14226,0,0,0
09:37:04:832,4580,130776,111072,14292,0,0,0
09:37:04:834,4725,130752,111074,14245,0,0,0
09:37:04:882,4773,130643,110985,14282,0,0,0
09:37:04:978,4821,130430,110971,14240,0,0,0
09:37:05:076,4870,130464,110925,14281,0,0,0
09:37:05:123,4919,130552,110978,14260,0,0,0
09:37:05:176,5064,130647,110981,14264,0,0,0
09:37:05:223,5160,130673,111013,14270,0,0,0
09:37:05:274,5208,130614,110975,14267,0,0,0
09:37:05:323,5306,130640,110990,14273,0,0,0
09:37:05:384,5354,130632,110977,14264,0,0,0
09:37:05:388,5402,130652,111008,14294,0,0,0
09:37:05:397,5451,130670,111043,14270,0,0,0
09:37:05:409,5499,130775,111159,14292,0,0,0
09:37:05:419,5547,130796,111176,14285,0,0,0
09:37:05:463,5602,130807,111114,14341,0,0,0
09:37:05:464,5624,130774,111136,14327,0,0,0
09:37:05:475,5646,130271,110924,14308,0,0,0
09:37:05:490,5667,130363,110955,14362,0,0,0
09:37:05:500,5689,130429,110978,14342,0,0,0
09:37:05:534,5710,130486,110997,14365,0,0,0
09:37:05:535,5732,130530,110961,14385,0,0,0
09:37:05:556,5753,130509,110996,14371,0,0,0
09:37:05:580,5775,130475,110960,14395,0,0,0
09:37:05:600,5797,130729,110998,14465,0,0,0
09:37:05:644,5818,130780,110924,14512,0,0,0
09:37:05:645,5840,130776,111003,14490,0,0,0
09:37:05:669,5861,130823,110989,14511,0,0,0
09:37:05:691,5883,130787,111000,14475,0,0,0
09:37:05:713,5904,130788,110978,14518,0,0,0
09:37:05:736,5926,130812,111004,14495,0,0,0
09:37:05:769,5948,130768,110960,14472,0,0,0
09:37:05:770,5969,130821,110996,14480,0,0,0
09:37:05:814,5991,130453,110857,14507,0,0,0
09:37:05:824,6012,130516,110864,14505,0,0,0
09:37:05:864,6034,130621,110908,14530,0,0,0
09:37:05:864,6056,130711,110877,14545,0,0,0
09:37:05:883,6077,130634,110923,14532,0,0,0
09:37:05:917,6099,130752,110942,14569,0,0,0
09:37:05:940,6120,130810,110961,14589,0,0,0
09:37:05:949,6142,130808,110929,14580,0,0,0
09:37:05:974,6164,130831,110897,14571,0,0,0
09:37:05:996,6186,130905,110981,14591,0,0,0
09:37:06:019,6207,130849,110971,14568,0,0,0
09:37:06:052,6229,130477,110824,14581,0,0,0
09:37:06:109,6250,130365,110766,14567,0,0,0
09:37:06:109,6272,130532,110842,14590,0,0,0
09:37:06:110,6294,130571,110851,14586,0,0,0
09:37:06:117,6315,130621,110922,14591,0,0,0
09:37:06:141,6337,130756,110947,14613,0,0,0
09:37:06:165,6358,130758,110980,14572,0,0,0
09:37:06:187,6380,130742,110923,14590,0,0,0
09:37:06:211,6401,130784,110968,14595,0,0,0
09:37:06:233,6423,130707,110945,14563,0,0,0
09:37:06:267,6445,130715,110921,14613,0,0,0
09:37:06:320,6466,130703,110938,14582,0,0,0
09:37:06:321,6488,130674,110911,14618,0,0,0
09:37:06:321,6509,130754,110973,14611,0,0,0
09:37:06:343,6531,130725,110955,14572,0,0,0
09:37:06:391,6553,130833,110919,14631,0,0,0
09:37:06:400,6574,130799,110984,14579,0,0,0
09:37:06:412,6596,130848,110989,14629,0,0,0
09:37:06:434,6617,130829,110986,14576,0,0,0
09:37:06:446,6639,130882,110980,14641,0,0,0
09:37:06:494,6660,130873,110996,14614,0,0,0
09:37:06:545,6682,130858,110955,14619,0,0,0
09:37:06:545,6704,130907,110987,14635,0,0,0
09:37:06:546,6725,130872,110979,14597,0,0,0
09:37:06:579,6747,130921,110961,14662,0,0,0
09:37:06:581,6768,130936,111011,14618,0,0,0
09:37:06:602,6790,130904,110937,14632,0,0,0
09:37:06:625,6812,130945,110999,14697,0,0,0
09:37:06:649,6833,130944,110965,14673,0,0,0
09:37:06:671,6855,130957,111011,14639,0,0,0
09:37:06:693,6877,130941,110978,14647,0,0,0
09:37:06:743,6898,130978,111016,14667,0,0,0
09:37:06:748,6920,130904,110984,14623,0,0,0
09:37:06:757,6941,130797,110925,14672,0,0,0
09:37:06:770,6963,130613,110896,14631,0,0,0
09:37:06:793,6985,130438,110813,14647,0,0,0
09:37:06:816,7007,130471,110846,14654,0,0,0
09:37:06:838,7028,130416,110813,14617,0,0,0
09:37:06:862,7050,130421,110824,14703,0,0,0
09:37:06:897,7071,130518,110849,14643,0,0,0
09:37:06:907,7093,130615,110908,14673,0,0,0
09:37:06:960,7114,130591,110900,14644,0,0,0
09:37:06:960,7136,130655,110882,14694,0,0,0
09:37:06:974,7157,130682,110931,14671,0,0,0
09:37:06:997,7179,130675,110889,14671,0,0,0
09:37:07:020,7200,130764,110949,14706,0,0,0
09:37:07:043,7222,130738,110940,14654,0,0,0
09:37:07:064,7243,130756,110912,14714,0,0,0
09:37:07:076,7265,130704,110992,14684,0,0,0
09:37:07:100,7287,130665,110924,14681,0,0,0
09:37:07:134,7320,130732,110970,14664,92,0,0
09:37:07:172,7341,130757,110943,14715,0,0,0
09:37:07:176,7363,130787,110987,14688,0,0,0
09:37:07:197,7385,130789,110941,14684,0,0,0
09:37:07:222,7406,130887,110990,14716,0,0,0
09:37:07:246,7428,130865,110994,14675,0,0,0
09:37:07:279,7450,130889,110956,14728,0,0,0
09:37:07:301,7471,130906,111015,14703,0,0,0
09:37:07:312,7493,130880,110967,14703,0,0,0
09:37:07:336,7514,130942,111022,14746,0,0,0
09:37:07:370,7536,130955,110997,14691,0,0,0
09:37:07:424,7558,130914,111009,14706,0,0,0
09:37:07:424,7579,130885,110963,14696,0,0,0
09:37:07:425,7601,130940,111000,14724,0,0,0
09:37:07:433,7623,130908,111010,14693,0,0,0
09:37:07:459,7644,130958,110992,14747,0,0,0
09:37:07:490,7666,130998,111031,14712,0,0,0
09:37:07:516,7687,130973,111003,14713,0,0,0
09:37:07:523,7709,131067,111072,14742,0,0,0
09:37:07:549,7730,131082,111114,14695,0,0,0
09:37:07:572,7752,131121,111056,14762,0,0,0
09:37:07:628,7774,131151,111095,14729,0,0,0
09:37:07:629,7795,131091,111137,14720,0,0,0
09:37:07:666,7817,131058,111260,14730,0,0,0
09:37:07:667,7839,131112,111273,14794,0,0,0
09:37:07:683,7860,131145,111368,14777,0,0,0
09:37:07:704,7882,131160,111351,14760,0,0,0
09:37:07:729,7903,131258,111396,14813,0,0,0
09:37:07:774,7925,131235,111400,14777,0,0,0
09:37:07:796,7946,131280,111395,14826,0,0,0
09:37:07:808,7968,131288,111446,14814,0,0,0
09:37:07:853,7989,131274,111402,14780,0,0,0
09:37:07:853,8011,131313,111464,14832,0,0,0
09:37:07:854,8032,131323,111395,14853,0,0,0
09:37:07:876,8054,131310,111423,14836,0,0,0
09:37:07:898,8075,131258,111378,14797,0,0,0
09:37:07:920,8097,131272,111383,14851,0,0,0
09:37:07:943,8118,131196,111356,14816,0,0,0
09:37:07:967,8140,131168,111313,14877,0,0,0
09:37:07:988,8162,131122,111307,14838,0,0,0
09:37:08:012,8183,131187,111338,14874,0,0,0
09:37:08:064,8205,131196,111338,14826,0,0,0
09:37:08:065,8226,131203,111303,14877,0,0,0
09:37:08:066,8248,131247,111375,14869,0,0,0
09:37:08:088,8269,131225,111347,14837,0,0,0
09:37:08:111,8291,131313,111387,14890,0,0,0
09:37:08:133,8313,131293,111401,14834,0,0,0
09:37:08:168,8334,131299,111361,14897,0,0,0
09:37:08:178,8356,131340,111404,14871,0,0,0
09:37:08:202,8377,131236,111363,14873,0,0,0
09:37:08:224,8399,131379,111387,14868,0,0,0
09:37:08:272,8421,131371,111371,14897,0,0,0
09:37:08:273,8442,131413,111445,14896,0,0,0
09:37:08:290,8464,131392,111393,14885,0,0,0
09:37:08:314,8485,131459,111427,14934,0,0,0
09:37:08:336,8507,131442,111430,14886,0,0,0
09:37:08:358,8528,131461,111388,14939,0,0,0
09:37:08:382,8550,131480,111459,14927,0,0,0
09:37:08:393,8571,131452,111420,14896,0,0,0
09:37:08:415,8593,131505,111433,14943,0,0,0
09:37:08:438,8614,131435,111428,14913,0,0,0
09:37:08:493,8636,131119,111289,14933,0,0,0
09:37:08:494,8657,130953,111180,14887,0,0,0
09:37:08:502,8679,130971,111189,14947,0,0,0
09:37:08:526,8701,130947,111202,14890,0,0,0
09:37:08:550,8723,130989,111160,14936,0,0,0
09:37:08:572,8744,131062,111229,14910,0,0,0
09:37:08:595,8766,131056,111218,14918,0,0,0
09:37:08:618,8787,131116,111247,14953,0,0,0
09:37:08:653,8809,131145,111265,14917,0,0,0
09:37:08:662,8831,131172,111233,14952,0,0,0
09:37:08:718,8852,131258,111342,14954,0,0,0
09:37:08:719,8874,131213,111302,14937,0,0,0
09:37:08:719,8895,131303,111355,14958,0,0,0
09:37:08:740,8917,131296,111317,14965,0,0,0
09:37:08:764,8938,131325,111357,14959,0,0,0
09:37:08:786,8960,131277,111318,14925,0,0,0
09:37:08:809,8981,131336,111333,15002,0,0,0
09:37:08:832,9003,131332,111359,14954,0,0,0
09:37:08:854,9025,131336,111311,14982,0,0,0
09:37:08:889,9046,131392,111366,14992,0,0,0
09:37:08:943,9068,131380,111345,14953,0,0,0
09:37:08:944,9090,131437,111350,15012,0,0,0
09:37:08:944,9111,131419,111374,14980,0,0,0
09:37:08:966,9133,131489,111418,15000,0,0,0
09:37:08:988,9154,131470,111403,14968,0,0,0
09:37:09:011,9176,131545,111422,15008,0,0,0
09:37:09:022,9197,131528,111425,14972,0,0,0
09:37:09:046,9219,131539,111382,15016,0,0,0
09:37:09:068,9240,131584,111468,15011,0,0,0
09:37:09:103,9262,131555,111416,14972,0,0,0
09:37:09:153,9283,131593,111434,15031,0,0,0
09:37:09:154,9305,131600,111469,14990,0,0,0
09:37:09:156,9327,131586,111423,15012,0,0,0
09:37:09:179,9348,131653,111537,15032,0,0,0
09:37:09:203,9370,131580,111469,15019,0,0,0
09:37:09:236,9392,131666,111479,14992,0,0,0
09:37:09:246,9413,131666,111454,15034,0,0,0
09:37:09:270,9435,131708,111517,15022,0,0,0
09:37:09:293,9457,131621,111465,15008,0,0,0
09:37:09:317,9478,131537,111423,15052,0,0,0
09:37:09:374,9500,131360,111403,15005,0,0,0
09:37:09:375,9521,131200,111312,15015,0,0,0
09:37:09:393,9543,131207,111346,15013,0,0,0
09:37:09:403,9564,131177,111338,14968,0,0,0
09:37:09:414,9586,131234,111346,15029,0,0,0
09:37:09:449,9608,131208,111380,15007,0,0,0
09:37:09:463,9629,131334,111409,15049,0,0,0
09:37:09:484,9651,131325,111382,15003,0,0,0
09:37:09:507,9672,131380,111389,15053,0,0,0
09:37:09:541,9694,131410,111427,15010,0,0,0
09:37:09:598,9715,131425,111388,15028,0,0,0
09:37:09:598,9737,131478,111445,15034,0,0,0
09:37:09:604,9758,131439,111418,15001,0,0,0
09:37:09:628,9780,131466,111392,15060,0,0,0
09:37:09:639,9801,131459,111431,15022,0,0,0
09:37:09:652,9823,131411,111385,15032,0,0,0
09:37:09:674,9845,131485,111377,15082,0,0,0
09:37:09:698,9867,131435,111406,14998,0,0,0
09:37:09:732,9888,131495,111420,15037,0,0,0
09:37:09:742,9910,131497,111387,15045,0,0,0
09:37:09:793,9931,131572,111439,15089,0,0,0
09:37:09:793,9953,131534,111431,15007,0,0,0
09:37:09:832,9974,131611,111418,15071,0,0,0
09:37:09:854,9996,131606,111466,15048,0,0,0
09:37:09:858,10017,131582,111422,15042,0,0,0
09:37:09:878,10039,131649,111478,15068,0,0,0
09:37:09:901,10060,131630,111457,15005,0,0,0
09:37:09:923,10082,131671,111411,15069,0,0,0
09:37:09:969,10103,131623,111482,15066,0,0,0
09:37:09:977,10125,131697,111482,15079,0,0,0
09:37:10:031,10147,131670,111460,15030,0,0,0
09:37:10:031,10168,131735,111449,15064,0,0,0
09:37:10:032,10190,131735,111506,15049,0,0,0
09:37:10:043,10211,131712,111450,15065,0,0,0
09:37:10:068,10233,131804,111517,15093,0,0,0
09:37:10:090,10254,131762,111491,15030,0,0,0
09:37:10:113,10276,131793,111482,15085,0,0,0
09:37:10:149,10309,131812,111523,15080,95,84,0
09:37:10:171,10330,131762,111468,15071,0,0,0
09:37:10:194,10352,131678,111452,15079,0,0,0
09:37:10:242,10374,131350,111313,15088,0,0,0
09:37:10:242,10395,131290,111334,15054,0,0,0
09:37:10:260,10417,131220,111280,15055,0,0,0
09:37:10:294,10438,131296,111314,15076,0,0,0
09:37:10:305,10460,131301,111335,15049,0,0,0
09:37:10:330,10481,131358,111321,15091,0,0,0
09:37:10:341,10503,131390,111380,15065,0,0,0
09:37:10:363,10524,131381,111339,15059,0,0,0
09:37:10:385,10546,131452,111387,15094,0,0,0
09:37:10:408,10568,131436,111376,15042,0,0,0
09:37:10:463,10589,131515,111322,15092,0,0,0
09:37:10:463,10611,131480,111399,15043,0,0,0
09:37:10:485,10632,131470,111379,15086,0,0,0
09:37:10:497,10654,131388,111352,15036,0,0,0
09:37:10:522,10676,131357,111291,15081,0,0,0
09:37:10:545,10697,131311,111336,15050,0,0,0
09:37:10:573,10719,131246,111258,15017,0,0,0
09:37:10:601,10740,131285,111300,15044,0,0,0
09:37:10:609,10762,131284,111330,14983,0,0,0
09:37:10:646,10784,131323,111297,15026,0,0,0
09:37:10:650,10805,131340,111344,15019,0,0,0
09:37:10:690,10827,131347,111326,14999,0,0,0
09:37:10:697,10849,131408,111351,15033,0,0,0
09:37:10:709,10870,131454,111338,15044,0,0,0
09:37:10:734,10892,131483,111381,14994,0,0,0
09:37:10:757,10913,131448,111350,15001,0,0,0
09:37:10:790,10935,131505,111363,15057,0,0,0
09:37:10:800,10957,131484,111372,14990,0,0,0
09:37:10:846,10978,131482,111338,15048,0,0,0
09:37:10:856,11000,131514,111393,15038,0,0,0
09:37:10:910,11021,131546,111383,15043,0,0,0
09:37:10:911,11043,131534,111379,15006,0,0,0
09:37:10:957,11064,131522,111335,15045,0,0,0
09:37:10:958,11086,131538,111383,15023,0,0,0
09:37:10:958,11107,131511,111342,15016,0,0,0
09:37:10:973,11129,131573,111392,15064,0,0,0
09:37:10:992,11150,131459,111339,15026,0,0,0
09:37:11:016,11172,131278,111250,15060,0,0,0
09:37:11:039,11193,131116,111247,15026,0,0,0
09:37:11:060,11215,130984,111173,15048,0,0,0
09:37:11:115,11236,131033,111207,15007,0,0,0
09:37:11:115,11258,131088,111182,15048,0,0,0
09:37:11:139,11279,131153,111250,15037,0,0,0
09:37:11:149,11301,131129,111224,15015,0,0,0
09:37:11:172,11322,131254,111255,15071,0,0,0
09:37:11:206,11344,131256,111270,15025,0,0,0
09:37:11:217,11366,131346,111225,15050,0,0,0
09:37:11:240,11387,131368,111297,15056,0,0,0
09:37:11:251,11409,131362,111294,15028,0,0,0
09:37:11:275,11430,131409,111333,15075,0,0,0
09:37:11:327,11452,131316,111317,15039,0,0,0
09:37:11:327,11473,131321,111283,15074,0,0,0
09:37:11:352,11495,131272,111224,15027,0,0,0
09:37:11:362,11516,131329,111258,15095,0,0,0
09:37:11:388,11538,131347,111287,15053,0,0,0
09:37:11:410,11559,131364,111244,15082,0,0,0
09:37:11:442,11581,131425,111303,15067,0,0,0
09:37:11:465,11602,131412,111296,15042,0,0,0
09:37:11:500,11624,131503,111313,15093,0,0,0
