time,spo2,hr,temp
09:37:01.883,,,33.6
09:37:01.957,93,81,
09:37:04.200,90,82,33.5
09:37:07.134,92,,
09:37:10.149,95,84,
09:37:13.175,98,83,
09:37:16.189,99,,
09:37:19.271,100,,33.6
09:37:22.241,100,,
09:37:25.270,100,,
09:37:28.307,100,,
09:37:31.300,97,83,
09:37:34.393,99,,33.4
09:37:37.338,100,,
09:37:40.376,100,,
09:37:43.391,100,,
09:37:46.416,100,,
09:37:49.512,100,,33.4
09:37:52.470,100,,
09:37:55.474,100,,
09:37:58.511,100,,
09:38:01.523,100,,
09:38:04.603,100,,33.5
09:38:07.567,100,,
09:38:10.595,100,,
09:38:13.608,100,,
09:38:16.636,100,,
09:38:19.721,100,,33.5
09:38:22.674,100,,
09:38:25.714,100,,
