time,cnt,ir,red,green,spo2,hr,temp
15:35:15:082,2025,173725,159484,20431,0,0,33.3
15:35:15:110,2037,173725,159484,20431,100,0,0
15:35:15:209,2058,173447,159398,20323,0,0,0
15:35:15:255,2079,173382,159285,20345,0,0,0
15:35:15:304,2101,173616,159468,20354,0,0,0
15:35:15:355,2122,173590,159459,20250,0,0,0
15:35:15:448,2143,173807,159496,20418,0,0,0
15:35:15:496,2197,174016,159699,20337,0,0,0
15:35:15:546,2245,174155,159736,20462,0,0,0
15:35:15:593,2293,174506,160021,20528,0,0,0
15:35:15:640,2341,174503,160047,20450,0,0,0
15:35:15:692,2438,174639,160023,20622,0,0,0
15:35:15:758,2487,174671,160125,20546,0,0,0
15:35:15:796,2535,174647,160030,20635,0,0,0
15:35:15:840,2583,174866,160278,20657,0,0,0
15:35:15:938,2632,174869,160273,20596,0,0,0
15:35:15:991,2680,175107,160382,20744,0,0,0
15:35:16:035,2729,175183,160452,20658,0,0,0
15:35:16:085,2777,175160,160424,20760,0,0,0
15:35:16:134,2825,175415,160604,20706,0,0,0
15:35:16:177,2922,175663,160744,20849,0,0,0
15:35:16:330,2971,175813,160871,20780,0,0,0
15:35:16:331,3019,175948,160913,20877,0,0,0
15:35:16:374,3067,176243,161171,20897,0,0,0
15:35:16:569,3116,176336,161215,20854,0,0,0
15:35:16:618,3164,176674,161392,20972,0,0,0
15:35:16:669,3212,176824,161564,20909,0,0,0
15:35:16:720,3310,177028,161625,20992,0,0,0
15:35:16:772,3358,177248,161851,21022,0,0,0
15:35:17:694,4597,177484,161959,21085,100,0,33.3
15:35:17:740,4619,177523,162033,20991,0,0,0
15:35:17:790,4641,177593,162024,21067,0,0,0
15:35:17:841,4662,177721,162151,21074,0,0,0
15:35:17:887,4683,180144,163779,21344,0,0,0
15:35:17:939,4705,179982,163644,21337,0,0,0
15:35:17:986,4726,179677,163395,21239,0,0,0
15:35:18:034,4761,179462,163143,21243,0,0,0
15:35:18:131,4810,179298,163060,21201,0,0,0
15:35:18:181,4858,178966,162756,21119,0,0,0
15:35:18:324,4906,178402,162192,21073,0,0,0
15:35:18:420,4955,175431,159588,20667,0,0,0
15:35:18:425,5003,173294,157318,20491,0,0,0
15:35:18:527,5100,172586,156316,20381,0,0,0
15:35:18:547,5149,172775,156448,20310,0,0,0
15:35:18:559,5294,173324,157042,20386,0,0,0
