time,spo2,hr,temp
15:42:35.284,,,30.4
15:42:35.515,84,79,
15:42:38.529,82,80,30.4
15:42:41.448,80,,
15:42:44.476,78,,
15:42:47.481,77,,
15:42:50.505,80,82,
15:42:53.616,81,84,30.4
15:42:56.557,82,,
15:42:59.570,83,84,
15:43:02.598,82,80,
15:43:05.602,85,82,
15:43:08.713,85,81,30.8
15:43:11.655,87,83,
15:43:14.693,84,86,
15:43:17.709,86,87,
15:43:20.712,85,84,
15:43:23.815,86,81,31.5
15:43:26.774,86,83,
15:43:29.788,88,82,
15:43:32.814,88,85,
15:43:35.841,87,88,
15:43:38.932,86,83,31.8
15:43:41.872,87,84,
15:43:44.898,86,,
15:43:47.913,88,80,
15:43:50.949,90,81,
15:43:54.052,87,85,31.7
15:43:56.992,88,84,
15:44:00.019,91,87,
15:44:03.046,91,89,
15:44:06.052,94,86,
15:44:09.160,96,88,31.7
15:44:12.104,93,90,
15:44:15.129,92,84,
15:44:18.159,91,87,
15:44:21.170,93,,
15:44:24.268,92,90,31.6
15:44:27.210,92,90,
15:44:30.238,91,92,
15:44:33.262,89,93,
15:44:36.277,87,,
15:44:39.367,81,93,32.2
15:44:42.312,79,,
15:44:45.333,81,92,
15:44:48.364,82,87,
15:44:51.386,84,87,
15:44:54.501,85,81,32.8
15:44:57.429,87,85,
15:45:00.453,88,89,
15:45:03.479,87,83,
15:45:06.487,86,91,
15:45:09.595,84,90,32.3
15:45:12.538,87,93,
15:45:15.561,83,87,
15:45:18.588,84,90,
15:45:21.603,83,,
15:45:24.704,81,92,33.7
15:45:27.644,80,,
15:45:30.674,83,91,
15:45:33.697,82,91,
15:45:36.717,84,,
15:45:39.800,84,86,24

15:45:54.922,,,24.6
15:46:10.024,86,,23.8
15:46:12.970,85,86,
15:46:25.138,,,24.5
15:46:34.121,87,89,
15:46:37.157,85,89,
15:46:40.248,86,90,30.5
15:46:43.203,84,88,
15:46:46.201,83,83,
15:46:49.241,80,79,
15:46:52.261,81,75,
