time,cnt,ir,red,green,spo2,hr,temp
12:54:31:855,2043,151061,13650,1043,0,0,33.8
12:54:32:922,3114,151934,13824,1053,99,67,34
12:54:32:947,3136,152876,13954,1067,0,0,0
12:54:32:977,3158,153990,14173,1135,0,0,0
12:54:33:007,3179,157172,14860,1117,0,0,0
12:54:33:036,3201,159047,15259,1111,0,0,0
12:54:33:069,3222,160848,15615,1164,0,0,0
12:54:33:096,3244,162454,15953,1192,0,0,0
12:54:33:126,3265,163593,16299,1217,0,0,0
12:54:33:156,3287,164915,16604,1253,0,0,0
12:54:33:188,3308,165870,16837,1272,0,0,0
12:54:33:219,3330,166244,17120,1268,0,0,0
12:54:33:248,3351,166798,17293,1268,0,0,0
12:54:33:277,3373,166872,17315,1273,0,0,0
12:54:33:309,3395,167330,17381,1281,0,0,0
12:54:33:337,3416,167737,17543,1264,0,0,0
12:54:33:369,3439,167984,17600,1289,0,0,0
12:54:33:397,3469,168151,17631,1271,0,0,0
12:54:33:426,3499,168247,17642,1290,0,0,0
12:54:33:486,3528,168514,17708,1255,0,0,0
12:54:33:517,3558,168425,17731,1278,0,0,0
12:54:33:547,3588,168651,17797,1274,0,0,0
12:54:33:577,3618,168769,17800,1278,0,0,0
12:54:33:606,3647,168741,17814,1276,0,0,0
12:54:33:636,3707,168662,17780,1261,0,0,0
12:54:33:666,3736,168871,17839,1276,0,0,0
12:54:33:697,3766,168566,17753,1266,0,0,0
12:54:33:727,3796,168601,17758,1279,0,0,0
12:54:33:756,3826,168343,17698,1267,0,0,0
12:54:33:788,3856,168312,17695,1255,0,0,0
12:54:33:816,3885,168293,17690,1256,0,0,0
12:54:33:847,3915,168167,17661,1270,0,0,0
12:54:33:877,3945,168259,17680,1268,0,0,0
12:54:33:906,3975,141742,13052,927,0,0,0
12:54:33:936,4004,141684,13018,920,0,0,0
12:54:33:966,4034,141713,13030,928,0,0,0
12:54:33:998,4064,141920,13063,928,0,0,0
12:54:34:028,4094,142133,13104,929,0,0,0
12:54:34:056,4124,142205,13110,942,0,0,0
12:54:34:086,4153,142255,13092,921,0,0,0
12:54:34:116,4183,142116,13118,930,0,0,0
12:54:34:147,4213,141855,13053,920,0,0,0
12:54:34:176,4243,141740,13051,922,0,0,0
12:54:34:206,4272,141913,13088,913,0,0,0
12:54:34:236,4302,141945,13198,914,0,0,0
12:54:34:266,4332,141907,13375,913,0,0,0
12:54:34:296,4362,141782,13499,923,0,0,0
12:54:34:326,4392,141663,13914,922,0,0,0
12:54:34:356,4421,142124,14110,931,0,0,0
12:54:34:388,4451,142116,14125,920,0,0,0
12:54:34:416,4481,142185,14134,901,0,0,0
12:54:34:447,4511,143835,14235,919,0,0,0
12:54:34:477,4552,144266,14245,916,100,0,0
12:54:34:506,4574,144740,14014,919,0,0,0
12:54:34:538,4600,144892,13965,928,0,0,0
12:54:34:566,4630,144989,13961,907,0,0,0
12:54:34:596,4660,145244,13938,917,0,0,0
12:54:34:626,4689,145230,13944,917,0,0,0
12:54:34:658,4719,144919,13873,907,0,0,0
12:54:34:687,4749,144806,13851,902,0,0,0
12:54:34:717,4779,144325,13764,901,0,0,0
12:54:34:749,4808,144001,13693,879,0,0,0
12:54:34:777,4839,142928,13498,880,0,0,0
12:54:34:807,4869,142491,13414,883,0,0,0
12:54:34:868,4898,142272,13369,873,0,0,0
12:54:34:926,4928,142202,13363,853,0,0,0
12:54:34:956,4958,142189,13341,866,0,0,0
12:54:34:987,4988,142369,13372,865,0,0,0
12:54:35:016,5047,142791,13445,875,0,0,0
12:54:35:046,5077,142572,13421,880,0,0,0
12:54:35:076,5136,143604,13571,869,0,0,0
12:54:35:107,5166,144189,13686,896,0,0,0
12:54:35:142,5196,144437,13676,893,0,0,0
12:54:35:149,5226,144490,13712,905,0,0,0
12:54:35:162,5255,144111,13656,891,0,0,0
12:54:35:172,5285,143848,13584,898,0,0,0
12:54:35:184,5315,142962,13460,906,0,0,0
12:54:35:195,5348,142621,13394,885,0,0,0
12:54:35:206,5370,141733,13350,863,0,0,0
12:54:35:218,5392,139925,13237,877,0,0,0
12:54:35:236,5413,138787,13020,908,0,0,0
12:54:35:256,5435,138301,12877,882,0,0,0
12:54:35:274,5456,138063,12665,934,0,0,0
12:54:35:297,5478,138297,12223,884,0,0,0
12:54:35:321,5499,137883,11759,973,0,0,0
12:54:35:342,5521,136685,11055,968,0,0,0
12:54:35:365,5543,136725,11261,992,0,0,0
12:54:35:386,5564,135554,11569,981,0,0,0
12:54:35:409,5586,135398,11925,1017,0,0,0
12:54:35:431,5608,134782,12049,991,0,0,0
12:54:35:465,5629,134587,12119,1009,0,0,0
12:54:35:477,5651,134732,12291,1016,0,0,0
12:54:35:500,5673,134688,12301,1017,0,0,0
12:54:35:522,5694,134509,12340,1022,0,0,0
12:54:35:548,5716,134286,12302,1015,0,0,0
12:54:35:566,5738,132970,12043,1016,0,0,0
12:54:35:578,5759,132072,11931,999,0,0,0
12:54:35:601,5781,131021,11801,973,0,0,0
12:54:35:623,5802,130834,11815,979,0,0,0
12:54:35:647,5824,130620,12004,972,0,0,0
12:54:35:667,5845,129850,12084,976,0,0,0
12:54:35:690,5867,129600,12024,962,0,0,0
12:54:35:713,5889,129585,12069,984,0,0,0
12:54:35:738,5910,129399,12025,964,0,0,0
12:54:35:757,5932,129244,12056,952,0,0,0
12:54:35:782,5954,128423,11831,954,0,0,0
12:54:35:804,5975,127872,11717,937,0,0,0
12:54:35:826,5997,127780,11683,928,0,0,0
12:54:35:849,6019,127910,11680,940,0,0,0
12:54:35:898,6040,128275,11750,949,0,0,0
12:54:35:898,6062,128476,11775,957,0,0,0
12:54:35:911,6083,128484,11790,952,0,0,0
12:54:35:928,6105,128563,11796,959,0,0,0
12:54:35:948,6127,128716,11858,954,0,0,0
12:54:35:972,6148,128866,11858,957,0,0,0
12:54:36:002,6170,129285,11916,977,0,0,0
12:54:36:021,6191,129453,11959,958,0,0,0
12:54:36:040,6213,129601,11965,968,0,0,0
12:54:36:064,6235,129734,11993,951,0,0,0
12:54:36:089,6256,129835,11989,974,0,0,0
12:54:36:113,6278,129732,11963,967,0,0,0
12:54:36:129,6299,129708,11969,970,0,0,0
12:54:36:153,6321,129690,11955,962,0,0,0
12:54:36:175,6343,129658,11936,965,0,0,0
12:54:36:198,6364,129674,11928,970,0,0,0
12:54:36:222,6386,129660,11960,968,0,0,0
12:54:36:243,6408,129708,11947,1033,0,0,0
12:54:36:253,6429,129760,11963,984,0,0,0
12:54:36:278,6451,129870,11977,966,0,0,0
12:54:36:300,6473,129912,11980,965,0,0,0
12:54:36:331,6494,130059,11995,969,0,0,0
12:54:36:342,6516,130154,12016,983,0,0,0
12:54:36:365,6537,130350,12050,986,0,0,0
12:54:36:391,6559,130556,12109,982,0,0,0
12:54:36:411,6580,130671,12119,983,0,0,0
12:54:36:433,6602,130812,12141,990,0,0,0
12:54:36:458,6624,130862,12172,971,0,0,0
12:54:36:478,6646,131103,12167,986,0,0,0
12:54:36:502,6667,131162,12207,992,0,0,0
12:54:36:523,6689,131429,12246,1000,0,0,0
12:54:36:553,6710,131640,12305,997,0,0,0
12:54:36:569,6732,132102,12406,1000,0,0,0
12:54:36:578,6754,132519,12466,1019,0,0,0
12:54:36:605,6775,134208,12850,1015,0,0,0
12:54:36:624,6797,135199,12982,1037,0,0,0
12:54:36:646,6818,136389,13185,1051,0,0,0
12:54:36:679,6840,137172,13379,1042,0,0,0
12:54:36:691,6862,137958,13503,1060,0,0,0
12:54:36:714,6884,138431,13218,1032,0,0,0
12:54:36:747,6905,139704,13115,1020,0,0,0
12:54:36:778,6927,142813,13509,1063,0,0,0
12:54:36:793,6949,144517,13934,1080,0,0,0
12:54:36:803,6970,146051,13953,1055,0,0,0
12:54:36:827,6992,148618,15130,1111,0,0,0
12:54:36:851,7014,149573,15157,1133,0,0,0
12:54:36:872,7035,150014,15259,1126,0,0,0
12:54:36:898,7057,150138,15216,1102,0,0,0
12:54:36:916,7079,150314,15240,1120,0,0,0
12:54:36:938,7100,150805,15291,1104,0,0,0
12:54:36:952,7122,151470,15467,1133,0,0,0
12:54:36:984,7143,152065,15555,1135,0,0,0
12:54:36:995,7165,152292,15538,1118,0,0,0
12:54:37:018,7187,153661,15804,1113,0,0,0
12:54:37:040,7208,161220,16891,1195,0,0,0
12:54:37:063,7230,164987,17699,1241,0,0,0
12:54:37:096,7251,163673,17512,1233,0,0,0
12:54:37:107,7273,161184,17000,1203,0,0,0
12:54:37:130,7295,159981,16640,1205,0,0,0
12:54:37:154,7316,159791,16600,1189,0,0,0
12:54:37:175,7338,159392,16509,1187,0,0,0
12:54:37:200,7360,159012,16424,1185,0,0,0
12:54:37:221,7381,158659,16348,1170,0,0,0
12:54:37:243,7403,158594,16341,1193,0,0,0
12:54:37:268,7424,158643,16369,1224,0,0,0
12:54:37:276,7446,158680,16360,1181,0,0,0
12:54:37:300,7467,158911,16406,1175,0,0,0
12:54:37:322,7489,159175,16474,1158,0,0,0
12:54:37:345,7511,159650,16563,1187,0,0,0
12:54:37:377,7544,159956,16639,1183,100,0,0
12:54:37:400,7566,160417,16722,1182,0,0,0
12:54:37:425,7587,160796,16775,1203,0,0,0
12:54:37:445,7609,161164,16829,1208,0,0,0
12:54:37:470,7631,161603,16926,1198,0,0,0
12:54:37:491,7653,161819,17014,1215,0,0,0
12:54:37:515,7674,161751,16959,1192,0,0,0
12:54:37:535,7696,161472,16919,1187,0,0,0
