time,cnt,ir,red,green,spo2,hr,temp
14:12:23:305,46083,24,32,0,0,0,0
14:12:23:333,46105,0,0,25,0,0,0
14:12:23:343,46150,0,0,0,0,0,0
14:12:23:364,46180,0,0,45,0,0,0
14:12:23:424,46210,0,0,5,0,0,0
14:12:23:477,46240,62,36,32,0,0,0
14:12:23:477,46261,0,8,0,0,0,0
14:12:27:716,2016,0,50,51,0,0,32
14:12:27:745,2017,0,50,51,0,0,0
14:12:27:776,2038,53,26,42,0,0,0
14:12:27:779,2060,0,20,0,0,0,0
14:12:27:822,2082,7,0,39,0,0,0
14:12:27:840,2103,33,59,15,0,0,0
14:12:27:840,2124,0,0,0,0,0,0
14:12:27:864,2146,56,17,51,0,0,0
14:12:27:894,2168,5,42,0,0,0,0
14:12:27:894,2189,0,0,16,0,0,0
14:12:27:924,2211,50,59,16,0,0,0
14:12:27:954,2232,0,0,0,0,0,0
14:12:27:984,2254,54,5,63,0,0,0
14:12:28:014,2276,0,28,0,0,0,0
14:12:28:014,2297,0,0,30,0,0,0
14:12:28:044,2323,46,38,29,0,0,0
14:12:28:075,2345,0,0,0,0,0,0
14:12:28:075,2367,8,31,0,0,0,0
14:12:28:105,2388,0,0,19,0,0,0
14:12:28:134,2410,47,49,35,0,0,0
14:12:28:134,2432,0,0,0,0,0,0
14:12:28:165,2453,42,0,58,0,0,0
14:12:28:225,2475,0,41,0,0,0,0
14:12:28:225,2496,0,0,30,0,0,0
14:12:28:254,2518,57,72,48,0,0,0
14:12:28:254,2540,0,9,0,0,0,0
14:12:28:314,2562,29,0,54,0,0,0
14:12:28:374,2583,28,55,0,0,0,0
14:12:28:374,2605,0,0,24,0,0,0
14:12:28:404,2626,49,49,16,0,0,0
14:12:28:434,2647,0,0,0,0,0,0
14:12:28:464,2669,34,14,46,0,0,0
14:12:28:494,2690,17,42,0,0,0,0
14:12:28:524,2712,54,35,38,0,0,0
14:12:28:524,2734,0,0,0,0,0,0
14:12:28:554,2764,37,0,56,0,0,0
14:12:28:584,2794,14,40,0,0,0,0
14:12:28:615,2823,0,0,7,0,0,0
14:12:28:644,2845,39,49,29,0,0,0
14:12:28:644,2867,0,49,0,0,0,0
14:12:28:674,2888,9,0,52,0,0,0
14:12:28:674,2913,0,0,0,0,0,0
14:12:28:704,2943,58,44,21,0,0,0
14:12:28:734,2964,0,7,0,0,0,0
14:12:28:764,2985,22,0,48,0,0,0
14:12:28:794,3007,29,47,0,0,0,0
14:12:28:794,3028,0,0,0,0,0,0
14:12:28:824,3050,49,49,47,0,0,0
14:12:28:884,3072,8,0,0,0,0,0
14:12:28:884,3093,20,0,50,0,0,0
14:12:28:913,3115,0,0,0,0,0,0
14:12:28:944,3136,57,47,44,0,0,0
14:12:28:944,3157,0,19,0,0,0,0
14:12:28:974,3181,14,0,49,0,0,0
14:12:29:004,3211,31,53,8,0,0,0
14:12:29:034,3240,0,0,0,0,0,0
14:12:29:065,3262,40,32,57,0,0,0
14:12:29:065,3284,0,32,0,0,0,0
14:12:29:096,3305,16,0,39,0,0,0
14:12:29:124,3330,109,28,7,0,0,0
14:12:29:154,3360,0,0,0,0,0,0
14:12:29:155,3381,3,36,0,0,0,0
14:12:29:186,3402,0,0,32,0,0,0
14:12:29:214,3424,39,53,9,0,0,0
14:12:29:244,3449,0,0,0,0,0,0
14:12:29:259,3470,58,14,41,0,0,0
14:12:29:275,3492,9,37,0,0,0,0
14:12:29:304,3513,46,51,17,0,0,0
14:12:29:304,3535,0,0,0,0,0,0
14:12:29:335,3557,5,20,0,0,0,0
14:12:29:364,3598,0,0,29,0,0,0
14:12:29:393,3619,54,43,25,0,0,0
14:12:29:424,3641,0,0,0,0,0,0
14:12:29:425,3662,34,1,59,0,0,0
14:12:29:454,3684,0,0,24,0,0,0
14:12:29:484,3706,51,60,35,0,0,0
14:12:29:484,3727,0,0,0,0,0,0
14:12:29:514,3748,32,0,58,0,0,0
14:12:29:545,3770,25,30,0,0,0,0
14:12:29:574,3792,0,0,27,0,0,0
14:12:29:604,3813,52,45,32,0,0,0
14:12:29:604,3834,0,12,0,0,0,0
14:12:29:634,3856,23,0,49,0,0,014:12:29:634,3856,23,0,49,0,0,0
14:12:29:664,3877,21,42,0,0,0,0
14:12:29:694,3899,0,0,14,0,0,0
14:12:29:694,3920,0,0,0,0,0,0
14:12:29:724,3941,23,0,56,0,0,0
14:12:29:755,3963,0,0,7,0,0,0
14:12:29:604,3813,52,45,32,0,0,0
14:12:29:604,3834,0,12,0,0,0,0
14:12:29:784,3985,51,50,26,0,0,0
14:12:29:784,4006,0,9,0,0,0,0
14:12:29:814,4028,35,0,55,0,0,0
14:12:29:845,4049,24,53,0,0,0,0
14:12:29:874,4074,46,35,56,0,0,0
14:12:29:904,4096,0,14,0,0,0,0
14:12:29:934,4117,18,0,54,0,0,0
14:12:29:970,4139,30,47,2,0,0,0
14:12:29:970,4164,0,0,0,0,0,0
14:12:29:994,4193,62,38,31,0,0,0
14:12:30:024,4223,0,27,0,0,0,0
14:12:30:054,4253,7,13,43,0,0,0
14:12:30:114,4274,0,61,15,0,0,0
14:12:30:144,4296,52,25,54,0,0,0
14:12:31:078,5358,39,52,11,0,0,32
14:12:31:143,5380,0,0,0,0,0,0
14:12:31:195,5401,63,15,45,0,0,0
14:12:31:195,5423,0,30,0,0,0,0
14:12:31:206,5444,0,0,38,0,0,0
14:12:31:225,5466,39,58,14,0,0,0
14:12:31:226,5487,0,0,0,0,0,0
14:12:31:254,5509,60,22,40,0,0,0
14:12:31:284,5530,0,0,0,0,0,0
14:12:31:284,5552,0,0,89,0,0,0
14:12:31:315,5574,0,0,0,0,0,0
14:12:31:374,5595,53,15,45,0,0,0
14:12:31:375,5617,0,47,0,0,0,0
14:12:31:376,5638,0,0,40,0,0,0
14:12:31:405,5660,44,55,21,0,0,0
14:12:31:436,5682,0,0,0,0,0,0
14:12:31:465,5703,38,0,51,0,0,0
14:12:31:465,5725,0,39,0,0,0,0
14:12:31:494,5746,0,0,26,0,0,0
14:12:31:524,5768,47,57,12,0,0,0
14:12:31:524,5790,0,0,0,0,0,0
14:12:31:554,5811,13,38,0,0,0,0
14:12:31:584,5833,0,0,13,0,0,0
14:12:31:614,5854,48,41,37,0,0,0
14:12:31:614,5876,0,0,0,0,0,0
14:12:31:644,5897,36,0,53,0,0,0
14:12:31:675,5919,0,0,5,0,0,0
14:12:31:706,5940,50,46,38,0,0,0
14:12:31:734,5962,31,0,49,0,0,0
14:12:31:764,5984,41,48,0,0,0,0
14:12:31:764,6005,0,0,0,0,0,0
14:12:31:797,6027,56,39,33,0,0,0
14:12:31:824,6048,0,0,0,0,0,0
14:12:31:825,6070,0,15,0,0,0,0
14:12:31:855,6091,16,0,53,0,0,0
14:12:31:884,6112,35,45,0,0,0,0
14:12:31:915,6134,0,0,0,0,0,0
14:12:31:944,6155,57,35,51,0,0,0
14:12:31:945,6177,0,18,0,0,0,0
14:12:32:004,6198,4,0,54,0,0,0
14:12:32:034,6220,18,43,4,0,0,0
14:12:32:035,6241,0,0,0,0,0,0
14:12:32:065,6262,49,14,46,0,0,0
14:12:32:094,6284,0,0,0,0,0,0
14:12:32:125,6308,39,64,0,0,0,0
14:12:32:125,6329,0,0,0,0,0,0
14:12:32:154,6351,64,20,49,0,0,0
14:12:32:185,6372,0,18,0,0,0,0
14:12:32:185,6398,0,0,38,0,0,0
14:12:32:215,6419,41,64,19,0,0,0
14:12:32:244,6440,0,0,0,0,0,0
14:12:32:274,6462,50,9,44,0,0,0
14:12:32:274,6483,0,33,0,0,0,0
14:12:32:335,6505,0,0,36,0,0,0
14:12:32:366,6527,28,18,26,0,0,0
14:12:32:366,6548,0,0,10,0,0,0
14:12:32:395,6570,8,55,0,0,0,0
14:12:32:395,6591,0,0,27,0,0,0
14:12:32:456,6636,35,58,21,0,0,0
14:12:32:484,6657,0,0,0,0,0,0
14:12:32:485,6679,51,9,46,0,0,0
14:12:32:514,6700,11,32,0,0,0,0
14:12:32:544,6722,0,0,33,0,0,0
14:12:32:574,6744,51,47,43,0,0,0
14:12:32:574,6765,0,0,0,0,0,0
