time,cnt,ir,red,green,spo2,hr,temp
14:07:42:301,2016,0,0,0,0,0,32.1
14:07:42:301,2021,0,0,0,0,0,0
14:07:42:323,2042,52,23,43,0,0,0
14:07:42:351,2064,0,42,0,0,0,0
14:07:42:351,2085,0,0,30,0,0,0
14:07:42:380,2107,0,0,0,0,0,0
14:07:42:411,2128,33,35,51,0,0,0
14:07:42:411,2150,0,34,0,0,0,0
14:07:42:440,2171,0,0,45,0,0,0
14:07:42:471,2192,32,39,23,0,0,0
14:07:42:473,2214,0,0,0,0,0,0
14:07:42:512,2236,28,20,60,0,0,0
14:07:42:530,2257,1,31,0,0,0,0
14:07:42:530,2279,0,0,18,0,0,0
14:07:42:561,2300,41,39,33,0,0,0
14:07:42:590,2322,0,0,0,0,0,0
14:07:42:621,2343,41,3,48,0,0,0
14:07:42:652,2365,12,41,0,0,0,0
14:07:42:653,2386,0,0,18,0,0,0
14:07:42:681,2408,72,0,35,0,0,0
14:07:42:725,2429,0,0,4,0,0,0
14:07:42:725,2451,3,48,0,0,0,0
14:07:42:740,2472,0,0,9,0,0,0
14:07:42:801,2493,42,39,37,0,0,0
14:07:42:801,2515,0,0,0,0,0,0
14:07:42:831,2537,38,0,54,0,0,0
14:07:42:863,2558,8,45,0,0,0,0
14:07:42:892,2579,0,0,12,0,0,0
14:07:42:922,2601,51,41,28,0,0,0
14:07:42:951,2622,0,1,0,0,0,0
14:07:43:001,2644,37,0,55,0,0,0
14:07:43:010,2665,33,38,0,0,0,0
14:07:43:010,2695,0,0,7,0,0,0
14:07:44:002,3764,39,0,43,0,0,32.1
14:07:44:031,3786,17,46,0,0,0,0
14:07:44:062,3808,0,0,1,0,0,0
14:07:44:091,3829,52,57,22,0,0,0
14:07:44:091,3851,0,0,0,0,0,0
14:07:44:121,3872,27,0,53,0,0,0
14:07:44:151,3894,0,24,60,0,0,0
14:07:44:200,3915,33,55,30,0,0,0
14:07:44:211,3937,0,3,0,0,0,0
14:07:44:240,3958,30,0,60,0,0,0
14:07:44:271,3980,19,39,0,0,0,0
14:07:44:271,4002,0,0,11,0,0,0
14:07:44:301,4023,55,35,22,0,0,0
14:07:44:331,4045,0,0,0,0,0,0
14:07:44:361,4067,17,0,54,0,0,0
14:07:44:392,4088,32,57,0,0,0,0
14:07:44:393,4110,0,0,0,0,0,0
14:07:44:435,4131,112,23,29,0,0,0
14:07:44:451,4153,0,22,0,0,0,0
14:07:44:480,4174,36,50,0,0,0,0
14:07:44:480,4195,0,0,0,0,0,0
14:07:44:512,4217,42,21,38,0,0,0
14:07:44:540,4238,0,4,0,0,0,0
14:07:44:573,4259,22,0,37,0,0,0
14:07:44:601,4281,20,61,0,0,0,0
14:07:44:602,4302,0,0,0,0,0,0
14:07:44:631,4324,56,18,47,0,0,0
14:07:44:691,4345,0,8,0,0,0,0
14:07:44:691,4367,0,0,30,0,0,0
14:07:44:750,4388,19,10,1,0,0,0
14:07:44:751,4410,45,20,56,0,0,0
14:07:44:781,4431,0,0,0,0,0,0
14:07:44:781,4452,0,13,0,0,0,0
14:07:44:812,4483,5,0,38,0,0,0
14:07:44:840,4512,30,46,0,0,0,0
14:07:44:841,4542,0,0,0,0,0,0
14:07:44:871,4564,53,23,57,0,0,0
14:07:44:913,4585,1,22,0,0,0,0
14:07:44:931,4606,0,0,32,0,0,0
14:07:44:931,4628,0,60,8,0,0,0
14:07:44:960,4649,47,30,62,0,0,0
14:07:44:991,4671,10,23,0,0,0,0
14:07:44:991,4692,0,0,34,0,0,0
14:07:45:021,4714,45,51,20,0,0,0
14:07:45:052,4735,0,0,0,0,0,0
14:07:45:083,4757,47,11,42,0,0,0
14:07:45:112,4778,0,30,0,0,0,0
14:07:45:158,4799,0,0,31,0,0,0
14:07:45:201,4821,42,53,21,0,0,0
14:07:45:201,4842,0,45,0,0,0,0
14:07:45:231,4863,31,7,64,0,0,0
14:07:45:261,4885,0,0,35,0,0,0
14:07:45:321,4929,44,52,33,0,0,0
14:07:45:351,4950,0,5,0,0,0,0
14:07:45:381,4989,41,0,52,0,0,0
14:07:45:411,5019,19,27,0,0,0,0
14:07:45:412,5048,0,0,18,0,0,0
14:07:45:452,5078,51,49,36,0,0,0
14:07:45:470,5137,0,0,0,0,0,0
14:07:45:501,5167,31,0,69,0,0,0
14:07:45:533,5189,21,39,0,0,0,0
14:07:45:534,5210,0,0,15,0,0,0
14:07:45:562,5232,115,28,30,0,0,0
14:07:45:592,5256,0,2,0,0,0,0
14:07:45:622,5286,27,46,0,0,0,0
14:07:45:622,5308,0,0,15,0,0,0
14:07:45:651,5330,0,17,0,0,0,0
14:07:45:696,5351,34,0,45,0,0,0
14:07:45:740,5376,32,46,0,0,0,0
14:07:45:741,5397,0,0,1,0,0,0
14:07:45:771,5419,60,48,41,0,0,0
14:07:45:802,5440,28,24,0,0,0,0
14:07:45:831,5465,35,53,0,0,0,0
14:07:45:861,5486,0,0,0,0,0,0
14:07:45:892,5525,53,24,35,0,0,0
14:07:45:892,5555,0,16,0,0,0,0
14:07:45:921,5585,13,0,45,0,0,0
14:07:45:962,5614,34,48,6,0,0,0
14:07:45:980,5644,0,0,0,0,0,0
14:07:46:010,5665,70,18,39,0,0,0
14:07:46:011,5687,0,25,0,0,0,0
14:07:46:041,5708,6,0,45,0,0,0
14:07:46:072,5733,41,49,6,0,0,0
14:07:46:073,5763,0,0,0,0,0,0
14:07:46:102,5784,0,0,40,0,0,0
14:07:46:132,5806,37,51,16,0,0,0
14:07:46:165,5827,51,9,43,0,0,0
14:07:46:209,5849,0,17,0,0,0,0
14:07:46:220,5871,40,66,16,0,0,0
14:07:46:220,5892,0,0,0,0,0,0
14:07:46:281,5914,0,0,28,0,0,0
14:07:46:281,5941,0,0,0,0,0,0
14:07:46:341,5971,28,18,45,0,0,0
14:07:46:342,5993,2,37,0,0,0,0
14:07:46:342,6015,0,0,25,0,0,0
14:07:46:371,6036,45,36,29,0,0,0
14:07:46:401,6061,41,0,57,0,0,0
14:07:46:443,6083,16,28,0,0,0,0
14:07:46:461,6104,0,0,7,0,0,0
14:07:46:492,6126,45,54,21,0,0,0
14:07:46:492,6150,0,0,0,0,0,0
14:07:46:521,6180,28,0,42,0,0,0
14:07:46:552,6210,9,34,0,0,0,0
14:07:46:581,6239,12,0,11,0,0,0
14:07:46:581,6261,0,0,0,0,0,0
14:07:46:613,6283,31,0,43,0,0,0
14:07:46:642,6304,0,0,1,0,0,0
14:07:46:731,6329,58,42,45,0,0,0
14:07:46:791,6350,24,0,40,0,0,0
14:07:46:821,6372,46,44,3,0,0,0
14:07:46:851,6393,58,42,38,0,0,0
14:07:46:852,6418,0,12,0,0,0,0
14:07:46:881,6507,32,0,47,0,0,0
14:07:46:912,6567,21,46,0,0,0,0
14:07:46:941,6597,0,0,0,0,0,0
14:07:46:942,6618,0,17,0,0,0,0
14:07:46:971,6640,6,0,38,0,0,0
14:07:47:015,6661,30,47,0,0,0,0
14:07:47:015,6686,0,0,0,0,0,0
14:07:47:034,6708,56,18,46,0,0,0
14:07:47:091,6734,0,24,0,0,0,0
14:07:47:091,6756,11,0,54,0,0,0
14:07:47:121,6777,44,56,0,0,0,0
14:07:47:150,6799,51,32,53,0,0,0
14:07:47:180,6820,0,27,0,0,0,0
14:07:47:211,6841,0,0,42,0,0,0
14:07:47:212,6866,31,20,13,0,0,0
14:07:47:253,6895,0,0,21,0,0,0
14:07:47:253,6924,4,31,0,0,0,0
14:07:47:271,6946,0,0,41,0,0,0
14:07:47:301,6967,41,51,17,0,0,0
14:07:47:301,6989,0,0,0,0,0,0
14:07:47:331,7010,51,29,50,0,0,0
14:07:47:361,7032,0,0,29,0,0,0
14:07:47:392,7053,32,48,17,0,0,0
14:07:47:453,7075,35,4,48,0,0,0
14:07:47:482,7096,13,37,0,0,0,0
14:07:47:483,7118,0,0,38,0,0,0
14:07:47:524,7139,31,48,36,0,0,0
14:07:47:572,7163,0,0,0,0,0,0
14:07:47:572,7222,41,0,50,0,0,0
14:07:47:601,7244,11,0,0,0,0,0
14:07:47:604,7265,0,0,76,0,0,0
14:07:47:632,7287,0,14,0,0,0,0
14:07:47:662,7311,43,59,24,0,0,0
14:07:47:691,7342,19,41,0,0,0,0
14:07:47:722,7363,49,37,39,0,0,0
14:07:47:722,7385,0,9,0,0,0,0
14:07:47:764,7406,15,0,49,0,0,0
14:07:47:841,7431,23,54,1,0,0,0
14:07:47:872,7461,0,0,6,0,0,0
14:07:47:961,7482,46,94,37,0,0,0
14:07:47:962,7504,0,16,0,0,0,0
14:07:47:991,7525,30,35,0,0,0,0
14:07:48:021,7609,0,0,0,0,0,0
14:07:48:051,7639,49,29,46,0,0,0
14:07:48:051,7699,0,0,0,0,0,0
14:07:48:092,7729,13,0,51,0,0,0
14:07:48:117,7758,35,52,8,0,0,0
14:07:48:140,7788,43,32,39,0,0,0
14:07:48:171,7810,0,30,0,0,0,0
14:07:48:171,7831,0,0,60,0,0,0
14:07:48:201,7853,0,42,50,0,0,0
14:07:48:232,7878,50,17,46,0,0,0
14:07:48:260,7907,3,23,0,0,0,0
14:07:48:261,7928,4,0,42,0,0,0
14:07:48:291,7950,36,49,7,0,0,0
14:07:48:335,7971,0,0,0,0,0,0
14:07:48:349,7997,54,27,50,0,0,0
14:07:48:351,8018,0,29,0,0,0,0
14:07:48:380,8039,1,0,32,0,0,0
14:07:48:410,8061,37,41,12,0,0,0
14:07:48:411,8086,8,32,0,0,0,0
14:07:48:441,8108,38,0,26,0,0,0
14:07:48:470,8129,0,0,0,0,0,0
14:07:48:500,8151,50,7,53,0,0,0
14:07:48:502,8172,0,36,0,0,0,0
14:07:48:542,8194,0,0,30,0,0,0
14:07:48:562,8215,7,48,21,0,0,0
14:07:48:592,8237,36,0,52,0,0,0
14:07:48:622,8258,14,32,0,0,0,0
14:07:48:622,8280,0,0,17,0,0,0
14:07:48:652,8301,36,94,41,0,0,0
14:07:48:680,8324,0,2,0,0,0,0
14:07:48:720,8354,10,41,0,0,0,0
14:07:48:720,8376,0,0,24,0,0,0
14:07:48:741,8398,17,41,0,0,0,0
14:07:48:781,8419,0,0,0,0,0,0
14:07:48:800,8443,31,35,41,0,0,0
14:07:48:801,8465,0,0,0,0,0,0
14:07:48:832,8486,51,108,26,0,0,0
14:07:48:892,8508,26,0,59,0,0,0
14:07:48:921,8533,38,43,5,0,0,0
14:07:48:950,8554,0,0,0,0,0,0
14:07:48:980,8576,60,36,32,0,0,0
14:07:48:981,8597,31,0,0,0,0,0
14:07:49:012,8652,29,61,0,0,0,0
14:07:49:055,8682,0,0,0,0,0,0
14:07:49:070,8711,54,37,42,0,0,0
14:07:49:070,8733,0,17,0,0,0,0
14:07:49:101,8755,15,0,44,0,0,0
14:07:49:133,8776,25,50,69,0,0,0
14:07:49:161,8801,59,18,43,0,0,0
14:07:49:190,8822,0,28,0,0,0,0
14:07:49:191,8844,0,0,33,0,0,0
14:07:49:221,8865,40,48,0,0,0,0
14:07:49:251,8891,0,0,0,0,0,0
14:07:49:293,8920,46,21,42,0,0,0
14:07:49:294,8941,0,16,0,0,0,0
14:07:49:309,8963,0,0,43,0,0,0
14:07:49:340,8984,63,60,22,0,0,0
14:07:49:370,9009,40,15,57,0,0,0
14:07:49:371,9030,1,44,0,0,0,0
14:07:49:401,9052,0,0,39,0,0,0
14:07:49:430,9073,49,46,15,0,0,0
14:07:49:431,9099,0,0,0,0,0,0
14:07:49:462,9120,45,13,50,0,0,0
14:07:49:502,9142,0,0,21,0,0,0
14:07:49:519,9163,43,51,16,0,0,0
14:07:49:521,9185,0,0,0,0,0,0
14:07:49:551,9207,47,0,41,0,0,0
14:07:49:582,9228,18,27,0,0,0,0
14:07:49:611,9249,0,0,26,0,0,0
14:07:49:641,9271,48,34,21,0,0,0
14:07:49:642,9293,0,0,0,0,0,0
14:07:49:671,9314,5,38,0,0,0,0
14:07:49:671,9337,0,0,12,0,0,0
14:07:49:718,9367,42,49,29,0,0,0
14:07:49:732,9388,25,0,99,0,0,0
14:07:49:762,9410,0,0,9,0,0,0
14:07:49:792,9431,11,38,73,0,0,0
14:07:49:821,9452,33,0,59,0,0,0
14:07:49:850,9474,17,43,2,0,0,0
14:07:49:851,9495,0,0,13,0,0,0
14:07:49:881,9517,50,33,42,0,0,0
14:07:49:940,9545,0,0,0,0,0,0
14:07:49:970,9575,26,0,40,0,0,0
14:07:50:029,9597,31,40,0,0,0,0
14:07:50:031,9618,52,48,42,0,0,0
14:07:50:060,9640,0,20,0,0,0,0
14:07:50:090,9694,17,0,49,0,0,0
14:07:50:120,9729,19,53,2,0,0,0
14:07:50:121,9754,0,0,0,0,0,0
14:07:50:152,9784,44,43,51,0,0,0
14:07:50:210,9813,12,0,68,0,0,0
14:07:50:241,9843,34,47,0,0,0,0
14:07:50:242,9864,0,0,0,0,0,0
14:07:50:284,9886,44,28,45,0,0,0
14:07:50:300,9907,0,19,0,0,0,0
14:07:50:301,9962,6,0,50,0,0,0
14:07:50:332,9984,44,48,9,0,0,0
14:07:50:361,10005,0,38,0,0,0,0
14:07:50:392,10027,34,15,43,0,0,0
14:07:50:421,10048,0,0,28,0,0,0
14:07:50:451,10070,34,55,14,0,0,0
14:07:50:480,10091,0,0,0,0,0,0
14:07:50:510,10113,43,32,47,0,0,0
14:07:50:550,10142,0,33,0,0,0,0
14:07:50:569,10171,0,0,11,0,0,0
14:07:50:571,10201,0,0,0,0,0,0
14:07:50:602,10230,46,4,58,0,0,0
14:07:50:631,10260,0,31,0,0,0,0
14:07:50:664,10290,0,0,20,0,0,0
14:07:50:693,10312,50,37,19,0,0,0
14:07:50:722,10333,0,1,0,0,0,0
14:07:50:750,10355,36,12,46,0,0,0
14:07:50:781,10380,4,41,0,0,0,0
14:07:50:823,10410,45,38,29,0,0,0
14:07:50:823,10439,0,0,0,0,0,0
14:07:50:842,10469,29,13,47,0,0,0
14:07:50:870,10498,8,34,0,0,0,0
14:07:50:901,10528,0,0,24,0,0,0
14:07:50:931,10550,28,2,60,0,0,0
14:07:50:992,10572,0,0,15,0,0,0
14:07:51:022,10593,42,56,25,0,0,0
14:07:51:051,10618,42,0,54,0,0,0
14:07:51:081,10648,6,36,0,0,0,0
14:07:51:128,10678,54,33,27,0,0,0
14:07:51:139,10737,0,0,0,0,0,0
14:07:51:170,10767,31,0,59,0,0,0
14:07:51:200,10797,33,41,0,0,0,0
14:07:51:229,10827,0,17,0,0,0,0
14:07:51:262,10856,29,0,40,0,0,0
14:07:51:291,10886,21,49,0,0,0,0
14:07:51:292,10916,0,0,0,0,0,0
14:07:51:322,10945,55,39,49,0,0,0
14:07:51:351,10975,0,11,0,0,0,0
14:07:51:391,11006,27,0,55,0,0,0
