time,cnt,ir,red,green,spo2,hr,temp
14:56:03:248,2025,703,1333,0,0,0,27.4
14:56:03:257,2030,703,1333,0,73,0,0
14:56:03:288,2053,504,358,569,0,0,0
14:56:03:318,2075,1150,1540,389,0,0,0
14:56:03:348,2097,39,696,0,0,0,0
14:56:03:379,2119,1134,1024,785,0,0,0
14:56:03:408,2141,274,178,540,0,0,0
14:56:03:438,2163,1056,1464,431,0,0,0
14:56:03:468,2185,0,597,0,0,0,0
14:56:03:498,2207,1085,913,807,0,0,0
14:56:03:542,2229,545,1203,0,0,0,0
14:56:03:557,2251,162,104,492,0,0,0
14:56:03:589,2273,1047,1429,449,0,0,0
14:56:03:618,2295,0,603,0,0,0,0
14:56:03:648,2321,1023,819,800,0,0,0
14:56:03:678,2350,563,1215,0,0,0,0
14:56:03:708,2380,78,94,520,0,0,0
14:56:03:739,2410,0,637,0,0,0,0
14:56:03:768,2440,1002,733,827,0,0,0
14:56:03:799,2470,589,1210,0,0,0,0
14:56:03:847,2499,69,105,445,0,0,0
14:56:03:856,2529,1060,1369,509,0,0,0
14:56:03:887,2559,0,658,0,0,0,0
14:56:03:918,2589,955,665,819,0,0,0
14:56:03:978,2619,629,1229,0,0,0,0
14:56:04:008,2648,0,99,414,0,0,0
14:56:04:037,2678,1139,1325,532,0,0,0
14:56:04:068,2708,910,595,835,0,0,0
14:56:04:099,2738,662,1252,0,0,0,0
14:56:04:129,2797,0,119,375,0,0,0
14:56:04:187,2826,1082,1341,546,0,0,0
14:56:04:217,2856,16,729,0,0,0,0
14:56:04:246,2886,876,535,820,0,0,0
14:56:04:276,2916,698,1256,0,0,0,0
14:56:04:339,2946,841,1347,54,0,0,0
14:56:04:398,3005,0,260,111,0,0,0
14:56:04:400,3035,1177,1273,624,0,0,0
14:56:04:430,3065,144,916,0,0,0,0
14:56:04:460,3094,768,318,780,0,0,0
14:56:04:489,3154,872,1372,80,0,0,0
14:56:04:532,3184,0,267,23,0,0,0
14:56:04:546,3215,1174,1232,653,0,0,0
14:56:04:608,3244,734,276,763,0,0,0
14:56:04:640,3274,895,1385,124,0,0,0
14:56:04:669,3304,0,300,0,0,0,0
14:56:04:699,3333,1162,1181,670,0,0,0
14:56:04:737,3363,249,1003,0,0,0,0
14:56:04:757,3423,902,1403,160,0,0,0
14:56:04:818,3452,0,326,0,0,0,0
14:56:04:848,3482,303,1050,0,0,0,0
14:56:04:892,3512,609,224,723,0,0,0
14:56:04:906,3542,0,347,0,0,0,0
14:56:04:936,3631,1146,1111,712,0,0,0
14:56:04:968,3660,528,195,699,0,0,0
14:56:04:998,3683,949,1431,251,0,0,0
14:56:05:029,3705,1123,1074,721,0,0,0
14:56:05:059,3727,390,1101,0,0,0,0
14:56:05:089,3750,981,1449,271,0,0,0
14:56:05:118,3780,0,425,0,0,0,0
14:56:05:148,3810,430,1135,0,0,0,0
14:56:05:190,3840,357,146,623,0,0,0
14:56:05:207,3869,1096,1004,778,0,0,0
