time,cnt,ir,red,green,spo2,hr,temp
13:38:49:738,2013,0,0,11,0,0,27.7
13:38:49:738,2018,0,0,11,0,0,0
13:38:49:786,2040,27,34,21,0,0,0
13:38:49:834,2062,0,18,0,0,0,0
13:38:49:881,2085,13,0,38,0,0,0
13:38:49:931,2107,27,30,1,0,0,0
13:38:49:932,2129,0,0,0,0,0,0
13:38:49:979,2151,44,25,33,0,0,0
13:38:50:026,2173,0,83,0,0,0,0
13:38:50:078,2195,0,0,91,0,0,0
13:38:50:080,2217,0,0,0,0,0,0
13:38:51:000,3281,7,15,0,0,0,27.8
13:38:51:051,3303,0,0,36,0,0,0
13:38:51:103,3325,36,33,1,0,0,0
13:38:51:104,3348,0,0,0,0,0,0
13:38:51:152,3370,38,24,35,0,0,0
13:38:51:200,3392,2,22,0,0,0,0
13:38:51:249,3414,1,13,20,0,0,0
13:38:51:298,3437,0,27,75,0,0,0
13:38:51:346,3459,26,8,35,0,0,0
13:38:51:348,3481,4,25,0,0,0,0
13:38:51:393,3503,0,0,10,0,0,0
13:38:51:443,3547,29,34,21,0,0,0
13:38:51:444,3595,0,9,0,0,0,0
13:38:51:493,3617,28,2,28,0,0,0
13:38:51:541,3644,16,27,0,0,0,0
13:38:51:589,3692,0,0,24,0,0,0
13:38:51:638,3714,44,88,29,0,0,0
13:38:51:638,3741,0,11,0,0,0,0
13:38:51:687,3789,15,37,0,0,0,0
13:38:51:733,3837,0,0,7,0,0,0
13:38:51:782,3886,25,43,21,0,0,0
13:38:51:782,3908,0,20,0,0,0,0
13:38:51:832,3934,36,30,8,0,0,0
13:38:51:882,3982,0,19,0,0,0,0
13:38:51:930,4031,26,0,43,0,0,0
13:38:51:975,4053,12,32,0,0,0,0
13:38:51:975,4079,0,0,11,0,0,0
13:38:52:024,4128,39,31,33,0,0,0
13:38:52:107,4176,0,0,0,0,0,0
13:38:52:170,4224,29,0,31,0,0,0
13:38:52:170,4246,0,0,17,0,0,0
13:38:52:218,4273,39,23,41,0,0,0
13:38:52:268,4321,0,0,0,0,0,0
13:38:52:317,4370,47,14,27,0,0,0
13:38:52:320,4392,46,0,0,0,0,0
13:38:52:366,4467,21,28,14,0,0,0
13:38:52:414,4515,0,0,0,0,0,0
13:38:52:462,4563,23,20,26,0,0,0
13:38:52:512,4585,11,26,0,0,0,0
13:38:52:512,4612,0,0,28,0,0,0
13:38:52:561,4660,27,44,15,0,0,0
13:38:52:609,4708,0,0,0,0,0,0
13:38:52:661,4757,23,19,30,0,0,0
13:38:52:708,4779,17,23,14,0,0,0
13:38:52:708,4806,6,0,31,0,0,0
13:38:52:760,4854,22,18,0,0,0,0
13:38:52:808,4902,0,0,21,0,0,0
13:38:52:854,4950,14,0,43,0,0,0
13:38:52:904,4972,6,23,1,0,0,0
13:38:52:953,4999,0,46,11,0,0,0
13:38:53:003,5048,21,0,32,0,0,0
13:38:53:050,5096,0,0,0,0,0,0
13:38:53:097,5144,18,0,41,0,0,0
13:38:53:157,5193,38,33,7,0,0,0
13:38:53:158,5242,0,0,0,0,0,0
13:38:53:168,5289,6,0,22,0,0,0
13:38:53:168,5337,0,3,0,0,0,0
13:38:53:179,5386,24,19,39,0,0,0
13:38:53:190,5408,0,15,0,0,0,0
13:38:53:229,5446,0,0,0,0,0,0
13:38:53:229,5468,8,26,0,0,0,0
13:38:53:237,5490,0,0,0,0,0,0
13:38:53:261,5512,12,0,19,0,0,0
13:38:53:284,5535,9,23,0,0,0,0
13:38:53:306,5557,0,0,0,0,0,0
13:38:53:328,5579,33,9,0,0,0,0
13:38:53:350,5601,0,0,8,0,0,0
13:38:53:374,5624,27,27,0,0,0,0
13:38:53:396,5646,101,0,25,0,0,0
13:38:53:438,5669,19,35,0,0,0,0
13:38:53:438,5691,0,0,0,0,0,0
13:38:53:465,5713,29,19,21,0,0,0
13:38:53:488,5736,21,32,20,0,0,0
13:38:53:511,5758,28,23,30,0,0,0
13:38:53:532,5780,16,36,18,0,0,0
13:38:53:554,5803,0,0,0,0,0,0
13:38:53:576,5825,21,0,22,0,0,0
13:38:53:600,5847,23,33,11,0,0,0
13:38:53:622,5869,19,2,30,0,0,0
13:38:53:675,5892,0,0,18,0,0,0
13:38:53:675,5914,0,7,0,0,0,0
13:38:53:690,5936,42,1,30,0,0,0
13:38:53:711,5959,0,0,9,0,0,0
13:38:53:735,5981,8,0,26,0,0,0
13:38:53:756,6003,0,0,2,0,0,0
13:38:53:780,6026,11,0,25,0,0,0
13:38:53:800,6048,0,0,10,0,0,0
