time,cnt,ir,red,green,spo2,hr,temp
16:36:37:874,2047,6204,3378,1018,0,0,29.1
16:36:37:929,2069,6158,3429,1862,0,0,0
16:36:37:958,2090,6160,2649,1095,0,0,0
16:36:37:989,2112,6318,3500,1115,0,0,0
16:36:38:019,2144,6212,3493,1107,83,0,0
16:36:38:048,2166,6261,3488,2035,0,0,0
16:36:38:079,2187,6224,3536,1126,0,0,0
16:36:38:111,2209,6173,2731,1108,0,0,0
16:36:38:140,2230,6279,3619,1131,0,0,0
16:36:38:169,2252,6121,3549,1088,0,0,0
16:36:38:202,2273,6273,3546,1838,0,0,0
16:36:38:229,2294,6237,3630,1142,0,0,0
16:36:38:261,2316,6273,3364,1138,0,0,0
16:36:38:291,2339,6459,4327,1195,0,0,0
16:36:38:322,2369,6245,4307,1179,0,0,0
16:36:38:349,2399,7001,4742,1691,0,0,0
16:36:38:382,2429,7348,5279,1369,0,0,0
16:36:38:411,2458,7612,5602,1421,0,0,0
16:36:38:441,2488,7847,6626,1469,0,0,0
16:36:38:468,2518,7119,6246,1443,0,0,0
16:36:38:504,2548,7770,6600,1511,0,0,0
16:36:38:529,2577,7657,6644,1534,0,0,0
16:36:38:561,2607,7526,7462,1504,0,0,0
16:36:38:594,2637,6508,6652,1447,0,0,0
16:36:38:619,2667,6670,6588,1457,0,0,0
16:36:38:650,2697,5733,6307,1290,0,0,0
16:36:38:678,2726,4811,5801,1255,0,0,0
16:36:38:714,2757,3725,5689,1083,0,0,0
16:36:38:739,2786,1542,3684,819,0,0,0
16:36:38:771,2816,1167,2253,598,0,0,0
16:36:38:801,2846,724,1226,122,0,0,0
16:36:38:832,2875,624,847,258,0,0,0
16:36:38:859,2905,639,1152,244,0,0,0
16:36:38:889,2935,4312,8034,1002,0,0,0
16:36:38:919,2965,4577,8715,819,0,0,0
16:36:38:950,2994,5295,7697,706,0,0,0
16:36:38:979,3024,4748,7552,0,0,0,0
16:36:39:008,3054,5005,7474,617,0,0,0
16:36:39:039,3084,5196,7777,580,0,0,0
16:36:39:068,3114,5515,7673,601,0,0,0
16:36:39:102,3143,7804,8988,768,0,0,0
16:36:39:129,3173,15734,18925,1552,0,0,0
16:36:39:163,3203,24967,29328,2517,0,0,0
16:36:39:189,3233,34879,41293,3548,0,0,0
16:36:39:224,3263,34775,40481,3526,0,0,0
16:36:39:251,3292,25009,28661,2238,0,0,0
16:36:39:279,3322,15478,17457,1618,0,0,0
16:36:39:312,3352,3498,4499,426,0,0,0
16:36:39:341,3382,3008,3402,338,0,0,0
16:36:39:368,3411,1558,2730,1077,0,0,0
16:36:39:400,3441,1430,2644,227,0,0,0
16:36:39:436,3471,1631,2396,229,0,0,0
16:36:39:458,3501,1219,2286,149,0,0,0
16:36:39:491,3531,1098,2257,176,0,0,0
16:36:39:524,3560,1075,230,193,0,0,0
16:36:39:550,3590,1062,2073,201,0,0,0
16:36:39:578,3620,1215,2110,2388,0,0,0
16:36:39:611,3650,1272,879,228,0,0,0
16:36:39:641,3680,1398,2830,179,0,0,0
16:36:39:670,3709,1557,2558,2041,0,0,0
16:36:39:699,3739,1622,2658,245,0,0,0
16:36:39:734,3769,2061,4411,241,0,0,0
16:36:39:760,3799,853,2961,264,0,0,0
16:36:39:790,3829,2652,2128,290,0,0,0
16:36:39:822,3858,2432,1984,521,0,0,0
16:36:39:848,3888,1014,1681,99,0,0,0
16:36:39:878,3918,1375,1721,374,0,0,0
16:36:39:909,3948,1129,2336,376,0,0,0
16:36:39:941,3977,1519,4873,392,0,0,0
16:36:39:967,4007,1520,3888,375,0,0,0
16:36:39:999,4037,1372,3677,119,0,0,0
16:36:40:033,4067,1760,2878,312,0,0,0
16:36:40:034,4097,3813,2401,454,0,0,0
16:36:40:062,4126,10515,5618,536,0,0,0
16:36:40:091,4156,22889,15057,2496,0,0,0
16:36:40:120,4186,58181,58120,8559,0,0,0
16:36:40:155,4216,74666,74408,9452,0,0,0
16:36:40:179,4237,80132,85503,7798,0,0,0
16:36:40:211,4258,82897,87912,8742,0,0,0
16:36:40:244,4280,86121,90818,9254,0,0,0
16:36:40:270,4306,107314,107292,10277,0,0,0
16:36:40:301,4335,79716,97491,8668,0,0,0
16:36:40:359,4365,49252,65536,5152,0,0,0
16:36:40:363,4395,71816,74744,7737,0,0,0
16:36:40:388,4425,90997,91057,10243,0,0,0
16:36:40:421,4455,49152,49152,2964,0,0,0
16:36:40:453,4484,7883,6660,1064,0,0,0
16:36:40:482,4514,2537,3970,1252,0,0,0
16:36:40:509,4544,2499,5243,685,0,0,0
16:36:40:543,4574,3196,6799,872,0,0,0
16:36:40:570,4604,3358,7489,831,0,0,0
16:36:40:603,4633,2007,4975,570,0,0,0
16:36:40:628,4663,1468,3449,485,0,0,0
16:36:40:660,4693,844,3181,222,0,0,0
16:36:40:688,4723,1184,2914,666,0,0,0
16:36:40:721,4752,973,2140,326,0,0,0
16:36:40:748,4782,1016,2782,304,0,0,0
