time,spo2,hr,temp
13:11:22.498,,,35.3
13:11:22.507,98,,
13:11:23.744,98,,35.1
13:11:26.707,97,69,
13:11:29.721,98,68,
13:11:32.737,97,68,
13:11:35.753,100,,
13:11:38.886,98,,36
13:11:41.815,99,,
13:11:44.829,98,,
13:11:47.843,100,,
13:11:50.883,100,,
13:11:53.972,100,,35.8
13:11:56.912,100,,
13:11:59.940,100,,
13:12:02.966,100,,
13:12:05.979,100,,
13:12:09.085,99,,36
13:12:12.068,98,,
13:12:15.035,100,,
13:12:18.098,100,,
13:12:21.090,100,,
13:12:24.192,100,,36.1
13:12:27.134,100,,
13:12:30.169,99,74,
13:12:33.172,99,78,
13:12:36.220,97,77,
13:12:39.288,98,77,36.1
13:12:42.252,99,,
13:12:45.267,100,,
13:12:48.302,100,,
13:12:51.317,99,77,
13:12:54.418,100,,36
13:12:57.349,100,,
13:13:00.385,100,,
13:13:03.404,100,,
13:13:06.416,98,,
13:13:09.507,98,74,36.1
13:13:12.470,98,76,
13:13:15.484,97,,
13:13:18.521,98,,
13:13:21.538,98,,
13:13:24.637,98,76,36.5
13:13:27.588,99,75,
13:13:30.602,98,72,
13:13:33.618,98,72,
13:13:36.654,98,74,
13:13:39.746,97,,36.5
13:13:42.690,98,73,
13:13:45.713,98,,
13:13:48.735,97,73,
13:13:51.742,97,,
13:13:54.845,97,,36.5
13:14:09.965,98,,36.6
13:14:12.894,98,,
13:14:15.928,98,,
13:14:18.951,96,,
13:14:34.058,100,,
13:14:37.066,100,,
13:14:40.159,100,,36.5
13:14:43.125,99,80,
13:14:46.138,96,78,
13:14:49.172,98,75,
13:14:52.189,98,78,
13:14:55.290,98,74,36.7
13:13:57.795,98,,
13:14:00.813,97,,
13:14:03.846,98,78,
13:14:06.860,98,,
13:14:21.957,98,82,
13:14:25.074,97,,36.5
13:14:28.022,98,83,
13:14:31.043,99,85,
13:14:58.240,96,70,
13:15:01.259,96,,
13:15:04.271,95,70,
13:15:07.320,97,72,
13:15:10.399,96,74,36.6
13:15:13.326,98,77,
13:15:16.363,96,74,
13:15:19.391,97,,
13:15:22.408,97,78,
13:15:25.498,97,79,36.6
13:15:28.460,96,81,
13:15:43.553,95,,
13:15:46.591,96,,
13:15:49.619,96,73,
13:15:52.626,97,,
13:15:31.473,96,83,
13:15:34.491,97,80,
13:15:41.591,96,80,
13:15:41.597,97,76,36.6
13:16:10.830,96,76,36.6
13:16:13.772,97,75,
13:16:16.814,100,,
13:16:19.833,100,,
13:16:22.844,99,77,
13:16:25.941,100,,36.7
13:16:28.906,99,,
13:16:31.912,99,,
13:16:34.935,99,80,
13:16:37.965,99,,
13:16:41.065,100,,36.6
13:16:43.996,98,82,
13:16:47.028,99,83,
13:16:50.070,98,,
13:16:53.073,99,,
13:16:56.171,100,,36.7
13:15:55.712,97,69,36.6
13:15:58.674,96,,
13:16:01.693,96,73,
13:16:09.658,95,,
13:16:09.665,95,,
13:16:59.111,99,82,
13:17:02.140,100,,
13:17:05.152,100,,
13:17:08.196,100,,
13:17:47.465,98,70,
13:17:50.484,97,,
13:17:53.494,98,66,
13:17:35.378,99,71,
13:17:38.394,99,69,
13:17:41.500,100,,36.8
13:17:44.426,99,,
13:17:23.278,100,,
13:17:26.384,100,,36.7
13:17:29.329,100,,
13:17:32.356,100,,
13:17:11.277,100,,36.7
13:17:14.209,100,,
13:17:17.246,100,,
13:17:20.261,100,,
13:18:08.614,100,,
13:18:11.717,99,,36.8
13:18:14.644,99,65,
13:18:17.682,96,,
13:17:56.599,98,63,36.8
13:17:59.545,96,65,
13:18:02.561,99,65,
13:18:05.598,99,,
13:18:20.695,94,,
13:18:23.733,92,68,
13:18:26.836,91,72,36.9
13:18:29.763,93,,
13:18:32.791,94,,
13:18:35.805,95,,
13:18:38.834,97,74,
13:18:41.935,97,75,36.9
13:18:44.884,98,75,
13:18:47.899,98,,
13:18:50.912,98,,
13:18:53.951,99,,
13:19:09.047,98,71,
13:19:12.141,98,67,36.9
13:19:15.100,96,,
13:19:18.116,96,,
13:18:57.056,98,,36.9
13:18:59.981,100,,
13:19:02.996,99,73,
13:19:06.033,97,75,
13:19:21.144,97,,
13:19:24.157,97,,
13:19:27.259,96,,36.9
13:19:30.212,96,65,
13:19:33.224,96,,
13:19:36.287,97,,
13:19:39.278,97,,
13:19:42.380,98,64,37
13:19:45.307,96,62,
13:19:48.345,97,,
13:19:51.359,98,67,
13:20:06.459,100,,
13:20:09.497,100,,
13:20:12.597,99,74,37.2
13:20:15.525,100,,
13:19:54.373,98,71,
13:19:57.474,99,70,37
13:20:00.428,100,,
13:20:03.444,100,,
13:20:18.597,100,,
13:20:21.577,100,,
13:20:24.605,100,,
13:20:27.696,100,,37.2
13:20:30.645,100,,
13:20:33.670,99,67,
13:20:36.703,99,,
13:20:39.715,99,,
13:20:42.815,99,,37.2
13:20:45.743,97,,
13:20:48.782,98,,
13:20:51.794,98,71,
13:20:54.811,99,,
13:20:57.914,96,67,37
13:21:00.872,97,64,
13:21:03.891,97,67,
