time,spo2,hr,temp
16:07:20.437,,,30.5
16:07:20.468,95,,
16:07:22.449,95,,30.9
16:07:25.397,96,82,
16:07:28.398,95,77,
16:07:31.426,98,74,
16:07:34.451,98,73,
16:07:37.532,98,71,32.3
16:07:40.509,98,,
16:07:43.510,98,,
16:07:46.535,97,70,
16:07:49.548,97,73,
16:07:52.658,96,77,32.5
16:07:55.603,97,79,
16:07:58.634,97,78,
16:08:01.651,97,81,
16:08:04.677,97,79,
16:08:07.757,97,,31.2
16:08:10.723,97,,
16:08:13.738,96,,
16:08:16.963,96,75,
16:08:19.775,99,74,
16:08:22.845,97,,33.3
16:08:25.803,98,,
16:08:28.835,96,,
16:08:31.863,97,,
16:08:34.883,95,,
16:08:37.988,97,71,33.4
16:08:40.938,97,,
16:08:46.978,96,67,
16:08:43.972,97,,
16:08:49.987,96,,
16:08:53.093,97,,32
16:08:56.049,98,67,
16:08:59.058,97,64,
16:09:02.088,97,,
16:09:05.116,96,,
16:09:08.201,97,69,32.6
16:09:11.141,96,,
16:09:14.168,96,,
16:09:17.193,95,73,
16:09:20.221,97,,
16:09:23.286,97,,32
16:09:26.241,99,77,
16:09:35.326,97,78,
16:09:41.376,97,78,
16:09:44.398,97,78,
16:09:47.438,98,,
16:09:29.265,98,,
16:09:32.292,97,76,
16:09:38.462,97,,30.8
16:09:53.536,100,,25.3
16:09:56.481,100,,
16:09:50.432,98,,
16:10:02.523,97,,
16:09:59.504,99,,
16:10:05.525,99,,
16:10:08.626,98,81,32.6
16:10:11.587,97,76,
16:10:14.617,96,73,
16:10:20.658,93,,
16:10:23.743,94,,32.5
16:10:17.632,95,,
16:10:26.686,94,,
16:10:38.839,98,69,29.9
16:10:29.713,94,70,
16:10:32.759,96,69,
16:10:35.763,97,,
16:10:41.795,100,,
16:10:44.823,100,,
16:10:47.835,99,70,
