
161841206,33675,26283,null,0,0
161841229,33675,26283,null,0,0
161841255,33401,25918,null,0,0
161841310,33607,26225,null,0,0
161841330,33607,26225,null,0,0
161841352,33607,26225,null,0,0
161841372,33271,25784,null,0,0
161841413,33587,26161,null,0,0
161841432,33587,26161,null,0,0
161841452,33587,26161,null,0,0
161841471,33156,25822,null,0,0
161841491,33596,26224,null,0,0
161841529,33596,26224,null,0,0
161841549,33596,26224,null,0,0
161841569,33211,25852,null,0,0
161841588,33691,26434,null,0,0
161841608,33691,26434,null,0,0
161841646,33691,26434,null,0,0
161841665,33181,25751,null,0,0
161841776,33870,26528,null,0,0
161841797,33870,26528,null,0,0
161841821,33870,26528,null,0,0
161841841,32890,25531,null,0,0
161841886,33970,26598,null,0,0
161841920,33970,26598,null,0,0
161841950,33970,26598,null,0,0
161842006,32616,25247,null,0,0
161842031,96788,500,null,0,0
161842062,51168,44263,null,0,0
161842110,121061,121944,null,0,0
161842138,34013,26627,null,0,0
161842162,34015,26695,null,0,0
161842183,34015,26695,null,0,0
161842235,34015,26695,null,0,0
161842259,34015,26695,null,0,0
161842280,34168,26899,null,0,0
161842308,34168,26899,null,0,0
161842350,34168,26899,null,0,0
161842372,34168,25052,null,0,0
161842395,34227,26880,null,0,0
161842418,34227,26880,null,0,0
161842461,34227,26880,null,0,0
161842483,34227,24944,null,0,0
161842508,34242,26835,null,0,0
161842529,34242,26835,null,0,0
161842572,34242,26835,null,0,0
161842595,32474,24833,null,0,0
161842618,34223,26777,null,0,0
161842642,34223,26777,null,0,0
161842685,34223,26777,null,0,0
161842706,32423,24878,null,0,0
161842730,34206,26832,null,0,0
161842751,34206,26832,null,0,0
161842795,34206,26832,null,0,0
161842816,32515,24983,null,0,0
161842839,34315,26986,null,0,0
161842861,34315,26986,null,0,0
161842903,34315,26986,null,0,0
161842927,32518,24895,null,0,0
161842948,34450,27078,null,0,0
161842971,34450,27078,null,0,0
161843012,34450,27078,null,0,0
161843036,32373,24738,null,0,0
161843058,34460,27010,null,0,0
161843079,34460,27010,null,0,0
161843121,34460,27010,null,0,0
161843145,32207,24595,null,0,0
161843168,34226,26787,null,0,0
