time,ir,red,hr,spo2,temp
162627124,8774,3922,null,0,0
162627146,8543,3823,null,0,0
162627173,8543,3823,null,0,0
162627197,8543,4043,null,0,0
162627236,8514,3833,null,0,0
162627256,8514,3833,null,0,0
162627279,8514,3833,null,0,0
162627298,8883,4073,null,0,0
162627337,8901,4039,null,0,0
162627360,8836,3957,null,0,0
162627379,8777,3952,null,0,0
162627400,8815,4059,null,0,0
162627440,8937,4100,null,0,0
162627459,8955,4071,null,0,0
162627480,8920,4005,null,0,0
162627499,8864,3980,null,0,0
162627538,8892,4052,null,0,0
162627559,9002,4132,null,0,0
162627578,8997,4086,null,0,0
162627597,8954,4019,null,0,0
162627618,8877,3997,null,0,0
162627656,8898,4077,null,0,0
162627677,8989,4122,null,0,0
162627698,8999,4104,null,0,0
162627717,8975,4041,null,0,0
162627756,8912,4013,null,0,0
162627777,8916,4104,null,0,0
162627796,9018,4167,null,0,0
162627817,9065,4144,null,0,0
162627836,1929,500,null,0,0
162627874,8493,3829,null,0,0
162627896,8503,3853,null,0,0
162627914,8503,3735,null,0,0
162627936,8428,3771,null,0,0
162627955,8428,3771,null,0,0
162627992,8553,3823,null,0,0
162628012,8553,3823,null,0,0
162628033,8405,3738,null,0,0
162628052,8619,3932,null,0,0
162628092,8377,3809,null,0,0
162628117,9118,4137,null,0,0
162628136,8987,4059,null,0,0
162628166,9007,4144,null,0,0
162628211,9117,4193,null,0,0
162628231,9150,4177,null,0,0
162628252,9090,4108,null,0,0
162628271,9039,4058,null,0,0
162628310,9005,4134,null,0,0
162628331,9080,4189,null,0,0
162628350,9106,4161,null,0,0
162628371,9096,4121,null,0,0
162628389,9017,4112,null,0,0
162628427,9017,4141,null,0,0
162628446,9113,4202,null,0,0
162628467,9145,4178,null,0,0
162628486,9118,4137,null,0,0
162628507,9053,4032,null,0,0
162628546,9064,4164,null,0,0
162628567,9157,4232,null,0,0
162628588,9208,4220,null,0,0
162628607,9176,4171,null,0,0
162628649,9129,4164,null,0,0
162628671,9105,4185,null,0,0
162628689,9189,4250,null,0,0
162628711,9240,4217,null,0,0
162628730,9187,4171,null,0,0
162628772,9078,4167,null,0,0
162628792,9147,4227,null,0,0
162628815,9197,4225,null,0,0
162628834,9161,4158,null,0,0
162628873,9092,4119,null,0,0
162628898,9067,4102,null,0,0
162628917,9129,4136,null,0,0
162628938,9074,4094,null,0,0
162628980,9030,4105,null,0,0
162629000,9108,4112,null,0,0
162629022,9091,4106,null,0,0
162629041,9029,4095,null,0,0
162629080,9132,4181,null,0,0
162629101,9114,4115,null,0,0
162629120,9214,4239,null,0,0
162629142,9152,4139,null,0,0
162629160,9084,4121,null,0,0
162629199,9217,4268,null,0,0
