time,spo2,hr,temp
11:54:03.214,97,79,
11:54:09.255,97,74,
11:54:12.280,96,74,
11:54:18.323,100,,
11:54:21.410,99,,33.3
11:54:24.374,97,,
11:54:27.383,96,,
11:54:30.406,89,67,
11:54:33.432,84,72,
11:54:36.530,85,75,33.5
11:54:39.472,87,76,
11:54:42.498,85,75,
11:54:45.525,86,71,
11:54:48.551,88,72,
11:54:51.630,91,,33.6
11:54:54.574,89,76,
11:54:57.597,89,77,
11:55:00.623,90,74,
11:55:03.648,89,74,
11:55:06.746,88,,33.8
11:55:09.690,88,,
11:55:12.720,89,76,
11:55:15.730,90,80,
11:55:18.760,91,80,
11:55:21.858,89,,33.8
11:55:24.798,88,,
11:55:27.826,84,75,
11:55:30.852,84,71,
11:55:33.879,82,72,
11:55:36.977,82,71,33.9
11:55:39.919,82,74,
11:55:42.939,81,74,
11:55:45.961,82,78,
11:55:48.964,80,82,
11:55:52.047,79,,34
11:55:55.027,76,,
11:55:58.053,77,,
11:56:01.057,73,,
11:56:04.084,73,,
11:56:07.177,71,,34.1
11:56:10.127,75,,
11:56:13.151,73,,
11:56:16.165,76,,
11:56:19.192,77,,
11:56:22.293,79,,34
11:56:25.245,78,,
11:56:28.270,80,82,
11:56:31.298,83,83,
11:56:34.301,85,,
11:56:37.401,86,83,34.1
11:56:40.342,85,81,
11:56:43.369,80,85,
11:56:46.395,79,,
11:56:49.421,77,,
11:56:52.521,71,,34.2
