time,ir,red,green,spo2,hr,temp
09:59:58,922,508,104,508,104,0
09:59:58,902,258,171,258,171,0
09:59:58,969,549,157,549,157,0
09:59:58,1030,112,153,112,153,0
09:59:59,788,679,69,679,69,0
09:59:59,943,392,210,392,210,0
09:59:59,930,674,174,674,174,0
09:59:59,979,336,159,336,159,0
09:59:59,1044,446,217,446,217,0
09:59:59,877,496,76,496,76,0
09:59:59,892,424,174,424,174,0
09:59:59,780,327,150,327,150,0
09:59:59,1110,18,197,18,197,0
09:59:59,909,258,109,258,109,0
09:59:59,813,0,99,0,99,0
09:59:59,0,160,52,160,52,0
10:00:00,918,713,111,713,111,0
10:00:00,748,425,210,425,210,0
10:00:00,960,932,118,932,118,0
10:00:00,916,496,0,496,0,0
10:00:00,1094,536,195,536,195,0
10:00:00,885,338,34,338,34,0
10:00:00,919,564,0,564,0,0
10:00:00,989,492,36,492,36,0
10:00:00,1012,149,209,149,209,0
10:00:00,1039,583,209,583,209,0
10:00:00,953,370,47,370,47,0
10:00:00,1014,0,131,0,131,0
10:00:01,1013,395,120,395,120,0
10:00:01,815,553,153,553,153,0
10:00:01,934,356,99,356,99,0
10:00:01,1054,316,233,316,233,0
10:00:01,927,893,166,893,166,0
10:00:01,941,394,0,394,0,0
10:00:01,1059,318,239,318,239,0
10:00:01,895,412,141,412,141,0
10:00:01,1053,388,199,388,199,0
10:00:01,1022,583,124,583,124,0
10:00:01,1055,424,144,424,144,0
10:00:01,778,420,243,420,243,0
10:00:02,936,0,99,0,99,0
10:00:02,1044,411,230,411,230,0
10:00:02,920,561,163,561,163,0
10:00:02,935,0,73,0,73,0
10:00:02,1021,647,250,647,250,0
10:00:02,807,70,47,70,47,0
10:00:02,877,440,136,440,136,0
10:00:02,1031,756,171,756,171,0
10:00:02,960,79,0,79,0,0
10:00:02,677,342,20,342,20,0
10:00:02,860,257,186,257,186,0
10:00:02,964,425,86,425,86,0
10:00:02,965,455,72,455,72,0
10:00:03,1022,360,131,360,131,0
10:00:03,1041,553,240,553,240,0
10:00:03,842,697,68,697,68,0
10:00:03,928,139,78,139,78,0
10:00:03,984,291,97,291,97,0
10:00:03,768,557,204,557,204,0
10:00:03,887,612,231,612,231,0
10:00:03,970,570,106,570,106,0
10:00:03,1055,169,174,169,174,0
10:00:03,760,582,173,582,173,0
10:00:03,895,537,0,537,0,0
10:00:03,982,346,138,346,138,0
10:00:04,0,586,147,586,147,0
10:00:04,819,216,0,216,0,0
10:00:04,991,482,20,482,20,0
10:00:04,759,585,171,585,171,0
10:00:04,985,496,129,496,129,0
10:00:04,965,421,95,421,95,0
10:00:04,711,0,16,0,16,0
10:00:04,807,182,120,182,120,0
10:00:04,986,406,0,406,0,0
10:00:04,886,237,88,237,88,0
10:00:04,802,355,115,355,115,0
10:00:04,923,740,132,740,132,0
10:00:04,1040,324,181,324,181,0
10:00:05,975,474,0,474,0,0
10:00:05,938,533,60,533,60,0
10:00:05,793,285,197,285,197,0
10:00:05,677,342,20,342,20,0
10:00:05,868,312,164,312,164,0
10:00:05,0,641,0,641,0,0
10:00:05,964,425,86,425,86,0
10:00:05,874,146,0,146,0,0
10:00:05,965,455,72,455,72,0
10:00:05,883,398,214,398,214,0
10:00:05,1022,360,131,360,131,0
10:00:05,968,381,238,381,238,0
10:00:06,1041,553,240,553,240,0
10:00:06,985,612,201,612,201,0
10:00:06,842,697,68,697,68,0
10:00:06,973,0,139,0,139,0
10:00:06,928,139,78,139,78,0
10:00:06,984,291,97,291,97,0
10:00:06,903,95,157,95,157,0
10:00:06,768,557,204,557,204,0
