time,spo2,hr,temp
10:52:14,692,196,0
10:52:14,647,200,0
10:52:14,699,176,0
10:52:14,652,152,0
10:52:14,692,190,0
10:52:14,682,142,0
10:52:14,646,190,0
10:52:14,703,178,0
10:52:14,669,154,0
10:52:14,677,201,0
10:52:14,693,161,0
10:52:14,640,188,0
10:52:14,706,178,0
10:52:14,659,156,0
10:52:14,673,204,0
10:52:14,695,160,0
10:52:15,648,183,0
10:52:15,699,180,0
10:52:15,676,136,0
10:52:15,662,202,0
10:52:15,704,166,0
10:52:15,657,173,0
10:52:15,702,198,0
10:52:15,682,147,0
10:52:15,658,203,0
10:52:15,693,165,0
10:52:15,643,176,0
10:52:15,700,186,0
10:52:15,677,159,0
10:52:15,655,216,0
10:52:15,699,168,0
10:52:15,651,163,0
10:52:15,695,194,0
10:52:15,662,195,0
10:52:15,694,170,0
10:52:15,654,173,0
10:52:15,704,189,0
10:52:15,677,88,0
10:52:15,645,207,0
10:52:15,692,177,0
10:52:15,661,175,0
10:52:15,697,203,0
10:52:15,642,146,0
10:52:15,639,201,0
10:52:15,703,174,0
10:52:15,648,144,0
10:52:15,690,194,0
10:52:15,744,157,0
10:52:15,657,199,0
10:52:15,724,152,0
10:52:15,638,195,0
10:52:15,676,152,0
10:52:15,663,207,0
10:52:15,686,165,0
10:52:16,656,185,0
10:52:16,666,147,0
10:52:16,660,195,0
10:52:16,702,159,0
10:52:16,649,176,0
10:52:16,661,198,0
10:52:16,676,140,0
10:52:16,698,188,0
10:52:16,683,142,0
10:52:16,712,177,0
10:52:16,655,152,0
10:52:16,693,197,0
10:52:16,709,185,0
10:52:16,658,144,0
10:52:16,690,202,0
10:52:16,688,165,0
10:52:16,652,205,0
10:52:16,686,189,0
10:52:16,668,214,0
10:52:16,687,161,0
10:52:16,653,179,0
10:52:16,698,186,0
10:52:16,660,205,0
10:52:16,657,195,0
10:52:16,695,198,0
10:52:16,666,203,0
10:52:16,704,164,0
10:52:16,656,167,0
10:52:16,679,196,0
10:52:16,661,195,0
10:52:16,704,177,0
10:52:16,685,162,0
10:52:16,688,185,0
10:52:16,681,160,0
10:52:16,655,201,0
10:52:16,605,156,0
10:52:17,677,198,0
10:52:17,703,167,0
10:52:17,643,187,0
10:52:17,655,152,0
10:52:17,700,213,0
10:52:17,634,190,0
10:52:17,667,146,0
10:52:17,661,202,0
10:52:17,687,124,0
