time,ir,red,green,spo2,hr,temp
11:31:24,36,11,0,11,0,0
11:31:24,26,20,12,20,12,0
11:31:24,0,0,32,0,32,0
11:31:24,0,10,0,10,0,0
11:31:24,0,42,45,42,45,0
11:31:24,14,0,14,0,14,0
11:31:24,0,0,0,0,0,0
11:31:24,21,30,0,30,0,0
11:31:24,0,26,74,26,74,0
11:31:24,0,0,0,0,0,0
11:31:24,0,8,0,8,0,0
11:31:24,29,0,18,0,18,0
11:31:24,0,11,0,11,0,0
11:31:24,7,0,26,0,26,0
11:31:24,21,41,5,41,5,0
11:31:24,0,0,0,0,0,0
11:31:24,32,83,26,83,26,0
11:31:24,0,19,0,19,0,0
11:31:24,0,0,20,0,20,0
11:31:24,21,37,12,37,12,0
11:31:24,0,0,0,0,0,0
11:31:24,32,24,23,24,23,0
11:31:24,0,26,0,26,0,0
11:31:24,0,0,17,0,17,0
11:31:24,30,19,17,19,17,0
11:31:24,0,0,0,0,0,0
11:31:24,26,5,29,5,29,0
11:31:24,0,20,0,20,0,0
11:31:24,0,0,0,0,0,0
11:31:24,34,19,19,19,19,0
11:31:24,0,0,0,0,0,0
11:31:24,18,0,34,0,34,0
11:31:24,13,12,0,12,0,0
11:31:24,0,0,12,0,12,0
11:31:25,33,12,12,12,12,0
11:31:25,0,2,0,2,0,0
11:31:25,16,0,26,0,26,0
11:31:25,10,27,0,27,0,0
11:31:25,0,0,2,0,2,0
11:31:25,28,20,7,20,7,0
11:31:25,0,0,0,0,0,0
11:31:25,17,0,37,0,37,0
11:31:25,14,30,6,30,6,0
11:31:25,0,0,0,0,0,0
11:31:25,33,7,28,7,28,0
11:31:25,0,18,0,18,0,0
11:31:25,5,0,18,0,18,0
11:31:25,20,29,0,29,0,0
11:31:25,0,0,0,0,0,0
11:31:25,38,9,15,9,15,0
11:31:25,0,16,0,16,0,0
11:31:25,0,0,15,0,15,0
11:31:25,7,21,6,21,6,0
11:31:25,0,0,0,0,0,0
11:31:25,22,0,32,0,32,0
11:31:25,0,0,0,0,0,0
11:31:25,0,0,20,0,20,0
11:31:25,27,26,10,26,10,0
11:31:25,0,0,0,0,0,0
11:31:25,22,2,24,2,24,0
11:31:25,0,82,0,82,0,0
11:31:25,0,0,6,0,6,0
11:31:25,25,31,20,31,20,0
11:31:25,0,4,0,4,0,0
11:31:25,12,0,23,0,23,0
11:31:25,13,34,0,34,0,0
11:31:25,0,0,3,0,3,0
11:31:25,29,26,22,26,22,0
11:31:25,0,0,0,0,0,0
11:31:25,19,0,28,0,28,0
11:31:25,19,62,0,62,0,0
11:31:25,0,0,0,0,0,0
11:31:25,48,17,0,17,0,0
11:31:26,0,4,0,4,0,0
11:31:26,3,0,16,0,16,0
11:31:26,72,19,9,19,9,0
11:31:26,0,0,0,0,0,0
11:31:26,1,0,70,0,70,0
11:31:26,0,0,0,0,0,0
11:31:26,0,0,28,0,28,0
11:31:26,17,36,4,36,4,0
11:31:26,0,0,0,0,0,0
11:31:26,16,4,24,4,24,0
11:31:26,7,16,0,16,0,0
11:31:26,0,0,15,0,15,0
11:31:26,19,37,17,37,17,0
11:31:26,0,0,0,0,0,0
11:31:26,25,9,36,9,36,0
11:31:26,2,20,0,20,0,0
11:31:26,0,0,10,0,10,0
11:31:26,25,25,8,25,8,0
11:31:26,0,2,0,2,0,0
11:31:26,17,0,24,0,24,0
11:31:26,9,35,0,35,0,0
11:31:26,0,0,0,0,0,0
11:31:26,31,45,15,45,15,0
11:31:26,0,0,0,0,0,0
11:31:26,3,0,26,0,26,0
11:31:26,9,9,0,9,0,0
11:31:26,0,0,0,0,0,0
11:31:26,31,27,25,27,25,0
11:31:26,0,0,0,0,0,0
11:31:26,4,0,4,0,4,0
11:31:26,13,35,0,35,0,0
11:31:26,0,0,0,0,0,0
11:31:26,27,11,25,11,25,0
11:31:26,0,21,0,21,0,0
11:31:26,4,0,27,0,27,0
11:31:26,17,24,13,24,13,0
11:31:26,0,0,0,0,0,0
11:31:26,29,11,27,11,27,0
11:31:27,0,26,0,26,0,0
11:31:27,0,0,29,0,29,0
11:31:27,20,30,12,30,12,0
11:31:27,0,0,0,0,0,0
11:31:27,22,1,24,1,24,0
11:31:27,6,16,0,16,0,0
11:31:27,0,0,14,0,14,0
11:31:27,27,17,10,17,10,0
11:31:27,0,48,0,48,0,0
11:31:27,36,0,31,0,31,0
11:31:27,0,6,31,6,31,0
11:31:27,0,0,3,0,3,0
11:31:27,36,23,16,23,16,0
11:31:27,0,3,0,3,0,0
11:31:27,21,0,30,0,30,0
11:31:27,16,17,0,17,0,0
11:31:27,0,0,1,0,1,0
11:31:27,24,24,20,24,20,0
11:31:27,0,2,0,2,0,0
11:31:27,11,0,24,0,24,0
11:31:27,14,38,53,38,53,0
11:31:27,0,0,0,0,0,0
11:31:27,37,24,26,24,26,0
11:31:27,0,14,0,14,0,0
11:31:27,19,0,32,0,32,0
11:31:27,9,32,0,32,0,0
11:31:27,0,0,0,0,0,0
11:31:27,29,12,0,12,0,0
11:31:27,0,6,0,6,0,0
11:31:27,0,0,17,0,17,0
11:31:27,16,25,7,25,7,0
11:31:27,0,0,0,0,0,0
11:31:27,15,11,25,11,25,0
11:31:27,0,9,0,9,0,0
11:31:27,0,0,26,0,26,0
11:31:27,36,41,10,41,10,0
11:31:27,0,0,0,0,0,0
11:31:27,32,5,20,5,20,0
11:31:27,0,10,0,10,0,0
11:31:27,0,0,3,0,3,0
11:31:27,35,32,26,32,26,0
11:31:27,0,0,0,0,0,0
11:31:28,20,0,30,0,30,0
11:31:28,6,22,0,22,0,0
11:31:28,0,0,0,0,0,0
11:31:28,39,21,23,21,23,0
11:31:28,0,0,0,0,0,0
11:31:28,26,35,20,35,20,0
11:31:28,0,0,0,0,0,0
11:31:28,11,0,34,0,34,0
11:31:28,5,29,0,29,0,0
11:31:28,0,0,0,0,0,0
11:31:28,33,16,7,16,7,0
11:31:28,0,0,31,0,31,0
11:31:28,22,26,0,26,0,0
11:31:28,0,30,0,30,0,0
11:31:28,27,12,32,12,32,0
11:31:28,0,0,14,0,14,0
11:31:28,9,49,0,49,0,0
11:31:28,33,0,0,0,0,0
11:31:28,33,11,33,11,33,0
11:31:28,0,0,20,0,20,0
11:31:28,25,20,5,20,5,0
