time,ir,red,green,spo2,hr,temp
10:52:14,710,692,196,692,196,0
10:52:14,707,647,200,647,200,0
10:52:14,703,699,176,699,176,0
10:52:14,662,652,152,652,152,0
10:52:14,718,692,190,692,190,0
10:52:14,705,682,142,682,142,0
10:52:14,692,646,190,646,190,0
10:52:14,717,703,178,703,178,0
10:52:14,673,669,154,669,154,0
10:52:14,712,677,201,677,201,0
10:52:14,687,693,161,693,161,0
10:52:14,686,640,188,640,188,0
10:52:14,724,706,178,706,178,0
10:52:14,671,659,156,659,156,0
10:52:14,705,673,204,673,204,0
10:52:14,696,695,160,695,160,0
10:52:15,675,648,183,648,183,0
10:52:15,717,699,180,699,180,0
10:52:15,671,676,136,676,136,0
10:52:15,716,662,202,662,202,0
10:52:15,706,704,166,704,166,0
10:52:15,674,657,173,657,173,0
10:52:15,718,702,198,702,198,0
10:52:15,665,682,147,682,147,0
10:52:15,707,658,203,658,203,0
10:52:15,719,693,165,693,165,0
10:52:15,667,643,176,643,176,0
10:52:15,719,700,186,700,186,0
10:52:15,688,677,159,677,159,0
10:52:15,705,655,216,655,216,0
10:52:15,710,699,168,699,168,0
10:52:15,668,651,163,651,163,0
10:52:15,718,695,194,695,194,0
10:52:15,693,662,195,662,195,0
10:52:15,705,694,170,694,170,0
10:52:15,656,654,173,654,173,0
10:52:15,725,704,189,704,189,0
10:52:15,692,677,88,677,88,0
10:52:15,698,645,207,645,207,0
10:52:15,705,692,177,692,177,0
10:52:15,663,661,175,661,175,0
10:52:15,709,697,203,697,203,0
10:52:15,678,642,146,642,146,0
10:52:15,699,639,201,639,201,0
10:52:15,727,703,174,703,174,0
10:52:15,664,648,144,648,144,0
10:52:15,730,690,194,690,194,0
10:52:15,687,744,157,744,157,0
10:52:15,691,657,199,657,199,0
10:52:15,696,724,152,724,152,0
10:52:15,683,638,195,638,195,0
10:52:15,674,676,152,676,152,0
10:52:15,727,663,207,663,207,0
10:52:15,733,686,165,686,165,0
10:52:16,659,656,185,656,185,0
10:52:16,676,666,147,666,147,0
10:52:16,711,660,195,660,195,0
10:52:16,703,702,159,702,159,0
10:52:16,666,649,176,649,176,0
10:52:16,725,661,198,661,198,0
10:52:16,677,676,140,676,140,0
10:52:16,719,698,188,698,188,0
10:52:16,682,683,142,683,142,0
10:52:16,705,712,177,712,177,0
10:52:16,667,655,152,655,152,0
10:52:16,732,693,197,693,197,0
10:52:16,707,709,185,709,185,0
10:52:16,662,658,144,658,144,0
10:52:16,728,690,202,690,202,0
10:52:16,686,688,165,688,165,0
10:52:16,689,652,205,652,205,0
10:52:16,722,686,189,686,189,0
10:52:16,710,668,214,668,214,0
10:52:16,697,687,161,687,161,0
10:52:16,674,653,179,653,179,0
10:52:16,716,698,186,698,186,0
10:52:16,715,660,205,660,205,0
10:52:16,675,657,195,657,195,0
10:52:16,723,695,198,695,198,0
10:52:16,691,666,203,666,203,0
10:52:16,714,704,164,704,164,0
10:52:16,671,656,167,656,167,0
10:52:16,706,679,196,679,196,0
10:52:16,698,661,195,661,195,0
10:52:16,713,704,177,704,177,0
10:52:16,663,685,162,685,162,0
10:52:16,722,688,185,688,185,0
10:52:16,683,681,160,681,160,0
10:52:16,685,655,201,655,201,0
10:52:16,665,605,156,605,156,0
10:52:17,709,677,198,677,198,0
10:52:17,643,703,167,703,167,0
10:52:17,688,643,187,643,187,0
10:52:17,669,655,152,655,152,0
10:52:17,674,700,213,700,213,0
10:52:17,679,634,190,634,190,0
10:52:17,666,667,146,667,146,0
10:52:17,713,661,202,661,202,0
10:52:17,694,687,124,687,124,0
10:52:17,679,645,181,645,181,0
10:52:17,674,677,158,677,158,0
10:52:17,706,659,200,659,200,0
10:52:17,717,700,165,700,165,0
10:52:17,661,657,173,657,173,0
10:52:17,715,704,191,704,191,0
10:52:17,710,699,169,699,169,0
10:52:17,661,659,162,659,162,0
10:52:17,728,708,196,708,196,0
10:52:17,659,682,149,682,149,0
10:52:17,706,693,170,693,170,0
10:52:17,669,647,152,647,152,0
10:52:17,732,693,189,693,189,0
10:52:17,682,685,155,685,155,0
10:52:17,717,707,174,707,174,0
10:52:17,719,675,217,675,217,0
10:52:17,712,685,153,685,153,0
10:52:17,722,704,184,704,184,0
10:52:17,712,685,199,685,199,0
10:52:17,709,685,153,685,153,0
10:52:17,662,637,217,637,217,0
10:52:17,713,699,193,699,193,0
10:52:17,705,658,199,658,199,0
10:52:17,703,702,159,702,159,0
10:52:17,666,661,167,661,167,0
10:52:17,720,708,196,708,196,0
10:52:17,710,648,206,648,206,0
10:52:17,706,701,167,701,167,0
10:52:18,676,594,171,594,171,0
10:52:18,721,690,191,690,191,0
10:52:18,700,655,206,655,206,0
10:52:18,708,696,177,696,177,0
10:52:18,617,654,160,654,160,0
10:52:18,729,687,195,687,195,0
10:52:18,701,649,196,649,196,0
10:52:18,658,667,126,667,126,0
10:52:18,728,680,206,680,206,0
10:52:18,692,680,201,680,201,0
10:52:18,667,645,189,645,189,0
10:52:18,670,671,147,671,147,0
10:52:18,730,672,205,672,205,0
10:52:18,703,739,159,739,159,0
10:52:18,663,641,184,641,184,0
10:52:18,677,672,150,672,150,0
10:52:18,695,654,213,654,213,0
10:52:18,689,689,148,689,148,0
10:52:18,669,653,180,653,180,0
10:52:18,673,671,144,671,144,0
10:52:18,706,660,197,660,197,0
10:52:18,698,705,150,705,150,0
10:52:18,690,681,150,681,150,0
10:52:18,697,658,200,658,200,0
10:52:18,709,700,172,700,172,0
10:52:18,662,660,162,660,162,0
10:52:18,689,665,144,665,144,0
10:52:18,716,699,184,699,184,0
10:52:18,721,740,205,740,205,0
10:52:18,706,684,145,684,145,0
10:52:18,710,709,185,709,185,0
10:52:18,652,665,153,665,153,0
10:52:18,716,670,189,670,189,0
10:52:18,722,703,183,703,183,0
10:52:18,676,672,151,672,151,0
10:52:18,719,643,194,643,194,0
10:52:18,712,698,173,698,173,0
10:52:18,723,692,185,692,185,0
10:52:18,661,667,140,667,140,0
10:52:18,721,657,206,657,206,0
10:52:18,703,693,170,693,170,0
10:52:18,706,697,249,697,249,0
10:52:18,684,674,168,674,168,0
10:52:19,701,643,179,643,179,0
10:52:19,702,697,181,697,181,0
10:52:19,663,648,128,648,128,0
10:52:19,730,696,145,696,145,0
10:52:19,693,679,131,679,131,0
10:52:19,692,663,199,663,199,0
10:52:19,707,697,180,697,180,0
10:52:19,669,662,159,662,159,0
10:52:19,726,680,185,680,185,0
10:52:19,691,683,143,683,143,0
10:52:19,689,650,196,650,196,0
10:52:19,723,699,187,699,187,0
10:52:19,653,662,173,662,173,0
10:52:19,717,676,202,676,202,0
10:52:19,706,693,157,693,157,0
10:52:19,675,653,179,653,179,0
10:52:19,701,704,183,704,183,0
10:52:19,663,673,144,673,144,0
10:52:19,720,662,203,662,203,0
10:52:19,704,691,159,691,159,0
10:52:19,666,642,188,642,188,0
10:52:19,725,693,196,693,196,0
10:52:19,667,659,157,659,157,0
10:52:19,709,652,196,652,196,0
10:52:19,688,700,170,700,170,0
10:52:19,674,660,179,660,179,0
10:52:19,722,704,192,704,192,0
10:52:19,692,677,147,677,147,0
10:52:19,709,655,203,655,203,0
10:52:19,714,698,180,698,180,0
10:52:19,706,697,249,697,249,0
10:52:19,670,658,166,658,166,0
10:52:19,684,674,168,674,168,0
10:52:19,716,708,203,708,203,0
10:52:19,701,643,179,643,179,0
10:52:19,690,680,138,680,138,0
10:52:19,702,697,181,697,181,0
10:52:19,691,643,208,643,208,0
10:52:19,663,648,128,648,128,0
10:52:19,713,702,181,702,181,0
10:52:19,730,696,145,696,145,0
10:52:19,660,657,156,657,156,0
10:52:20,693,679,131,679,131,0
10:52:20,713,681,196,681,196,0
10:52:20,692,663,199,663,199,0
10:52:20,695,693,147,693,147,0
10:52:20,707,697,180,697,180,0
10:52:20,687,704,195,704,195,0
10:52:20,669,662,159,662,159,0
10:52:20,708,725,184,725,184,0
10:52:20,726,680,185,680,185,0
10:52:20,672,666,149,666,149,0
10:52:20,691,683,143,683,143,0
10:52:20,716,653,208,653,208,0
10:52:20,689,650,196,650,196,0
10:52:20,713,645,151,645,151,0
10:52:20,723,699,187,699,187,0
10:52:20,720,603,190,603,190,0
10:52:20,653,662,173,662,173,0
10:52:20,763,683,185,683,185,0
10:52:20,717,676,202,676,202,0
10:52:20,701,669,155,669,155,0
10:52:20,706,693,157,693,157,0
10:52:20,701,666,212,666,212,0
10:52:20,675,653,179,653,179,0
10:52:20,662,684,155,684,155,0
10:52:20,701,704,183,704,183,0
10:52:20,619,636,180,636,180,0
10:52:20,663,673,144,673,144,0
10:52:20,696,692,262,692,262,0
10:52:20,720,662,203,662,203,0
10:52:20,665,672,199,672,199,0
10:52:20,704,691,159,691,159,0
10:52:20,717,660,208,660,208,0
10:52:20,666,642,188,642,188,0
10:52:20,725,693,196,693,196,0
10:52:20,725,693,196,693,196,0
10:52:20,667,659,157,659,157,0
10:52:20,667,659,144,659,144,0
10:52:20,709,652,196,652,196,0
10:52:20,671,674,146,674,146,0
10:52:20,688,700,170,700,170,0
10:52:20,708,649,201,649,201,0
10:52:20,674,660,179,660,179,0
10:52:21,711,691,166,691,166,0
10:52:21,722,704,192,704,192,0
10:52:21,672,643,173,643,173,0
10:52:21,692,677,147,677,147,0
10:52:21,709,686,195,686,195,0
10:52:21,709,655,203,655,203,0
10:52:21,684,690,161,690,161,0
10:52:21,714,698,180,698,180,0
10:52:21,701,648,207,648,207,0
