time,cnt,ir,red,green,spo2,hr,temp
13:57:51:199,2357,110255,96371,8070,0,0,0
13:57:51:213,2405,113717,98707,7165,0,0,0
13:57:51:227,2453,123094,103776,7602,0,0,0
13:57:51:240,2502,133694,111241,8617,0,0,0
13:57:51:279,2550,140475,115676,9412,0,0,0
13:57:51:335,2599,144400,116261,10218,0,0,0
13:57:51:387,2648,146969,117456,11017,0,0,0
13:57:51:430,2696,148390,116441,11539,0,0,0
13:57:51:480,2744,148754,117045,12387,0,0,0
13:57:51:535,2793,149110,117058,12637,0,0,0
13:57:51:594,2841,149119,116909,12913,0,0,0
13:57:51:614,2889,149454,116902,13098,0,0,0
13:57:51:670,2938,149505,117333,13395,0,0,0
13:57:51:728,2986,149504,116459,13599,0,0,0
13:57:51:772,3035,149828,116768,13803,0,0,0
13:57:51:822,3083,149851,116412,13973,0,0,0
13:57:51:872,3131,149942,115690,14076,0,0,0
13:57:51:921,3180,150150,115728,14453,0,0,0
13:57:51:990,3228,150345,115772,14650,0,0,0
13:57:52:006,3277,150695,116414,14929,0,0,0
13:57:52:109,3325,151169,116420,15295,0,0,0
13:57:52:164,3373,151209,116549,15284,0,0,0
13:57:52:276,3422,151516,115809,15472,0,0,0
13:57:52:286,3470,154863,117837,18326,0,0,0
13:57:52:300,3519,155121,117316,18259,0,0,0
13:57:52:361,3627,155195,117523,18295,92,76,0
13:57:52:403,3663,155203,117383,18342,0,0,0
13:57:52:460,3712,155223,117116,18265,0,0,0
13:57:52:503,3761,155437,117953,18428,0,0,0
13:57:52:554,3809,155230,117783,18355,0,0,0
13:57:52:616,3857,155362,117941,18515,0,0,0
13:57:52:641,3906,155450,117852,18533,0,0,0
13:57:52:699,3954,155287,117793,18535,0,0,0
13:57:52:751,4003,155287,117823,18516,0,0,0
13:57:52:800,4051,155599,118052,18572,0,0,0
13:57:52:845,4099,155480,118001,18512,0,0,0
13:57:52:887,4148,155681,117815,18667,0,0,0
13:57:52:940,4196,155787,117882,18704,0,0,0
13:57:52:991,4245,155870,117820,18665,0,0,0
13:57:53:028,4293,155861,118125,18831,0,0,0
13:57:53:135,4341,155909,118031,18780,0,0,0
13:57:53:189,4390,155769,118034,18681,0,0,0
13:57:53:237,4438,155757,118192,18809,0,0,0
13:57:53:284,4487,155718,117861,18820,0,0,0
13:57:53:334,4535,155459,117736,18743,0,0,0
13:57:53:380,4631,155496,117969,18812,0,0,0
13:57:53:427,4680,155265,117916,18827,0,0,0
13:57:53:479,4728,155277,117723,18811,0,0,0
13:57:53:528,4777,155518,117771,18761,0,0,0
13:57:53:577,4825,154351,117690,17492,0,0,0
13:57:53:665,4873,155448,118138,18815,0,0,0
13:57:53:718,4922,155472,118053,18795,0,0,0
13:57:53:772,4970,155420,117434,18840,0,0,0
13:57:53:821,5019,155456,117685,18877,0,0,0
13:57:53:879,5067,155356,117866,18837,0,0,0
13:57:53:890,5164,155164,117393,18722,0,0,0
13:57:53:897,5212,155125,117377,18887,0,0,0
13:57:53:903,5261,155232,117586,18887,0,0,0
13:57:53:908,5309,155367,117738,18929,0,0,0
13:57:53:942,5365,155277,117749,18973,0,0,0
13:57:53:997,5381,155098,117526,18825,0,0,0
13:57:54:003,5401,155056,117513,18900,0,0,0
13:57:54:010,5421,155163,117728,18969,0,0,0
13:57:54:016,5441,155151,117393,18923,0,0,0
13:57:54:026,5461,155316,117669,18990,0,0,0
13:57:54:033,5481,153866,117409,18973,0,0,0
13:57:54:041,5501,155299,117790,18934,0,0,0
13:57:54:048,5521,155461,117664,18979,0,0,0
13:57:54:099,5541,155496,117779,19016,0,0,0
13:57:54:110,5561,155240,117995,19009,0,0,0
13:57:54:181,5581,155316,117865,19044,0,0,0
13:57:54:189,5601,155417,117812,19062,0,0,0
13:57:54:197,5621,155377,116767,18980,0,0,0
13:57:54:207,5641,155300,117636,18955,0,0,0
13:57:54:216,5661,155450,116800,19022,0,0,0
13:57:54:221,5681,155253,117813,18995,0,0,0
13:57:54:229,5701,155166,117291,19084,0,0,0
13:57:54:236,5721,155185,117043,19054,0,0,0
13:57:54:244,5741,155247,116790,19012,0,0,0
13:57:54:269,5761,155151,117384,19096,0,0,0
13:57:54:318,5781,155261,117736,19079,0,0,0
13:57:54:325,5801,155322,117449,19102,0,0,0
13:57:54:338,5821,155128,117864,19110,0,0,0
13:57:54:350,5841,155349,117602,19133,0,0,0
13:57:54:369,5861,155297,117447,19131,0,0,0
13:57:54:394,5881,155250,117519,19094,0,0,0
13:57:54:420,5901,155230,117621,19057,0,0,0
13:57:54:439,5921,155190,117395,19036,0,0,0
13:57:54:450,5941,155442,117343,19101,0,0,0
13:57:54:473,5961,155410,117417,19101,0,0,0
13:57:54:520,5981,155190,117839,19116,0,0,0
13:57:54:526,6001,154977,117079,17945,0,0,0
13:57:54:534,6021,155213,117202,19095,0,0,0
13:57:54:549,6041,154961,117527,19036,0,0,0
13:57:54:573,6061,154879,117420,19027,0,0,0
13:57:54:597,6081,155199,117138,19053,0,0,0
13:57:54:621,6101,155132,117570,19141,0,0,0
13:57:54:631,6121,154956,117511,19165,0,0,0
13:57:54:653,6141,155237,117547,19100,0,0,0
13:57:54:677,6161,155103,117375,17753,0,0,0
13:57:54:723,6181,155355,117635,19147,0,0,0
13:57:54:733,6201,155105,117561,19020,0,0,0
13:57:54:740,6221,155251,117469,19193,0,0,0
13:57:54:759,6241,155171,117270,19113,0,0,0
13:57:54:775,6261,155217,117347,19008,0,0,0
13:57:54:801,6281,155057,117491,19042,0,0,0
13:57:54:823,6301,155054,117347,19139,0,0,0
13:57:54:833,6321,155203,117357,19119,0,0,0
13:57:54:858,6341,155041,117113,19088,0,0,0
13:57:54:882,6361,153944,117226,17752,0,0,0
13:57:54:933,6381,155061,117576,19110,0,0,0
13:57:54:940,6401,154950,117615,19146,0,0,0
13:57:54:946,6421,155300,117779,19086,0,0,0
13:57:54:955,6441,155155,117784,17764,0,0,0
