time,spo2,hr,temp
12:23:11.399,,,34.8
12:23:11.459,91,,
12:23:12.600,91,73,
12:23:15.488,92,77,
12:23:18.515,88,,
12:23:21.579,90,80,34.8
12:23:24.569,92,84,
12:23:27.582,93,79,
12:23:30.618,95,,
12:23:33.633,93,81,
12:23:36.712,93,81,34.8
12:23:39.666,96,,
12:23:42.681,95,,
12:23:45.718,93,,
12:23:48.743,92,,
12:23:51.821,93,82,34.8
12:23:54.778,93,,
12:23:57.812,96,,
12:24:00.836,96,,
12:24:03.851,95,78,
12:24:06.919,94,76,34.9
12:24:09.892,93,74,
12:24:12.907,93,75,
12:24:15.947,92,,
12:24:18.994,93,,
12:24:22.038,94,71,34.8
12:24:25.002,96,72,
12:24:28.029,97,74,
12:24:31.058,94,75,
12:24:34.072,96,,
12:24:37.135,94,,34.9
12:24:40.099,92,76,
12:24:43.149,90,76,
12:24:46.153,92,77,
12:25:07.348,91,,35
12:25:10.339,92,,
12:25:13.354,95,,
12:25:16.369,93,,
12:25:19.386,94,,
12:25:22.474,92,,35
12:25:25.438,95,71,
12:25:28.486,94,69,
12:25:31.489,96,68,
12:25:34.504,96,,
12:25:37.566,96,,35.1
12:25:40.534,94,73,
12:25:43.562,97,74,
12:25:46.599,97,,
12:25:49.613,96,,
12:25:52.689,95,71,35
12:26:10.763,88,,
12:26:13.790,91,,
12:26:16.805,93,,
12:26:19.819,95,71,
12:26:22.898,96,75,35
12:26:25.884,94,71,
12:26:38.006,92,,35
12:26:34.929,90,,
12:26:28.909,93,,
12:26:31.914,88,,
12:26:40.979,93,75,
12:26:43.995,91,71,
12:26:47.032,89,,
12:26:50.061,88,,
12:26:53.126,87,69,35
12:26:56.089,88,,
12:26:59.104,90,67,
12:27:02.130,91,,
12:27:05.168,92,,
12:27:08.244,95,,35
12:27:11.198,96,,
12:27:56.542,95,,
12:27:59.552,93,,
12:28:05.604,96,64,
12:27:53.596,94,67,34.9
12:28:08.709,91,62,35
12:28:11.658,89,,
12:28:20.703,88,,
12:28:23.818,90,61,34.9
12:28:14.670,90,,
12:28:17.689,90,59,
12:28:26.753,91,61,
12:28:29.785,93,65,
12:28:38.927,93,,35
12:28:44.892,96,,
12:28:32.794,96,,
12:28:35.811,95,62,
12:28:56.971,100,,
12:28:50.920,96,60,
12:28:54.036,98,,35
12:28:47.907,95,,
12:29:03.018,99,,
12:29:06.028,97,55,
12:29:09.162,95,57,35
12:29:00.001,99,57,
12:29:12.079,96,,
12:29:15.099,95,59,
12:29:18.139,96,57,
12:29:21.150,95,60,
12:29:24.267,93,58,35
12:29:33.233,90,66,
12:29:27.188,92,63,
12:29:30.204,90,63,
12:29:39.374,91,69,35
12:29:42.297,90,71,
12:29:45.316,92,68,
12:29:36.267,88,69,
12:29:51.376,93,71,
12:29:54.488,93,73,34.9
12:29:48.338,92,69,
12:29:57.405,93,75,
12:30:00.426,89,79,
12:30:03.440,91,78,
12:30:06.490,91,75,
12:30:09.610,90,,35
12:30:12.524,88,,
12:30:15.529,90,,
12:30:18.568,91,77,
12:30:21.582,92,,
12:30:27.645,93,82,
12:30:30.704,95,84,
12:30:24.663,91,80,35
