time,spo2,hr,temp
17:33:12.127,0,0,0
17:33:12.127,0,0,0
17:33:12.127,0,0,0
17:33:12.127,0,0,0
17:33:12.127,0,0,0
17:33:12.127,0,0,0
17:33:12.127,0,0,0
17:33:12.127,0,0,0
17:33:12.127,0,0,0
17:33:12.127,0,0,0
17:33:12.618,0,0,0
17:33:12.618,0,0,0
17:33:12.618,0,0,0
17:33:12.618,0,0,0
17:33:12.618,0,0,0
17:33:12.618,0,0,0
17:33:12.618,0,0,0
17:33:12.618,0,0,0
17:33:12.618,0,0,0
17:33:12.618,0,0,0
17:33:13.107,0,0,0
17:33:13.107,0,0,0
17:33:13.107,0,0,0
17:33:13.107,0,0,0
17:33:13.107,0,0,0
17:33:13.107,0,0,0
17:33:13.107,0,0,0
17:33:13.107,0,0,0
17:33:13.107,0,0,0
17:33:13.107,0,0,0
17:33:13.689,0,0,0
17:33:13.689,0,0,0
17:33:13.689,0,0,0
17:33:13.689,0,0,0
17:33:13.689,0,0,0
17:33:13.689,0,0,0
17:33:13.689,0,0,0
17:33:13.689,0,0,0
17:33:13.689,0,0,0
17:33:13.689,0,0,0
17:33:14.226,0,0,0
17:33:14.226,0,0,0
17:33:14.226,0,0,0
17:33:14.226,0,0,0
17:33:14.226,0,0,0
17:33:14.226,0,0,0
17:33:14.226,0,0,0
17:33:14.226,0,0,0
17:33:14.226,0,0,0
17:33:14.226,0,0,0
17:33:14.815,0,0,0
17:33:14.815,0,0,0
17:33:14.815,0,0,0
17:33:14.815,0,0,0
17:33:14.815,0,0,0
17:33:14.815,0,0,0
17:33:14.815,0,0,0
17:33:14.815,0,0,0
17:33:14.815,0,0,0
17:33:14.815,0,0,0
17:33:15.350,0,0,0
17:33:15.350,71,0,0
17:33:15.350,0,0,0
17:33:15.350,0,0,0
17:33:15.350,0,0,0
17:33:15.350,0,0,0
17:33:15.350,0,0,0
17:33:15.350,0,0,0
17:33:15.350,0,0,0
17:33:15.350,0,0,0
17:33:15.894,0,0,0
17:33:15.894,0,0,0
17:33:15.894,0,0,0
17:33:15.894,0,0,0
17:33:15.894,0,0,0
17:33:15.894,0,0,0
17:33:15.894,0,0,0
17:33:15.894,0,0,0
17:33:15.894,0,0,0
17:33:15.894,0,0,0
17:33:16.025,0,0,0
17:33:16.025,0,0,0
17:33:16.025,0,0,0
17:33:16.025,0,0,0
17:33:16.025,0,0,0
17:33:16.025,0,0,0
17:33:16.025,0,0,0
17:33:16.025,0,0,0
17:33:16.025,0,0,0
17:33:16.025,0,0,0
17:33:16.196,0,0,0
17:33:16.196,0,0,0
17:33:16.196,0,0,0
17:33:16.196,0,0,0
17:33:16.196,0,0,0
17:33:16.196,0,0,0
17:33:16.196,0,0,0
17:33:16.196,0,0,0
17:33:16.196,0,0,0
17:33:16.196,0,0,0
17:33:16.387,0,0,0
17:33:16.387,0,0,0
17:33:16.387,0,0,0
17:33:16.387,0,0,0
17:33:16.387,0,0,0
17:33:16.387,0,0,0
17:33:16.387,0,0,0
17:33:16.387,0,0,0
17:33:16.387,0,0,0
17:33:16.387,0,0,0
17:33:16.592,0,0,0
17:33:16.592,0,0,0
17:33:16.592,0,0,0
17:33:16.592,0,0,0
17:33:16.592,0,0,0
17:33:16.592,0,0,0
17:33:16.592,0,0,0
17:33:16.592,0,0,0
17:33:16.592,0,0,0
17:33:16.592,0,0,0
17:33:16.794,0,0,0
17:33:16.794,0,0,0
17:33:16.794,0,0,0
