time,ir,red,green,spo2,hr,temp
10:29:10,808,402,0,402,0,0
10:29:10,704,209,0,209,0,0
10:29:10,798,253,143,253,143,0
10:29:10,749,370,275,370,275,0
10:29:10,845,147,51,147,51,0
10:29:10,774,391,144,391,144,0
10:29:10,911,377,111,377,111,0
10:29:10,828,506,142,506,142,0
10:29:10,706,524,91,524,91,0
10:29:10,738,150,0,150,0,0
10:29:10,771,310,143,310,143,0
10:29:10,800,380,48,380,48,0
10:29:10,813,370,115,370,115,0
10:29:10,756,378,0,378,0,0
10:29:10,714,38,9,38,9,0
10:29:10,846,67,103,67,103,0
10:29:10,808,434,153,434,153,0
10:29:10,736,515,148,515,148,0
10:29:10,699,14,163,14,163,0
10:29:10,775,189,78,189,78,0
10:29:10,784,577,62,577,62,0
10:29:10,738,0,90,0,90,0
10:29:10,721,177,117,177,117,0
10:29:10,808,179,43,179,43,0
10:29:10,889,217,0,217,0,0
10:29:10,808,202,65,202,65,0
10:29:10,859,411,155,411,155,0
10:29:10,766,302,102,302,102,0
10:29:10,788,437,52,437,52,0
10:29:10,727,206,67,206,67,0
10:29:10,716,312,15,312,15,0
10:29:10,710,92,87,92,87,0
10:29:10,811,73,19,73,19,0
10:29:10,669,561,0,561,0,0
10:29:10,695,59,0,59,0,0
10:29:10,841,308,189,308,189,0
10:29:10,769,97,82,97,82,0
10:29:10,725,479,30,479,30,0
10:29:10,790,490,14,490,14,0
10:29:10,744,129,0,129,0,0
10:29:10,773,103,72,103,72,0
10:29:10,540,300,232,300,232,0
10:29:10,818,83,29,83,29,0
10:29:10,938,259,128,259,128,0
10:29:10,751,369,169,369,169,0
10:29:10,843,459,183,459,183,0
10:29:10,761,471,110,471,110,0
10:29:10,644,283,71,283,71,0
10:29:10,652,518,3,518,3,0
10:29:10,792,304,36,304,36,010:29:11,750,22,0,22,0,0
10:29:11,600,301,89,301,89,0
10:29:11,814,355,82,355,82,0
10:29:11,690,436,0,436,0,0
10:29:11,745,197,42,197,42,0
10:29:11,843,382,19,382,19,0
10:29:11,834,315,0,315,0,0
10:29:11,566,117,90,117,90,0
10:29:11,807,281,9,281,9,0
10:29:11,739,382,42,382,42,0
10:29:11,681,387,40,387,40,0
10:29:11,744,420,68,420,68,0
10:29:11,764,162,114,162,114,0
10:29:11,750,528,16,528,16,0
10:29:11,733,231,37,231,37,0
10:29:11,696,197,97,197,97,0
10:29:11,864,90,131,90,131,0
10:29:11,729,382,142,382,142,0
10:29:11,752,269,81,269,81,0
10:29:11,581,254,229,254,229,0
10:29:11,746,25,191,25,191,0
10:29:11,790,328,120,328,120,0
10:29:11,835,216,80,216,80,0
10:29:11,751,219,0,219,0,0
10:29:11,810,0,67,0,67,0
10:29:12,792,305,53,305,53,0
10:29:12,743,232,9,232,9,0
10:29:12,731,470,0,470,0,0
10:29:12,763,156,39,156,39,0
10:29:12,708,387,134,387,134,0
10:29:12,778,338,160,338,160,0
10:29:12,678,206,0,206,0,0
10:29:12,667,149,109,149,109,0
10:29:12,829,428,180,428,180,0
10:29:12,897,223,112,223,112,0
10:29:12,703,371,76,371,76,0
10:29:12,820,414,0,414,0,0
10:29:12,813,449,182,449,182,0
10:29:12,813,374,68,374,68,0
10:29:12,650,0,312,0,312,0
10:29:12,777,135,73,135,73,0
10:29:12,807,313,133,313,133,0
10:29:12,781,156,75,156,75,0
10:29:12,773,215,100,215,100,0
10:29:12,628,451,57,451,57,0
10:29:12,661,343,55,343,55,0
10:29:12,815,396,139,396,139,0
10:29:12,747,238,129,238,129,0
10:29:12,555,483,78,483,78,0
10:29:12,738,288,0,288,0,0
