time,ir,red,green,spo2,hr,temp
09:33:21,827,123,142,123,142,0
09:33:22,849,216,123,216,123,0
09:33:22,717,175,57,175,57,0
09:33:22,769,143,54,143,54,0
09:33:22,812,98,149,98,149,0
09:33:22,774,254,21,254,21,0
09:33:22,719,177,6,177,6,0
09:33:22,730,152,18,152,18,0
09:33:22,683,234,72,234,72,0
09:33:22,876,0,0,0,0,0
09:33:22,691,202,3,202,3,0
09:33:22,480,223,163,223,163,0
09:33:22,715,189,51,189,51,0
09:33:22,910,62,110,62,110,0
09:33:22,804,237,68,237,68,0
09:33:22,785,372,34,372,34,0
09:33:22,783,90,58,90,58,0
09:33:22,813,407,122,407,122,0
09:33:22,685,273,32,273,32,0
09:33:22,684,242,0,242,0,0
09:33:22,655,196,67,196,67,0
09:33:22,735,126,45,126,45,0
09:33:22,869,37,64,37,64,0
09:33:22,718,325,0,325,0,0
09:33:22,718,396,68,396,68,0
09:33:22,711,656,45,656,45,0
09:33:22,747,292,30,292,30,0
09:33:22,737,298,26,298,26,0
09:33:22,750,16,33,16,33,0
09:33:22,734,230,68,230,68,0
09:33:22,839,138,97,138,97,0
09:33:22,758,314,54,314,54,0
09:33:22,665,71,0,71,0,0
09:33:22,717,543,147,543,147,0
09:33:22,589,203,80,203,80,0
09:33:22,695,312,91,312,91,0
09:33:22,693,146,0,146,0,0
09:33:22,714,176,37,176,37,0
09:33:22,834,230,87,230,87,0
09:33:23,778,337,70,337,70,0
09:33:23,611,502,0,502,0,0
09:33:23,683,268,35,268,35,0
09:33:23,575,253,32,253,32,0
09:33:23,689,233,260,233,260,0
09:33:23,768,214,0,214,0,0
09:33:23,784,153,68,153,68,0
09:33:23,728,312,12,312,12,0
09:33:23,763,360,0,360,0,0
09:33:23,798,697,13,697,13,0
09:33:23,880,56,47,56,47,0
09:33:23,698,100,100,100,100,0
09:33:23,962,252,36,252,36,0
09:33:23,683,263,0,263,0,0
09:33:23,716,145,51,145,51,0
09:33:23,635,97,139,97,139,0
09:33:23,686,234,124,234,124,0
09:33:23,731,65,0,65,0,0
09:33:23,805,533,0,533,0,0
09:33:23,790,325,47,325,47,0
09:33:23,760,331,100,331,100,0
09:33:24,760,331,100,331,100,0
09:33:24,679,269,79,269,79,34
09:33:24,730,185,41,185,41,0
09:33:24,798,249,106,249,106,0
09:33:24,1005,119,26,119,26,0
09:33:24,803,326,68,326,68,0
09:33:24,663,98,24,98,24,0
09:33:24,706,214,25,214,25,0
09:33:24,750,303,73,303,73,0
09:33:24,785,266,76,266,76,0
09:33:24,773,75,25,75,25,0
09:33:24,777,167,61,167,61,0
09:33:24,754,376,96,376,96,0
09:33:24,755,338,51,338,51,0
09:33:24,810,188,26,188,26,0
