time,spo2,hr,temp
10:29:10,402,0,0
10:29:10,209,0,0
10:29:10,253,143,0
10:29:10,370,275,0
10:29:10,147,51,0
10:29:10,391,144,0
10:29:10,377,111,0
10:29:10,506,142,0
10:29:10,524,91,0
10:29:10,150,0,0
10:29:10,310,143,0
10:29:10,380,48,0
10:29:10,370,115,0
10:29:10,378,0,0
10:29:10,38,9,0
10:29:10,67,103,0
10:29:10,434,153,0
10:29:10,515,148,0
10:29:10,14,163,0
10:29:10,189,78,0
10:29:10,577,62,0
10:29:10,0,90,0
10:29:10,177,117,0
10:29:10,179,43,0
10:29:10,217,0,0
10:29:10,202,65,0
10:29:10,411,155,0
10:29:10,302,102,0
10:29:10,437,52,0
10:29:10,206,67,0
10:29:10,312,15,0
10:29:10,92,87,0
10:29:10,73,19,0
10:29:10,561,0,0
10:29:10,59,0,0
10:29:10,308,189,0
10:29:10,97,82,0
10:29:10,479,30,0
10:29:10,490,14,0
10:29:10,129,0,0
10:29:10,103,72,0
10:29:10,300,232,0
10:29:10,83,29,0
10:29:10,259,128,0
10:29:10,369,169,0
10:29:10,459,183,0
10:29:10,471,110,0
10:29:10,283,71,0
10:29:10,518,3,0
10:29:10,304,36,010:29:11,22,0,0
10:29:11,301,89,0
10:29:11,355,82,0
10:29:11,436,0,0
10:29:11,197,42,0
10:29:11,382,19,0
10:29:11,315,0,0
10:29:11,117,90,0
10:29:11,281,9,0
10:29:11,382,42,0
10:29:11,387,40,0
10:29:11,420,68,0
10:29:11,162,114,0
10:29:11,528,16,0
10:29:11,231,37,0
10:29:11,197,97,0
10:29:11,90,131,0
10:29:11,382,142,0
10:29:11,269,81,0
10:29:11,254,229,0
10:29:11,25,191,0
10:29:11,328,120,0
10:29:11,216,80,0
10:29:11,219,0,0
10:29:11,0,67,0
10:29:12,305,53,0
10:29:12,232,9,0
10:29:12,470,0,0
10:29:12,156,39,0
10:29:12,387,134,0
10:29:12,338,160,0
10:29:12,206,0,0
10:29:12,149,109,0
10:29:12,428,180,0
10:29:12,223,112,0
10:29:12,371,76,0
10:29:12,414,0,0
10:29:12,449,182,0
10:29:12,374,68,0
10:29:12,0,312,0
10:29:12,135,73,0
10:29:12,313,133,0
10:29:12,156,75,0
10:29:12,215,100,0
10:29:12,451,57,0
10:29:12,343,55,0
10:29:12,396,139,0
10:29:12,238,129,0
10:29:12,483,78,0
10:29:12,288,0,0
