time,spo2,hr,temp
14:28:56.655,,,33.1
14:28:56.683,96,74,
14:28:58.543,94,76,33.1
14:29:01.538,94,78,
14:29:04.554,97,,
14:29:07.581,96,,
14:29:10.599,95,73,
14:29:13.674,96,69,33
14:29:16.648,96,,
14:29:19.676,96,66,
14:29:22.699,95,70,
14:29:25.717,95,,
14:29:28.794,94,,33.4
14:29:31.757,92,74,
14:29:34.774,89,75,
14:29:37.789,89,72,
14:29:40.816,90,72,
14:29:43.891,91,74,33.5
14:29:46.865,92,75,
14:29:49.895,95,,
14:29:52.908,98,,
14:29:55.924,95,77,
14:29:59.001,95,78,33.8
14:30:01.975,97,75,
14:30:04.989,95,72,
14:30:08.018,97,75,
14:30:11.031,94,72,
14:30:14.109,85,,33.5
14:30:17.095,87,,
14:30:20.111,-3621,,
14:30:29.229,,,33.8
14:30:32.194,-2506,,
14:30:35.207,-1725,,
14:30:38.235,-1178,,
14:30:41.259,-795,,
14:30:44.309,-527,,34
14:30:47.311,-339,,
14:30:50.329,-207,,
14:30:53.353,-116,,
14:30:56.370,-51,,
14:30:59.432,-6,,34.5
14:31:02.409,24,,
14:31:05.425,46,,
14:31:08.453,62,,
14:31:11.466,72,,
14:31:14.526,80,67,34.1
14:31:17.531,85,68,
14:31:20.544,87,66,
14:31:23.574,90,,
14:31:26.586,93,70,
14:31:29.665,94,67,34.5
14:31:32.627,97,,
14:31:35.663,97,,
14:31:38.680,98,,
14:31:41.706,97,68,
14:31:44.772,96,,34.5
14:31:47.736,96,,
14:31:50.752,97,,
14:31:53.776,97,65,
14:31:56.813,96,63,
14:31:59.871,96,61,34.6
14:32:02.856,95,,
14:32:05.869,97,,
14:32:08.886,97,66,
14:32:11.915,96,,
14:32:14.978,96,63,34.8
