time,spo2,hr,temp
13:13:02.633,98,74,
13:13:26.704,98,72,28.5
13:13:41.846,96,,28.6
13:13:44.800,93,,
13:13:47.822,85,75,
13:13:50.835,86,,
13:13:53.857,89,,
13:13:56.937,91,73,28.7
13:13:59.909,93,,
13:14:02.934,94,68,
13:14:05.950,95,,
13:14:08.965,92,72,
13:14:12.050,91,75,28.9
13:14:15.021,90,,
13:14:18.022,87,71,
13:14:21.045,88,68,
13:14:24.083,91,,
13:14:27.167,92,67,29.1
13:14:30.127,93,64,
13:14:33.141,91,69,
13:14:36.168,92,70,
13:14:39.181,93,,
13:14:42.255,96,,29.2
13:14:45.243,96,66,
13:14:48.248,95,70,
13:14:51.270,96,73,
13:14:54.285,94,74,
13:14:57.377,96,,29.3
13:15:00.339,94,73,
13:15:03.361,96,73,
13:15:06.383,97,,
13:15:09.397,98,70,
13:15:12.474,97,67,29.4
13:16:00.791,96,72,
13:16:03.812,96,,
13:16:06.842,96,73,
13:16:09.856,97,70,
13:15:36.602,96,,
13:15:39.626,96,62,
13:15:42.716,96,63,29.6
13:15:45.675,97,66,
13:16:12.941,96,67,29.7
13:16:15.902,97,64,
13:16:18.916,97,,
13:16:21.916,96,,
13:15:48.690,97,,
13:15:51.713,96,67,
13:15:54.741,96,66,
13:15:57.821,96,68,29.6
13:16:24.937,96,,
13:16:28.030,96,63,29.7
13:16:30.989,96,,
13:16:34.013,98,,
13:15:24.511,96,,
13:15:27.595,95,57,29.5
13:15:30.555,95,,
13:15:33.585,96,,
13:15:15.450,99,64,
13:15:18.465,97,62,
13:15:21.489,96,60,
13:16:37.038,95,68,
13:16:46.103,100,,
13:16:49.131,98,68,
13:16:52.156,97,,
13:16:55.178,95,,
13:16:58.247,94,,29.8
13:17:01.215,95,,
13:17:04.230,94,,
13:17:10.276,93,69,
13:17:16.319,95,,
13:17:19.348,96,,
