time,ir,red,spo2,hr,temp

145425987,1034,2988,0,0,0
145426010,1034,2988,0,0,0
145426146,1034,2988,0,0,0
145426177,852,2984,0,0,0
145426210,900,2852,0,0,0
145426273,900,2852,0,0,0
145426304,900,2852,0,0,0
145426335,958,3092,0,0,0
145426396,895,2980,0,0,0
145426426,895,2980,0,0,0
145426457,895,2980,0,0,0
145426510,1076,3118,0,0,0
145426542,992,3076,0,0,0
145426571,992,3076,0,0,0
145426625,992,3076,0,0,0
145426653,1014,3010,0,0,0
145426679,1046,3095,0,0,0
145426733,1046,3095,0,0,0
145426759,1046,3095,0,0,0
145426787,965,2923,0,0,0
145426839,1016,3036,0,0,0
145426868,1016,3036,0,0,0
145426895,1016,3036,0,0,0
145426952,857,2931,0,0,0
145426980,923,2901,0,0,0
145427010,923,2901,0,0,0
145427062,923,2901,0,0,0
145427090,960,3041,0,0,0
145427118,864,2943,0,0,0
145427170,864,2943,0,0,0
145427199,864,2943,0,0,0
145427225,1068,3052,0,0,0
145427277,1010,3052,0,0,0
145427307,1010,3052,0,0,0
145427336,1010,3052,0,0,0
145427393,1034,2976,0,0,0
145427424,1076,3033,0,0,0
145427451,1076,3033,0,0,0
145427510,1076,3033,0,0,0
145427538,994,2914,0,0,0
145427567,994,2914,0,0,0
145427619,994,2914,0,0,0
145427647,994,2914,0,0,0
145427674,896,2860,0,0,0
145427726,896,2860,0,0,0
145427752,896,2860,0,0,0
145427780,896,2860,0,0,0
145427832,905,2944,0,0,0
145427859,905,2944,0,0,0
145427888,905,2944,0,0,0
145427941,905,3095,0,0,0
145427970,963,3070,0,0,0
145427997,963,3070,0,0,0
145428051,963,3070,0,0,0
145428076,963,3033,0,0,0
145428103,1037,3058,0,0,0
145428154,1037,3058,0,0,0
145428182,1037,3058,0,0,0
145428206,1009,2924,0,0,0
145428260,1034,3047,0,0,0
145428287,1034,3047,0,0,0
145428372,1034,3047,0,0,0
145428398,908,2880,0,0,0
145428426,930,2911,0,0,0
145428478,930,2911,0,0,0
145428506,930,2911,0,0,0
145428533,980,3055,0,0,0
145428584,866,2945,0,0,0
145428609,866,2945,0,0,0
145428637,866,2945,0,0,0
145428688,1104,3114,0,0,0
145428715,997,3049,0,0,0
145428742,997,3049,0,0,0
145428791,997,3049,0,0,0
145428819,1069,3018,0,0,0
145428843,1084,3040,0,0,0
145428898,1084,3040,0,0,0
145428924,1084,3040,0,0,0
145428952,1003,2925,0,0,0
145429006,1012,2959,0,0,0
145429034,1012,2959,0,0,0
145429059,1012,2959,0,0,0
145429115,101338,500,0,0,0
145429140,877,2882,0,0,0
145429167,1081,3098,0,0,0
145429220,1035,3041,0,0,0
145429248,963,3070,0,0,0
145429275,902,2857,0,0,0
145429328,902,2857,0,0,0
145429356,917,3120,0,0,0
145429381,850,2957,0,0,0
145429433,850,2957,0,0,0
145429459,850,2957,0,0,0
145429541,1060,3142,0,0,0
145429573,989,3092,0,0,0
145429604,989,3092,0,0,0
145429663,989,3092,0,0,0
145429694,1064,3103,0,0,0
145429724,1113,3094,0,0,0
145429779,1113,3094,0,0,0
145429804,1113,3094,0,0,0
145429830,980,2957,0,0,0
145429882,1080,3008,0,0,0
145429908,1080,3008,0,0,0
145429932,1080,3008,0,0,0
145429982,994,2906,0,0,0
145430008,994,2906,0,0,0
145430034,994,2906,0,0,0
145430058,962,3036,0,0,0
145430108,1049,3102,0,0,0
145430136,1048,3047,0,0,0
145430163,969,2935,0,0,0
145430215,869,2893,0,0,0
145430241,1052,3103,0,0,0
145430267,1051,3049,0,0,0
145430315,973,2941,0,0,0
145430347,878,2888,0,0,0
145430373,892,3043,0,0,0
145430433,1057,3090,0,0,0
145430465,1061,3050,0,0,0
145430491,973,2934,0,0,0
