time,ir,red,green,spo2,hr,temp
13:44:35:652,605,337,122,0,0,0
13:44:35:673,622,408,78,0,0,0
13:44:35:694,563,337,66,0,0,0
13:44:35:715,639,402,114,0,0,0
13:44:35:736,579,381,59,0,0,0
13:44:35:758,616,337,125,0,0,0
13:44:35:779,553,343,76,0,0,0
13:44:35:800,638,402,112,0,0,0
13:44:35:821,567,385,48,0,0,0
13:44:35:842,608,352,122,0,0,0
13:44:35:863,617,403,87,0,0,0
13:44:35:885,557,347,90,0,0,0
13:44:35:906,566,386,49,0,0,0
13:44:35:927,608,343,133,0,0,0
13:44:35:948,612,412,78,0,0,0
13:44:35:969,561,344,95,0,0,0
13:44:35:991,645,409,116,0,0,0
13:44:36:012,576,374,52,0,0,0
13:44:36:033,614,411,82,0,0,0
13:44:36:054,564,338,95,0,0,0
13:44:36:075,638,413,116,0,0,0
13:44:36:096,573,370,45,0,0,0
13:44:36:118,614,356,124,0,0,0
13:44:36:139,609,433,69,0,0,0
13:44:36:160,633,409,111,0,0,0
13:44:36:181,563,368,39,0,0,0
13:44:36:202,633,362,128,0,0,0
13:44:36:224,612,397,64,0,0,0
13:44:36:245,570,333,101,0,0,0
13:44:36:266,636,389,109,0,0,0
13:44:36:287,627,366,133,0,0,0
13:44:36:308,595,400,62,0,0,0
13:44:36:329,562,329,100,0,0,0
13:44:36:351,632,413,107,0,0,0
13:44:36:372,554,373,51,0,0,0
13:44:36:393,635,366,126,0,0,0
13:44:36:414,573,329,113,0,0,0
13:44:36:435,629,420,99,0,0,0
13:44:36:456,566,365,47,0,0,0
13:44:36:478,637,378,124,0,0,0
13:44:36:499,598,403,50,0,0,0
13:44:36:520,614,317,117,0,0,0
13:44:36:541,565,362,51,0,0,0
13:44:36:562,636,389,122,0,0,0
13:44:36:584,596,403,54,0,0,0
13:44:36:605,583,343,117,0,0,0
13:44:36:626,635,416,97,0,0,0
13:44:36:647,580,352,55,0,0,0
13:44:36:668,596,400,55,0,0,0
13:44:36:689,590,341,112,0,0,0
13:44:36:711,631,417,91,0,0,0
13:44:36:732,560,356,60,0,0,0
13:44:36:753,632,386,124,0,0,0
13:44:36:774,611,392,57,0,0,0
13:44:36:795,627,426,91,0,0,0
13:44:36:816,558,348,54,0,0,0
13:44:36:838,637,402,115,0,0,0
13:44:36:859,594,391,57,0,0,0
13:44:36:880,609,340,120,0,0,0
13:44:36:901,619,411,89,0,0,0
13:44:36:922,639,401,118,0,0,0
13:44:36:944,589,399,55,0,0,0
13:44:36:965,615,334,125,0,0,0
13:44:36:986,630,413,86,0,0,0
13:44:37:007,567,347,72,0,0,0
13:44:37:028,630,411,117,0,0,0
13:44:37:049,625,364,121,0,0,0
13:44:37:071,640,431,90,0,0,0
13:44:37:092,591,392,83,0,0,0
13:44:37:113,658,416,100,0,0,0
13:44:37:134,620,403,72,0,0,0
13:44:37:155,628,388,106,0,0,0
13:44:37:176,584,364,95,0,0,0
13:44:37:198,631,384,109,0,0,0
13:44:37:219,564,372,48,0,0,0
13:44:37:240,601,333,117,0,0,0
13:44:37:261,593,389,80,0,0,0
13:44:37:282,530,328,116,0,0,0
13:44:37:304,553,370,51,0,0,0
13:44:37:325,594,356,114,0,0,0
13:44:37:346,592,402,73,0,0,0
13:44:37:367,543,327,89,0,0,0
13:44:37:388,613,395,114,0,0,0
13:44:37:409,563,364,44,0,0,0
13:44:37:431,594,392,73,0,0,0
13:44:37:452,546,325,102,0,0,0
13:44:37:473,611,399,113,0,0,0
13:44:37:494,550,357,53,0,0,0
13:44:37:515,614,340,126,0,0,0
13:44:37:537,589,394,59,0,0,0
13:44:37:558,614,396,107,8,0,29.3
13:44:39:320,614,356,126,0,0,0
13:44:39:342,591,398,63,0,0,0
13:44:39:365,556,325,109,0,0,0
13:44:39:388,548,362,52,0,0,0
13:44:39:410,611,352,127,0,0,0
13:44:39:433,577,386,67,0,0,0
13:44:39:456,566,327,105,0,0,0
13:44:39:479,606,402,109,0,0,0
13:44:39:501,560,385,56,0,0,0
13:44:39:524,583,383,54,0,0,0
13:44:39:547,578,341,102,0,0,0
13:44:39:569,609,397,101,0,0,0
13:44:39:592,580,367,79,0,0,0
13:44:39:615,623,386,113,0,0,0
13:44:39:638,613,398,83,0,0,0
13:44:39:660,644,431,103,0,0,0
13:44:39:683,593,379,67,0,0,0
13:44:39:706,645,401,120,0,0,0
13:44:39:728,611,408,62,0,0,0
13:44:39:751,603,337,116,0,0,0
13:44:39:774,624,444,106,0,0,0
13:44:39:797,636,391,121,0,0,0
13:44:39:819,597,395,60,0,0,0
13:44:39:842,595,338,123,0,0,0
13:44:39:865,634,415,93,0,0,0
13:44:39:887,567,347,64,0,0,0
13:44:39:910,645,416,123,0,0,0
13:44:39:933,602,338,126,0,0,0
13:44:39:956,629,420,93,0,0,0
13:44:39:978,561,348,72,0,0,0
13:44:40:001,640,391,125,0,0,0
13:44:40:024,587,410,58,0,0,0
13:44:40:046,586,332,113,0,0,0
13:44:40:069,625,445,88,0,0,0
13:44:40:092,640,391,134,0,0,0
13:44:40:115,603,406,50,0,0,0
13:44:40:137,594,337,115,0,0,0
13:44:40:160,628,409,94,0,0,0
13:44:40:183,559,359,58,0,0,0
13:44:40:205,639,423,126,0,0,0
13:44:40:228,604,332,120,0,0,0
13:44:40:251,627,408,89,0,0,0
13:44:40:274,557,346,65,0,0,0
13:44:40:296,641,400,117,0,0,0
13:44:40:319,580,383,55,0,0,0
13:44:40:342,604,347,109,0,0,0
13:44:40:364,552,355,64,0,0,0
13:44:40:387,643,397,107,0,0,0
13:44:40:410,590,390,52,0,0,0
13:44:40:433,607,345,131,0,0,0
13:44:40:455,618,422,86,0,0,0
13:44:40:478,552,319,76,0,0,0
13:44:40:501,585,382,46,0,0,0
13:44:40:523,610,349,123,0,0,0
13:44:40:546,631,414,81,0,0,0
13:44:40:569,553,349,83,0,0,0
13:44:40:592,630,405,119,0,0,0
13:44:40:614,577,379,42,0,0,0
13:44:40:637,622,411,85,0,0,0
13:44:40:660,562,341,92,0,0,0
13:44:40:683,640,403,113,0,0,0
13:44:40:705,568,377,43,0,0,0
13:44:40:728,621,350,134,0,0,0
13:44:40:751,618,431,82,0,0,0
13:44:40:773,644,409,118,0,0,0
13:44:40:796,575,379,52,0,0,0
13:44:40:819,623,350,139,0,0,0
13:44:40:842,614,414,79,0,0,0
13:44:40:864,564,342,99,0,0,0
13:44:40:887,645,433,109,0,0,0
13:44:40:910,622,360,132,0,0,0
13:44:40:932,603,406,71,0,0,0
13:44:40:955,572,329,97,0,0,0
13:44:40:978,637,401,114,0,0,0
13:44:41:001,568,372,52,0,0,0
13:44:41:023,636,375,129,0,0,0
13:44:41:046,570,326,94,0,0,0
13:44:41:069,639,413,109,0,0,0
13:44:41:091,568,368,53,0,0,0
13:44:41:114,632,366,135,0,0,0
13:44:41:137,601,397,67,0,0,0
13:44:41:160,580,323,100,0,0,0
13:44:41:182,568,369,52,0,0,0
13:44:41:205,631,382,130,0,0,0
13:44:41:228,607,398,68,0,0,0
13:44:41:250,577,330,111,0,0,0
13:44:41:273,626,406,106,0,0,0
13:44:41:296,589,357,50,0,0,0
13:44:41:319,600,405,65,0,0,0
13:44:41:341,587,332,100,0,0,0
13:44:41:364,637,413,112,0,0,0
13:44:41:387,565,364,62,0,0,0
13:44:41:409,635,395,131,0,0,0
13:44:41:432,587,400,59,0,0,0
13:44:41:455,630,422,99,0,0,0
13:44:41:478,569,362,57,0,0,0
13:44:41:500,641,393,128,0,0,0
13:44:41:523,590,408,61,0,0,0
13:44:41:546,590,328,119,0,0,0
13:44:41:568,627,426,100,0,0,0
13:44:41:591,644,401,121,0,0,0
13:44:41:614,598,402,59,0,0,0
13:44:41:637,596,343,134,0,0,0
13:44:41:659,625,423,86,0,0,0
13:44:41:682,568,352,68,0,0,0
13:44:41:705,621,401,120,0,0,0
13:44:41:727,605,351,117,0,0,0
13:44:41:750,641,421,92,0,0,0
13:44:41:773,563,348,65,0,0,0
13:44:41:796,638,406,122,0,0,0
13:44:41:818,590,398,47,0,0,0
13:44:41:841,583,347,125,0,0,0
13:44:41:864,561,345,67,0,0,0
13:44:41:887,638,399,119,0,0,0
13:44:41:909,585,390,49,0,0,0
13:44:41:932,605,346,126,0,0,0
13:44:41:955,621,411,86,0,0,0
13:44:41:977,563,341,99,0,0,0
13:44:42:000,586,383,43,0,0,0
13:44:42:023,616,343,126,0,0,0
13:44:42:046,621,407,82,0,0,0
13:44:42:068,554,359,77,0,0,0
13:44:42:091,647,400,126,0,0,0
13:44:42:114,618,344,125,0,0,0
13:44:42:136,626,411,91,0,0,0
13:44:42:159,569,345,81,0,0,0
13:44:42:182,647,407,112,0,0,0
13:44:42:205,583,383,44,0,0,0
13:44:42:227,619,351,127,0,0,0
13:44:42:250,625,406,74,0,0,0
13:44:42:273,635,417,116,0,0,0
13:44:42:295,577,369,48,0,0,0
13:44:42:318,622,357,132,0,0,0
13:44:42:341,621,405,73,0,0,0
13:44:42:364,572,361,102,0,0,0
13:44:42:386,572,378,52,0,0,0
13:44:42:409,619,367,126,0,0,0
13:44:42:432,620,407,78,0,0,0
13:44:42:454,574,345,100,0,0,0
13:44:42:477,639,419,118,0,0,0
13:44:42:500,578,401,49,0,0,0
13:44:42:523,606,402,62,0,0,0
13:44:42:545,567,341,105,0,0,0
13:44:42:568,637,416,116,0,0,0
13:44:42:591,571,372,55,0,0,0
13:44:42:613,626,367,135,0,0,0
13:44:42:636,600,435,66,0,0,0
13:44:42:659,640,406,104,0,0,0
13:44:42:682,574,375,51,0,0,0
13:44:42:704,627,378,117,0,0,0
13:44:42:727,604,408,68,0,0,0
13:44:42:750,585,337,112,0,0,0
13:44:42:772,639,442,108,0,0,0
13:44:42:795,639,377,136,0,0,0
13:44:42:818,596,410,58,0,0,0
13:44:42:841,579,334,116,0,0,0
13:44:42:863,638,418,111,0,0,0
13:44:42:886,557,367,53,0,0,0
13:44:42:909,630,398,122,0,0,0
13:44:42:931,590,337,109,0,0,0
13:44:42:954,623,414,99,0,0,0
13:44:42:977,557,355,56,0,0,0
13:44:43:000,641,388,130,0,0,0
13:44:43:022,599,399,64,0,0,0
13:44:43:045,592,329,110,0,0,0
13:44:43:068,563,352,56,0,0,0
13:44:43:091,645,394,126,0,0,0
13:44:43:113,598,391,59,0,0,0
13:44:43:136,607,340,127,0,0,0
13:44:43:159,629,424,97,0,0,0
13:44:43:181,560,361,61,0,0,0
13:44:43:204,595,393,52,0,0,0
13:44:43:227,607,342,121,0,0,0
13:44:43:250,630,419,96,0,0,0
13:44:43:272,553,347,71,0,0,0
13:44:43:295,639,396,126,0,0,0
13:44:43:318,592,381,48,0,0,0
13:44:43:340,630,417,90,0,0,0
13:44:43:363,565,354,78,0,0,0
13:44:43:386,643,407,121,0,0,0
13:44:43:409,613,406,62,0,0,0
13:44:43:431,632,358,130,0,0,0
13:44:43:454,664,408,87,0,0,0
13:44:43:477,705,437,114,0,0,0
13:44:43:499,685,435,76,0,0,0
13:44:43:522,739,462,119,0,0,0
13:44:43:545,883,619,115,0,0,0
13:44:43:568,1234,986,149,0,0,0
13:44:43:590,2276,2063,270,0,0,0
13:44:43:613,5944,6799,691,0,0,0
13:44:43:636,7733,9762,850,0,0,0
13:44:43:658,9053,12298,950,0,0,0
13:44:43:681,9441,13453,967,0,0,0
