time,cnt,ir,red,green,spo2,hr,temp
13:18:01:085,3192,129778,119378,15946,0,0,0
13:18:01:115,3221,129811,119420,15946,0,0,0
13:18:01:145,3251,129789,119437,15953,0,0,0
13:18:01:175,3282,129733,119429,15939,0,0,0
13:18:01:206,3311,129715,119436,15946,0,0,0
13:18:01:266,3341,129668,119423,15936,0,0,0
13:18:01:297,3371,129665,119458,15922,0,0,0
13:18:01:327,3401,129642,119507,15941,0,0,0
13:18:01:358,3430,129761,119378,15969,0,0,0
13:18:01:387,3460,129783,119420,15939,0,0,0
13:18:01:433,3520,129818,119424,15966,0,0,0
13:18:01:445,3549,129849,119433,15959,0,0,0
13:18:01:506,3579,129551,119340,15910,0,0,0
13:18:01:536,3638,129459,119320,15853,0,0,0
13:18:01:566,3668,129599,119451,15884,0,0,0
13:18:01:598,3690,129743,119499,15905,0,0,0
13:18:01:625,3711,129880,119549,15950,0,0,0
13:18:01:657,3758,129919,119576,15977,0,0,0
13:18:01:687,3787,129836,119550,15968,0,0,0
13:18:01:717,3817,129773,119445,15993,0,0,0
13:18:01:756,3847,129700,119397,16109,0,0,0
13:18:01:775,3877,129710,119379,15986,0,0,0
13:18:01:806,3906,129711,119407,15983,0,0,0
13:18:01:836,3936,129679,119411,15986,0,0,0
13:18:01:867,3966,129451,119328,15944,0,0,0
13:18:01:896,3996,129364,119256,15940,0,0,0
13:18:01:956,4026,129513,119296,15946,0,0,0
13:18:01:959,4055,129559,119317,15987,0,0,0
13:18:01:988,4085,129655,119337,16016,0,0,0
13:18:02:018,4115,129627,119431,16039,0,0,0
13:18:02:075,4145,129525,119202,16098,0,0,0
13:18:02:076,4175,129487,119204,16082,0,0,0
13:18:02:106,4205,129430,119148,16107,0,0,0
13:18:02:135,4234,129375,119100,16119,0,0,0
13:18:02:195,4264,129389,119119,16123,0,0,0
13:18:02:226,4294,129516,119203,16162,0,0,0
13:18:02:257,4324,129510,119227,16188,0,0,0
13:18:02:316,4354,129525,119205,16177,0,0,0
13:18:02:346,4383,129470,119186,16196,0,0,0
13:18:02:376,4443,129426,119148,16195,0,0,0
13:18:02:435,4473,129367,119207,16224,0,0,0
13:18:02:436,4502,129261,119186,16208,0,0,0
13:18:02:500,4562,129406,119236,16196,0,0,0
13:18:02:526,4591,129482,119283,16214,0,0,0
13:18:02:557,4621,129405,119222,16230,0,0,0
13:18:02:645,4651,129340,119103,16244,0,0,0
13:18:02:645,4682,129309,119023,16253,0,0,0
