time,cnt,ir,red,green,spo2,hr,temp
13:33:26:122,4298,143883,127654,14727,0,0,0
13:33:26:171,4346,143914,127649,14770,0,0,0
13:33:26:219,4395,143857,127636,14749,0,0,0
13:33:26:265,4443,143800,127587,14764,0,0,0
13:33:26:313,4491,143812,127595,14767,0,0,0
13:33:26:362,4540,143718,127535,14767,0,0,0
13:33:26:411,4588,143719,127515,14794,0,0,0
13:33:26:459,4637,143733,127529,14802,0,0,0
13:33:26:508,4685,143854,127607,14820,0,0,0
13:33:26:558,4734,143851,127587,14846,0,0,0
13:33:26:606,4782,143905,127591,14877,0,0,0
13:33:26:656,4830,143875,127567,14865,0,0,0
13:33:26:703,4879,143941,127577,14892,0,0,0
13:33:26:800,4927,143983,127597,14908,0,0,0
13:33:26:850,4976,143999,127605,14930,0,0,0
13:33:26:900,5024,144049,127527,14955,0,0,0
13:33:26:950,5073,143977,127561,14947,0,0,0
13:33:27:005,5121,143875,127480,14970,0,0,0
13:33:27:016,5218,143831,127430,14976,0,0,0
13:33:27:027,5266,143843,127435,14978,0,0,0
13:33:27:053,5314,143940,127466,15001,0,0,0
13:33:27:053,5363,144007,127489,15033,0,0,0
13:33:27:061,5419,143904,127415,15034,0,0,0
13:33:27:074,5441,143974,127441,15033,0,0,0
13:33:27:084,5463,143939,127411,15070,0,0,0
13:33:27:096,5485,143880,127331,15061,0,0,0
13:33:27:119,5507,143730,127134,15096,0,0,0
13:33:27:141,5528,142203,125693,15132,0,0,0
13:33:27:163,5550,141880,125563,15183,0,0,0
13:33:27:186,5572,141417,125375,15179,0,0,0
13:33:27:216,5593,141322,125322,15185,0,0,0
13:33:27:243,5615,141611,125303,15195,0,0,0
13:33:27:253,5637,141645,125335,15112,0,0,0
13:33:27:276,5659,141975,125688,15105,0,0,0
13:33:27:299,5680,141909,125588,15065,0,0,0
13:33:27:321,5702,142289,125741,15099,0,0,0
13:33:27:343,5724,142790,125852,15110,0,0,0
13:33:27:366,5745,142972,125911,15143,0,0,0
13:33:27:389,5767,143224,125935,15209,0,0,0
13:33:27:412,5788,143175,125899,15224,0,0,0
13:33:27:437,5810,142903,125760,15294,0,0,0
13:33:27:457,5832,142800,125775,15293,0,0,0
13:33:27:479,5854,142928,125792,15349,0,0,0
13:33:27:491,5875,143062,125837,15369,0,0,0
13:33:27:512,5897,143164,125906,15411,0,0,0
13:33:27:535,5919,143166,125863,15568,0,0,0
13:33:27:557,5940,143257,125920,15670,0,0,0
13:33:27:580,5962,143849,126116,15876,0,0,0
13:33:27:603,5984,144435,126511,16048,0,0,0
13:33:27:626,6005,144788,127186,16281,0,0,0
13:33:27:651,6027,144769,127311,16297,0,0,0
13:33:27:671,6049,143959,126984,16255,0,0,0
13:33:27:692,6070,143609,126894,16235,0,0,0
13:33:27:716,6092,143532,126772,16240,0,0,0
13:33:27:737,6114,143566,126532,16260,0,0,0
13:33:27:760,6135,143566,126545,16249,0,0,0
13:33:27:783,6157,143529,126545,16259,0,0,0
13:33:27:805,6178,143539,126626,16266,0,0,0
13:33:27:828,6200,143562,126653,16264,0,0,0
13:33:27:838,6222,143673,126667,16298,0,0,0
13:33:27:868,6243,143775,126774,16302,0,0,0
13:33:27:884,6265,143844,126832,16323,0,0,0
13:33:27:907,6286,143952,126945,16339,0,0,0
13:33:27:929,6308,144025,126912,16325,0,0,0
13:33:27:951,6330,144026,126945,16357,0,0,0
13:33:27:976,6352,144229,127023,16384,0,0,0
13:33:27:997,6373,144280,127056,16397,0,0,0
13:33:28:020,6395,144202,127010,16364,0,0,0
13:33:28:039,6417,144196,127026,16403,0,0,0
13:33:28:061,6438,144133,127004,16385,0,0,0
13:33:28:082,6460,144049,126933,16387,0,0,0
13:33:28:107,6482,143987,126924,16391,0,0,0
13:33:28:166,6503,143873,126875,16379,0,0,0
13:33:28:166,6525,143783,126878,16399,0,0,0
13:33:28:175,6547,143696,126857,16366,0,0,0
13:33:28:184,6568,143611,126847,16428,0,0,0
13:33:28:206,6590,143634,126828,16383,0,0,0
13:33:28:229,6612,143638,126840,16390,0,0,0
13:33:28:250,6633,143622,126822,16380,0,0,0
13:33:28:273,6655,143557,126747,16380,0,0,0
13:33:28:314,6677,143496,126744,16381,0,0,0
13:33:28:318,6698,143421,126684,16370,0,0,0
13:33:28:352,6731,143410,126676,16389,88,74,0
13:33:28:375,6753,143405,126670,16373,0,0,0
13:33:28:399,6775,143399,126626,16386,0,0,0
13:33:28:420,6797,143271,126566,16374,0,0,0
13:33:28:443,6819,143019,126314,16366,0,0,0
13:33:28:466,6840,142683,125847,16285,0,0,0
13:33:28:491,6862,142687,125739,16287,0,0,0
13:33:28:512,6883,142692,125681,16247,0,0,0
13:33:28:546,6905,142706,125644,16256,0,0,0
13:33:28:555,6927,142781,125644,16251,0,0,0
13:33:28:577,6948,142763,125629,16220,0,0,0
13:33:28:588,6970,142796,125611,16215,0,0,0
