time,cnt,ir,red,green,spo2,hr,temp
10:22:00:383,8986,110059,98342,14117,0,0,0
10:22:00:406,9008,110375,98334,14234,0,0,0
10:22:00:431,9029,122686,122792,24959,0,0,0
10:22:00:451,9051,139131,135017,24390,0,0,0
10:22:00:475,9073,152419,140519,24660,0,0,0
10:22:00:497,9094,164513,148676,26734,0,0,0
10:22:00:535,9116,161148,145532,25374,0,0,0
10:22:00:540,9137,151439,135828,23206,0,0,0
10:22:00:556,9159,135380,121271,20660,0,0,0
10:22:00:579,9181,114688,99772,16094,0,0,0
10:22:01:103,9700,116574,97174,14179,0,0,0
10:22:02:193,10780,123956,99133,15626,95,75,34.9
10:22:02:213,10801,121506,98096,15584,0,0,0
10:22:02:239,10823,125315,100582,16683,0,0,0
10:22:02:259,10844,119570,96834,16102,0,0,0
10:22:02:282,10866,112147,89053,14718,0,0,0
10:22:02:303,10888,111827,88904,14659,0,0,0
10:22:02:327,10910,112053,89163,14727,0,0,0
10:22:02:340,10931,113113,90028,14902,0,0,0
10:22:02:365,10953,114626,91270,15156,0,0,0
10:22:02:384,10974,115542,92039,15333,0,0,0
10:22:02:410,10996,115925,92103,15118,0,0,0
10:22:02:438,11018,117979,93887,15421,0,0,0
10:22:02:453,11039,118262,94071,15515,0,0,0
10:22:02:476,11061,119515,95145,15745,0,0,0
10:22:02:500,11082,125419,99734,16833,0,0,0
10:22:02:521,11104,131556,105691,17891,0,0,0
10:22:02:543,11125,127098,102339,17284,0,0,0
10:22:02:560,11147,121268,97682,16558,0,0,0
10:22:02:581,11169,119161,96220,16256,0,0,0
10:22:02:609,11190,117742,95276,16003,0,0,0
10:22:02:625,11212,116937,94517,15791,0,0,0
10:22:02:647,11234,117942,95395,15828,0,0,0
10:22:02:670,11256,127158,103285,17824,0,0,0
10:22:02:693,11278,147269,121943,22363,0,0,0
10:22:02:716,11299,155603,135389,24563,0,0,0
10:22:02:737,11321,139388,118617,20351,0,0,0
10:22:02:759,11343,129709,109321,18887,0,0,0
10:22:02:783,11364,125276,104404,18188,0,0,0
10:22:02:811,11386,124838,102720,18491,0,0,0
10:22:02:961,11537,118772,92330,15464,0,0,0
10:22:02:977,11559,119410,78883,16811,0,0,0
10:22:03:000,11581,118699,83115,18349,0,0,0
10:22:03:022,11602,119278,88581,17908,0,0,0
10:22:03:047,11624,126650,93336,18700,0,0,0
10:22:03:060,11646,129877,92370,19060,0,0,0
10:22:03:082,11667,125775,89838,18791,0,0,0
10:22:03:105,11689,122997,87731,18310,0,0,0
10:22:03:128,11710,120303,85369,17821,0,0,0
10:22:03:150,11732,119455,84669,17654,0,0,0
10:22:03:172,11753,118299,83941,17426,0,0,0
10:22:03:197,11775,119161,83930,17475,0,0,0
10:22:03:217,11796,121688,85148,17928,0,0,0
10:22:03:239,11818,124141,86322,18843,0,0,0
10:22:03:254,11840,124615,86901,19381,0,0,0
10:22:03:277,11861,129231,89916,20332,0,0,0
10:22:03:299,11883,138876,96533,23139,0,0,0
10:22:03:322,11904,142772,97470,23336,0,0,0
10:22:03:346,11926,155420,106377,27320,0,0,0
10:22:03:376,11948,188322,135710,34791,0,0,0
10:22:03:389,11969,181883,126815,33397,0,0,0
10:22:03:412,11991,159486,113887,27558,0,0,0
10:22:03:442,12012,154409,112648,26105,0,0,0
10:22:03:458,12034,150091,107246,25089,0,0,0
10:22:03:476,12055,146888,103132,24795,0,0,0
10:22:03:495,12077,152440,108114,25939,0,0,0
10:22:03:517,12098,162576,118446,27873,0,0,0
10:22:03:539,12120,168676,125058,28888,0,0,0
10:22:03:562,12141,170132,126698,29191,0,0,0
10:22:03:586,12163,174448,130576,29961,0,0,0
10:22:03:607,12184,176752,132563,30530,0,0,0
10:22:03:633,12206,164856,120052,27634,0,0,0
10:22:03:655,12227,160047,114921,27338,0,0,0
10:22:03:668,12249,158147,112254,27284,0,0,0
10:22:03:693,12270,148001,101704,25585,0,0,0
10:22:03:713,12292,131584,88661,23083,0,0,0
10:22:03:736,12314,128174,86316,22310,0,0,0
10:22:03:760,12336,126732,84909,21945,0,0,0
10:22:03:781,12357,125177,83507,21655,0,0,0
10:22:03:804,12379,126575,84485,21970,0,0,0
10:22:03:824,12401,128368,85995,22317,0,0,0
10:22:03:848,12422,128933,86462,22411,0,0,0
10:22:03:882,12444,131459,88417,22987,0,0,0
10:22:03:894,12466,149394,103809,26621,0,0,0
10:22:03:914,12488,157803,113362,28308,0,0,0
10:22:03:932,12509,153914,110695,27238,0,0,0
10:22:03:953,12531,132821,91946,22696,0,0,0
10:22:03:977,12553,125633,85234,21358,0,0,0
10:22:03:998,12575,122778,82618,20655,0,0,0
10:22:04:023,12596,122158,82144,20539,0,0,0
10:22:04:042,12618,121075,81407,20300,0,0,0
10:22:04:066,12639,119523,80651,20009,0,0,0
10:22:04:088,12661,115911,78150,19294,0,0,0
10:22:04:113,12683,113512,76418,18854,0,0,0
10:22:04:134,12704,112062,75026,18558,0,0,0
10:22:04:156,12726,111871,74809,18520,0,0,0
10:22:04:177,12748,111834,74761,18512,0,0,0
10:22:04:194,12769,111864,74753,18495,0,0,0
10:22:04:217,12791,112032,74774,18501,0,0,0
10:22:04:239,12812,112438,75074,18576,0,0,0
10:22:04:696,13267,122901,115504,20164,0,0,0
10:22:04:725,13289,127508,113294,19343,0,0,0
10:22:04:742,13311,122615,109622,18288,0,0,0
10:22:04:764,13333,118104,104342,17132,0,0,0
10:22:04:786,13354,114836,99256,15668,0,0,0
10:22:04:808,13376,113243,96094,14902,0,0,0
10:22:04:832,13398,113319,96298,14909,0,0,0
10:22:04:853,13420,113722,96890,15247,0,0,0
10:22:04:876,13441,114739,98308,15592,0,0,0
10:22:04:898,13463,114941,97669,15179,0,0,0
10:22:04:917,13485,115012,96912,14797,0,0,0
10:22:04:938,13506,114776,95516,14221,0,0,0
10:22:04:960,13528,114055,93031,13497,0,0,0
10:22:04:981,13550,112503,91377,13151,0,0,0
10:22:05:004,13572,110280,89602,12916,0,0,0
10:22:05:027,13593,111431,90236,13038,0,0,0
10:22:05:048,13615,113287,91185,13075,0,0,0
10:22:05:081,13637,114083,91520,13075,0,0,0
10:22:05:092,13658,114303,91679,13102,0,0,0
10:22:05:116,13680,114463,91751,13099,0,0,0
10:22:05:139,13701,114829,92029,13119,0,0,0
10:22:05:168,13734,114300,91699,13072,97,75,0
10:22:05:190,13756,113363,91089,12986,0,0,0
10:22:05:215,13778,113318,90996,12995,0,0,0
10:22:05:236,13799,113774,91168,12996,0,0,0
10:22:05:260,13821,114364,91463,13022,0,0,0
10:22:05:279,13843,115035,91872,13061,0,0,0
10:22:05:304,13864,115121,91941,13067,0,0,0
10:22:05:318,13886,115186,92022,13093,0,0,0
10:22:05:341,13908,115679,92323,13076,0,0,0
10:22:05:362,13929,116157,92639,13108,0,0,0
10:22:05:386,13951,115979,92471,13033,0,0,0
10:22:05:410,13973,115644,92215,12987,0,0,0
10:22:05:431,13994,115644,92200,12977,0,0,0
10:22:05:455,14016,115849,92355,13003,0,0,0
10:22:05:476,14038,116127,92582,12989,0,0,0
10:22:05:498,14059,116049,92623,13005,0,0,0
10:22:05:520,14081,115777,92553,12993,0,0,0
10:22:05:536,14102,115086,92184,12948,0,0,0
10:22:05:559,14124,114507,92005,12951,0,0,0
10:22:05:583,14146,113825,91695,12906,0,0,0
10:22:05:603,14168,112861,91090,12761,0,0,0
10:22:05:626,14189,110484,89545,12481,0,0,0
10:22:05:648,14211,110012,89263,12452,0,0,0
10:22:05:673,14232,110503,89449,12457,0,0,0
10:22:05:694,14254,111482,89993,12539,0,0,0
10:22:05:716,14276,113486,91502,12937,0,0,0
10:22:05:738,14298,119100,97217,14161,0,0,0
10:22:05:764,14319,120227,99688,14583,0,0,0
10:22:05:776,14341,119210,98442,14333,0,0,0
10:22:05:808,14362,118667,97126,14038,0,0,0
10:22:05:821,14384,118709,96391,13949,0,0,0
10:22:05:843,14406,124559,104270,15596,0,0,0
10:22:05:870,14427,125840,108408,16308,0,0,0
10:22:05:888,14449,124714,104279,16668,0,0,0
10:22:05:911,14471,123671,100583,15841,0,0,0
10:22:05:935,14492,121472,97021,14988,0,0,0
10:22:05:957,14514,119760,94732,14398,0,0,0
10:22:05:980,14536,118907,93656,14030,0,0,0
10:22:06:001,14557,118765,93441,13894,0,0,0
10:22:06:018,14579,118729,93281,13839,0,0,0
10:22:06:040,14601,118792,93313,13758,0,0,0
10:22:06:061,14622,119382,93861,13836,0,0,0
10:22:06:083,14644,119794,94260,13733,0,0,0
10:22:06:105,14666,120061,94590,13617,0,0,0
10:22:06:130,14688,120806,95375,13597,0,0,0
10:22:06:151,14709,120768,95347,13577,0,0,0
10:22:06:175,14731,121219,96279,13648,0,0,0
10:22:06:196,14753,120636,95818,13436,0,0,0
10:22:06:220,14774,120090,95446,13274,0,0,0
10:22:06:241,14796,118194,93237,12977,0,0,0
10:22:06:257,14818,118151,93097,13005,0,0,0
10:22:06:278,14839,117902,92734,12958,0,0,0
10:22:06:302,14861,118993,93621,13113,0,0,0
10:22:06:323,14883,120574,95067,13354,0,0,0
10:22:06:346,14904,121731,95663,13399,0,0,0
10:22:06:368,14926,119125,94353,13012,0,0,0
10:22:06:392,14947,118346,95166,12512,0,0,0
10:22:06:414,14969,118118,96760,12026,0,0,0
10:22:06:436,14990,119529,99490,12081,0,0,0
10:22:06:457,15012,120667,100569,12141,0,0,0
10:22:06:475,15034,119298,97092,11338,0,0,0
10:22:06:498,15055,119062,96771,11287,0,0,0
10:22:06:518,15077,119340,97229,11299,0,0,0
10:22:06:541,15099,119195,97251,11208,0,0,0
10:22:06:565,15120,120359,98055,11306,0,0,0
10:22:06:585,15142,122341,99557,11478,0,0,0
10:22:06:608,15164,123052,100360,11632,0,0,0
10:22:06:638,15185,124183,101774,11987,0,0,0
10:22:06:654,15207,128762,106381,12995,0,0,0
10:22:08:226,16755,111317,98186,10619,0,0,0
10:22:08:238,16776,113683,99999,10935,0,0,0
10:22:08:251,16798,113562,100164,10939,0,0,0
10:22:08:281,16819,111748,99228,10689,0,0,0
10:22:08:296,16841,110326,98795,10671,0,0,0
10:22:08:318,16863,113413,100664,11013,0,0,0
10:22:08:342,16884,116139,102483,11408,0,0,0
10:22:08:363,16906,118285,104137,11801,0,0,0
10:22:08:385,16927,117508,102830,11737,0,0,0
10:22:08:408,16949,117938,102955,11988,0,0,0
10:22:08:431,16971,118438,103383,12100,0,0,0
10:22:08:456,16993,118737,103866,12225,0,0,0
10:22:08:469,17014,119308,103996,12273,0,0,0
10:22:08:490,17036,120088,104670,12456,0,0,0
10:22:08:514,17057,120193,104784,12457,0,0,0
10:22:08:538,17079,119767,104255,12218,0,0,0
10:22:08:558,17101,120057,103684,12016,0,0,0
10:22:08:580,17122,120717,104134,11984,0,0,0
10:22:08:602,17144,120825,104267,11964,0,0,0
10:22:08:628,17166,121065,104258,11888,0,0,0
10:22:08:647,17188,122138,104483,11766,0,0,0
10:22:08:670,17209,123921,105511,11804,0,0,0
10:22:08:692,17231,124713,106022,11824,0,0,0
10:22:08:714,17253,124847,106033,11845,0,0,0
10:22:08:731,17274,126092,106709,11883,0,0,0
10:22:08:754,17296,127017,107299,11956,0,0,0
10:22:08:776,17317,127150,107483,11931,0,0,0
10:22:08:800,17339,126395,106923,11905,0,0,0
10:22:08:821,17361,125325,106155,11778,0,0,0
10:22:08:843,17382,124377,105466,11722,0,0,0
10:22:08:864,17404,124158,105299,11698,0,0,0
10:22:08:898,17426,123058,104559,11629,0,0,0
10:22:08:913,17447,119858,102090,11470,0,0,0
10:22:08:933,17469,120271,102194,11512,0,0,0
10:22:08:956,17491,121144,102774,11566,0,0,0
10:22:08:971,17512,119834,101994,11445,0,0,0
10:22:08:993,17534,118805,101281,11449,0,0,0
10:22:09:016,17556,117958,100555,11393,0,0,0
10:22:09:037,17577,118211,100637,11438,0,0,0
10:22:09:062,17599,118734,101131,11563,0,0,0
10:22:09:083,17621,118655,101550,11606,0,0,0
